weight_g,60.000000
thrust_N,velocity_m_s,power_W
28.000000,0.000000,730.399578
29.000000,0.000000,771.656425
30.000000,0.000000,813.984027
31.000000,0.000000,857.382382
32.000000,0.000000,901.851493
33.000000,0.000000,947.391357
34.000000,0.000000,994.001976
35.000000,0.000000,1041.683350
36.000000,0.000000,1090.019483
37.000000,0.000000,1138.758886
38.000000,0.000000,1188.506761
39.000000,0.000000,1239.263110
40.000000,0.000000,1291.027932
41.000000,0.000000,1343.801227
42.000000,0.000000,1397.582995
43.000000,0.000000,1452.373236
44.000000,0.000000,1507.757518
45.000000,0.000000,1564.084202
46.000000,0.000000,1621.391298
47.000000,0.000000,1679.678804
48.000000,0.000000,1738.946721
49.000000,0.000000,1799.195049
50.000000,0.000000,1860.455024
51.000000,0.000000,1923.453286
52.000000,0.000000,1987.445123
53.000000,0.000000,2052.430535
54.000000,0.000000,2118.409521
55.000000,0.000000,2185.382082
56.000000,0.000000,2253.348219
57.000000,0.000000,2323.481515
58.000000,0.000000,2395.113569
59.000000,0.000000,2467.776453
60.000000,0.000000,2541.470167
61.000000,0.000000,2616.194712
62.000000,0.000000,2691.950086
63.000000,0.000000,2775.852933
64.000000,0.000000,2862.038432
65.000000,0.000000,2949.458763
66.000000,0.000000,3038.113928
67.000000,0.000000,3128.003926
68.000000,0.000000,3223.313485
69.000000,0.000000,3321.432941
70.000000,0.000000,3420.931242
71.000000,0.000000,3521.808387
72.000000,0.000000,3625.088216
73.000000,0.000000,3741.479714
74.000000,0.000000,3859.578913
75.000000,0.000000,3979.385811
76.000000,0.000000,4100.900409
28.000000,0.500000,735.862665
29.000000,0.500000,777.379769
30.000000,0.500000,819.973708
31.000000,0.500000,863.644483
32.000000,0.500000,908.392094
33.000000,0.500000,954.216540
34.000000,0.500000,1001.117821
35.000000,0.500000,1049.095938
36.000000,0.500000,1097.523373
37.000000,0.500000,1146.480598
38.000000,0.500000,1196.449017
39.000000,0.500000,1247.428631
40.000000,0.500000,1299.419439
41.000000,0.500000,1352.421441
42.000000,0.500000,1406.434637
43.000000,0.500000,1461.416879
44.000000,0.500000,1517.051493
45.000000,0.500000,1573.651273
46.000000,0.500000,1631.235340
47.000000,0.500000,1689.803694
48.000000,0.500000,1749.356334
49.000000,0.500000,1809.893260
50.000000,0.500000,1871.563848
51.000000,0.500000,1934.820409
52.000000,0.500000,1999.073254
53.000000,0.500000,2064.322384
54.000000,0.500000,2130.567798
55.000000,0.500000,2197.809498
56.000000,0.500000,2266.096908
57.000000,0.500000,2336.652190
58.000000,0.500000,2408.472928
59.000000,0.500000,2481.324713
60.000000,0.500000,2555.207544
61.000000,0.500000,2630.121422
62.000000,0.500000,2706.975041
63.000000,0.500000,2791.572130
64.000000,0.500000,2877.927854
65.000000,0.500000,2965.517104
66.000000,0.500000,3054.339878
67.000000,0.500000,3144.652787
68.000000,0.500000,3240.779358
69.000000,0.500000,3338.998292
70.000000,0.500000,3438.592416
71.000000,0.500000,3539.561731
72.000000,0.500000,3645.113870
73.000000,0.500000,3761.714573
74.000000,0.500000,3880.020758
75.000000,0.500000,4000.032427
28.000000,1.000000,741.343874
29.000000,1.000000,783.122033
30.000000,1.000000,825.983126
31.000000,1.000000,869.927153
32.000000,1.000000,914.954114
33.000000,1.000000,961.064008
34.000000,1.000000,1008.256837
35.000000,1.000000,1056.532600
36.000000,1.000000,1105.050329
37.000000,1.000000,1154.225797
38.000000,1.000000,1204.415184
39.000000,1.000000,1255.618490
40.000000,1.000000,1307.835715
41.000000,1.000000,1361.066859
42.000000,1.000000,1415.311922
43.000000,1.000000,1470.486050
44.000000,1.000000,1526.371391
45.000000,1.000000,1583.244902
46.000000,1.000000,1641.106583
47.000000,1.000000,1699.956433
48.000000,1.000000,1759.794452
49.000000,1.000000,1820.620642
50.000000,1.000000,1882.702705
51.000000,1.000000,1946.218041
52.000000,1.000000,2010.732376
53.000000,1.000000,2076.245709
54.000000,1.000000,2142.758040
55.000000,1.000000,2210.269368
56.000000,1.000000,2278.878731
57.000000,1.000000,2349.856939
58.000000,1.000000,2421.866411
59.000000,1.000000,2494.907145
60.000000,1.000000,2568.979142
61.000000,1.000000,2644.082403
62.000000,1.000000,2722.038324
63.000000,1.000000,2807.331828
64.000000,1.000000,2893.857548
65.000000,1.000000,2981.615486
66.000000,1.000000,3070.605640
67.000000,1.000000,3161.342384
68.000000,1.000000,3258.288619
69.000000,1.000000,3356.606393
70.000000,1.000000,3456.295708
71.000000,1.000000,3557.356562
72.000000,1.000000,3665.190117
73.000000,1.000000,3781.999645
74.000000,1.000000,3900.512441
75.000000,1.000000,4020.728505
28.000000,1.500000,746.889848
29.000000,1.500000,788.933684
30.000000,1.500000,832.066697
31.000000,1.500000,876.288886
32.000000,1.500000,921.600251
33.000000,1.500000,968.000793
34.000000,1.500000,1015.490511
35.000000,1.500000,1064.069405
36.000000,1.500000,1112.630804
37.000000,1.500000,1162.024742
38.000000,1.500000,1212.435297
39.000000,1.500000,1263.862469
40.000000,1.500000,1316.306259
41.000000,1.500000,1369.766666
42.000000,1.500000,1424.243690
43.000000,1.500000,1479.613936
44.000000,1.500000,1535.771427
45.000000,1.500000,1592.921004
46.000000,1.500000,1651.062667
47.000000,1.500000,1710.196417
48.000000,1.500000,1770.322252
49.000000,1.500000,1831.440174
50.000000,1.500000,1893.910640
51.000000,1.500000,1957.688341
52.000000,1.500000,2022.467830
53.000000,1.500000,2088.249108
54.000000,1.500000,2155.032174
55.000000,1.500000,2222.817029
56.000000,1.500000,2291.922405
57.000000,1.500000,2363.091711
58.000000,1.500000,2435.292567
59.000000,1.500000,2508.524972
60.000000,1.500000,2582.788927
61.000000,1.500000,2658.084431
62.000000,1.500000,2737.637236
63.000000,1.500000,2823.101229
64.000000,1.500000,2909.796126
65.000000,1.500000,2997.721928
66.000000,1.500000,3086.878634
67.000000,1.500000,3178.699598
