weight_g,219.000000
thrust_N,velocity_m_s,power_W
20.000000,0.000000,783.242168
21.000000,0.000000,848.114137
22.000000,0.000000,915.078013
23.000000,0.000000,984.133795
24.000000,0.000000,1068.238525
25.000000,0.000000,1164.652101
26.000000,0.000000,1263.946358
27.000000,0.000000,1389.687593
28.000000,0.000000,1525.489689
29.000000,0.000000,1687.505919
30.000000,0.000000,1863.755991
31.000000,0.000000,2057.648879
32.000000,0.000000,2297.448689
33.000000,0.000000,2596.929413
20.000000,0.500000,786.279759
21.000000,0.500000,851.178025
22.000000,0.500000,918.165659
23.000000,0.500000,987.242659
24.000000,0.500000,1072.366451
25.000000,0.500000,1168.813295
26.000000,0.500000,1268.137307
27.000000,0.500000,1394.888325
28.000000,0.500000,1530.430859
29.000000,0.500000,1693.385083
30.000000,0.500000,1870.295736
31.000000,0.500000,2064.668803
32.000000,0.500000,2305.390852
33.000000,0.500000,2608.232212
20.000000,1.000000,789.321606
21.000000,1.000000,854.246074
22.000000,1.000000,921.257366
23.000000,1.000000,990.355483
24.000000,1.000000,1076.499639
25.000000,1.000000,1172.979605
26.000000,1.000000,1272.333227
27.000000,1.000000,1400.095132
28.000000,1.000000,1535.377457
29.000000,1.000000,1699.270641
30.000000,1.000000,1876.842586
31.000000,1.000000,2071.696310
32.000000,1.000000,2313.341471
33.000000,1.000000,2619.551505
20.000000,1.500000,792.354341
21.000000,1.500000,857.305685
22.000000,1.500000,924.341358
23.000000,1.500000,993.461360
24.000000,1.500000,1080.624750
25.000000,1.500000,1177.136774
26.000000,1.500000,1276.518920
27.000000,1.500000,1405.240872
28.000000,1.500000,1540.261140
29.000000,1.500000,1705.136512
30.000000,1.500000,1883.384314
31.000000,1.500000,2079.719794
32.000000,1.500000,2321.448205
33.000000,1.500000,2630.790553
19.000000,2.000000,732.495014
20.000000,2.000000,795.391311
21.000000,2.000000,860.369438
22.000000,2.000000,927.429395
23.000000,2.000000,996.571183
24.000000,2.000000,1084.755101
25.000000,2.000000,1181.299036
26.000000,2.000000,1280.709560
27.000000,2.000000,1410.392579
28.000000,2.000000,1545.150146
29.000000,2.000000,1711.008723
30.000000,2.000000,1889.933106
31.000000,2.000000,2087.752976
32.000000,2.000000,2329.563691
33.000000,2.000000,2642.045813
19.000000,2.500000,735.441961
20.000000,2.500000,798.380085
21.000000,2.500000,863.397832
22.000000,2.500000,930.495203
23.000000,2.500000,999.672197
24.000000,2.500000,1088.876977
25.000000,2.500000,1185.451870
26.000000,2.500000,1285.414218
27.000000,2.500000,1415.483033
28.000000,2.500000,1550.609839
29.000000,2.500000,1716.862374
30.000000,2.500000,1896.476758
31.000000,2.500000,2095.741437
32.000000,2.500000,2339.057360
33.000000,2.500000,2653.221534
19.000000,3.000000,738.393198
20.000000,3.000000,801.373060
21.000000,3.000000,866.430339
22.000000,3.000000,933.565033
23.000000,3.000000,1002.777143
24.000000,3.000000,1093.004075
25.000000,3.000000,1189.609776
26.000000,3.000000,1290.124535
27.000000,3.000000,1420.579348
28.000000,3.000000,1556.075629
29.000000,3.000000,1722.722315
30.000000,3.000000,1903.027433
31.000000,3.000000,2103.739385
32.000000,3.000000,2348.563359
33.000000,3.000000,2664.413190
19.000000,3.500000,741.172856
20.000000,3.500000,804.231008
21.000000,3.500000,869.366314
22.000000,3.500000,936.578773
23.000000,3.500000,1005.868386
24.000000,3.500000,1097.046292
25.000000,3.500000,1193.626540
26.000000,3.500000,1295.198236
27.000000,3.500000,1425.744328
28.000000,3.500000,1562.395092
29.000000,3.500000,1729.102338
30.000000,3.500000,1910.106979
31.000000,3.500000,2112.182675
32.000000,3.500000,2358.357893
33.000000,3.500000,2675.998768
19.000000,4.000000,743.956701
20.000000,4.000000,807.093130
21.000000,4.000000,872.306450
22.000000,4.000000,939.596661
23.000000,4.000000,1008.963763
24.000000,4.000000,1101.093978
25.000000,4.000000,1197.648482
