weight_g,450.000000
thrust_N,velocity_m_s,power_W
38.000000,0.000000,582.096862
39.000000,0.000000,603.971839
40.000000,0.000000,626.209114
41.000000,0.000000,648.808688
42.000000,0.000000,671.770561
43.000000,0.000000,695.094731
44.000000,0.000000,718.781200
45.000000,0.000000,742.829967
46.000000,0.000000,767.241032
47.000000,0.000000,792.014396
48.000000,0.000000,817.150058
49.000000,0.000000,842.634950
50.000000,0.000000,868.080781
51.000000,0.000000,893.873745
52.000000,0.000000,920.013844
53.000000,0.000000,946.501076
54.000000,0.000000,973.335443
55.000000,0.000000,1000.516943
56.000000,0.000000,1028.045578
57.000000,0.000000,1055.921346
58.000000,0.000000,1084.144249
59.000000,0.000000,1112.669749
60.000000,0.000000,1140.265273
61.000000,0.000000,1168.166354
62.000000,0.000000,1196.372994
63.000000,0.000000,1224.885191
64.000000,0.000000,1253.702947
65.000000,0.000000,1282.826261
66.000000,0.000000,1312.255132
67.000000,0.000000,1341.989562
68.000000,0.000000,1372.029549
69.000000,0.000000,1401.959315
70.000000,0.000000,1431.963823
71.000000,0.000000,1462.256504
72.000000,0.000000,1492.837359
73.000000,0.000000,1523.706388
74.000000,0.000000,1554.863590
75.000000,0.000000,1586.308966
76.000000,0.000000,1618.042515
77.000000,0.000000,1650.064238
78.000000,0.000000,1682.374135
79.000000,0.000000,1714.972205
80.000000,0.000000,1747.858449
81.000000,0.000000,1781.032866
82.000000,0.000000,1814.495457
83.000000,0.000000,1848.246221
84.000000,0.000000,1882.285159
85.000000,0.000000,1916.612271
86.000000,0.000000,1950.624927
87.000000,0.000000,1984.683843
88.000000,0.000000,2019.011847
89.000000,0.000000,2053.608940
90.000000,0.000000,2088.475122
91.000000,0.000000,2123.610392
92.000000,0.000000,2159.014751
93.000000,0.000000,2194.688199
94.000000,0.000000,2229.800625
95.000000,0.000000,2265.051081
96.000000,0.000000,2300.550660
97.000000,0.000000,2336.299361
98.000000,0.000000,2372.297185
99.000000,0.000000,2408.544131
100.000000,0.000000,2445.040199
38.000000,0.500000,585.984136
39.000000,0.500000,607.988301
40.000000,0.500000,630.357361
41.000000,0.500000,653.091318
42.000000,0.500000,676.190170
43.000000,0.500000,699.653919
44.000000,0.500000,723.482564
45.000000,0.500000,747.676105
46.000000,0.500000,772.234543
47.000000,0.500000,797.157876
48.000000,0.500000,822.446105
49.000000,0.500000,847.982538
50.000000,0.500000,873.544036
51.000000,0.500000,899.453881
52.000000,0.500000,925.712073
53.000000,0.500000,952.318613
54.000000,0.500000,979.273500
55.000000,0.500000,1006.576734
56.000000,0.500000,1034.228316
57.000000,0.500000,1062.228244
58.000000,0.500000,1090.576520
59.000000,0.500000,1118.945847
60.000000,0.500000,1146.687695
61.000000,0.500000,1174.737222
62.000000,0.500000,1203.094431
63.000000,0.500000,1231.759320
64.000000,0.500000,1260.731890
65.000000,0.500000,1290.012141
66.000000,0.500000,1319.600072
67.000000,0.500000,1349.495683
68.000000,0.500000,1379.640516
69.000000,0.500000,1409.575990
70.000000,0.500000,1439.693220
71.000000,0.500000,1470.099427
72.000000,0.500000,1500.794609
73.000000,0.500000,1531.778767
74.000000,0.500000,1563.051900
75.000000,0.500000,1594.614010
76.000000,0.500000,1626.465095
77.000000,0.500000,1658.605156
78.000000,0.500000,1691.034193
79.000000,0.500000,1723.752206
80.000000,0.500000,1756.759194
81.000000,0.500000,1790.055158
82.000000,0.500000,1823.640098
83.000000,0.500000,1857.514014
84.000000,0.500000,1891.676906
85.000000,0.500000,1926.029624
86.000000,0.500000,1960.098120
87.000000,0.500000,1994.325659
88.000000,0.500000,2028.824164
89.000000,0.500000,2063.593634
90.000000,0.500000,2098.634069
91.000000,0.500000,2133.945469
92.000000,0.500000,2169.527835
93.000000,0.500000,2205.134674
94.000000,0.500000,2240.306224
95.000000,0.500000,2275.671712
96.000000,0.500000,2311.286924
97.000000,0.500000,2347.151861
98.000000,0.500000,2383.266523
99.000000,0.500000,2419.630910
100.000000,0.500000,2456.245021
38.000000,1.000000,589.874516
39.000000,1.000000,612.008268
40.000000,1.000000,634.509522
41.000000,1.000000,657.378280
42.000000,1.000000,680.614542
43.000000,1.000000,704.218306
44.000000,1.000000,728.189573
45.000000,1.000000,752.528344
46.000000,1.000000,777.234618
47.000000,1.000000,802.308395
48.000000,1.000000,827.749675
49.000000,1.000000,853.337081
50.000000,1.000000,879.014375
51.000000,1.000000,905.041231
52.000000,1.000000,931.417648
53.000000,1.000000,958.143628
54.000000,1.000000,985.219169
55.000000,1.000000,1012.644271
56.000000,1.000000,1040.418935
57.000000,1.000000,1068.543161
58.000000,1.000000,1097.016949
59.000000,1.000000,1125.227440
60.000000,1.000000,1153.116083
61.000000,1.000000,1181.314535
62.000000,1.000000,1209.822798
63.000000,1.000000,1238.640871
64.000000,1.000000,1267.768754
65.000000,1.000000,1297.206447
66.000000,1.000000,1326.953950
67.000000,1.000000,1357.011264
68.000000,1.000000,1387.260923
69.000000,1.000000,1417.201200
70.000000,1.000000,1447.431255
71.000000,1.000000,1477.951089
72.000000,1.000000,1508.760702
73.000000,1.000000,1539.860093
74.000000,1.000000,1571.249262
75.000000,1.000000,1602.928211
76.000000,1.000000,1634.896938
77.000000,1.000000,1667.155443
78.000000,1.000000,1699.703727
79.000000,1.000000,1732.541790
80.000000,1.000000,1765.669631
81.000000,1.000000,1799.087251
82.000000,1.000000,1832.794650
83.000000,1.000000,1866.791827
84.000000,1.000000,1901.078782
85.000000,1.000000,1935.456325
86.000000,1.000000,1969.580195
87.000000,1.000000,2003.976912
88.000000,1.000000,2038.646476
89.000000,1.000000,2073.588888
90.000000,1.000000,2108.804148
91.000000,1.000000,2144.292254
92.000000,1.000000,2180.053209
93.000000,1.000000,2215.591904
94.000000,1.000000,2250.822184
95.000000,1.000000,2286.302792
96.000000,1.000000,2322.033727
97.000000,1.000000,2358.014990
98.000000,1.000000,2394.246581
99.000000,1.000000,2430.728499
100.000000,1.000000,2467.460745
38.000000,1.500000,593.794557
39.000000,1.500000,616.059468
40.000000,1.500000,638.694515
41.000000,1.500000,661.699698
42.000000,1.500000,685.075017
43.000000,1.500000,708.820471
44.000000,1.500000,732.936062
45.000000,1.500000,757.421788
46.000000,1.500000,782.277650
47.000000,1.500000,807.503648
48.000000,1.500000,833.099781
49.000000,1.500000,858.707452
50.000000,1.500000,884.500835
51.000000,1.500000,910.644998
52.000000,1.500000,937.139939
53.000000,1.500000,963.985658
54.000000,1.500000,991.182156
55.000000,1.500000,1018.729433
56.000000,1.500000,1046.627489
57.000000,1.500000,1074.876323
58.000000,1.500000,1103.475936
59.000000,1.500000,1131.555136
60.000000,1.500000,1159.592788
61.000000,1.500000,1187.942409
62.000000,1.500000,1216.604000
63.000000,1.500000,1245.577560
64.000000,1.500000,1274.863088
65.000000,1.500000,1304.460586
66.000000,1.500000,1334.370053
67.000000,1.500000,1364.591490
68.000000,1.500000,1394.791859
69.000000,1.500000,1424.844366
70.000000,1.500000,1455.187455
71.000000,1.500000,1485.821126
72.000000,1.500000,1516.745380
73.000000,1.500000,1547.960217
74.000000,1.500000,1579.465636
75.000000,1.500000,1611.261637
76.000000,1.500000,1643.348221
77.000000,1.500000,1675.725388
