weight_g,610.000000
thrust_N,velocity_m_s,power_W
18.000000,0.000000,5031.824176
19.000000,0.000000,5306.210832
20.000000,0.000000,5587.856706
21.000000,0.000000,5876.761799
22.000000,0.000000,6172.926110
23.000000,0.000000,6476.349639
24.000000,0.000000,6756.872481
25.000000,0.000000,7043.243555
26.000000,0.000000,7335.530126
27.000000,0.000000,7633.732192
18.000000,0.500000,5036.796483
19.000000,0.500000,5311.702311
20.000000,0.500000,5593.887499
21.000000,0.500000,5883.352049
22.000000,0.500000,6180.095958
23.000000,0.500000,6482.515556
24.000000,0.500000,6763.325143
25.000000,0.500000,7050.024639
26.000000,0.500000,7342.647692
27.000000,0.500000,7641.194303
18.000000,1.000000,5041.771009
19.000000,1.000000,5317.196377
20.000000,1.000000,5599.921276
21.000000,1.000000,5889.945705
22.000000,1.000000,6187.269665
23.000000,1.000000,6488.684026
24.000000,1.000000,6769.780505
25.000000,1.000000,7056.808608
26.000000,1.000000,7349.768335
27.000000,1.000000,7648.659686
18.000000,1.500000,5046.811830
19.000000,1.500000,5322.762615
20.000000,1.500000,5606.033328
21.000000,1.500000,5896.623970
22.000000,1.500000,6194.534539
23.000000,1.500000,6494.860315
24.000000,1.500000,6776.272422
25.000000,1.500000,7063.623991
26.000000,1.500000,7356.915022
27.000000,1.500000,7656.145514
18.000000,2.000000,5051.854930
19.000000,2.000000,5328.331509
20.000000,2.000000,5612.148441
21.000000,2.000000,5903.305727
22.000000,2.000000,6201.803367
23.000000,2.000000,6501.039160
24.000000,2.000000,6782.767072
25.000000,2.000000,7070.442289
26.000000,2.000000,7364.064811
27.000000,2.000000,7663.634637
18.000000,2.500000,5056.965572
19.000000,2.500000,5333.973888
20.000000,2.500000,5618.343213
21.000000,2.500000,5910.073548
22.000000,2.500000,6209.164893
23.000000,2.500000,6507.257649
24.000000,2.500000,6789.296401
25.000000,2.500000,7077.290070
26.000000,2.500000,7371.238657
27.000000,2.500000,7671.142161
18.000000,3.000000,5062.078552
19.000000,3.000000,5339.618992
20.000000,3.000000,5624.541125
21.000000,3.000000,5916.844952
22.000000,3.000000,6216.530473
23.000000,3.000000,6513.478729
24.000000,3.000000,6795.828494
25.000000,3.000000,7084.140795
26.000000,3.000000,7378.415630
27.000000,3.000000,7678.653001
18.000000,3.500000,5067.216063
19.000000,3.500000,5345.216359
20.000000,3.500000,5630.615206
21.000000,3.500000,5923.412604
22.000000,3.500000,6223.608553
23.000000,3.500000,6519.371206
24.000000,3.500000,6802.109955
25.000000,3.500000,7090.822437
26.000000,3.500000,7385.508650
27.000000,3.500000,7686.168595
18.000000,4.000000,5072.355930
19.000000,4.000000,5350.816393
20.000000,4.000000,5636.692283
21.000000,4.000000,5929.983601
22.000000,4.000000,6230.690345
23.000000,4.000000,6525.265969
24.000000,4.000000,6808.393946
25.000000,4.000000,7097.506863
26.000000,4.000000,7392.604719
27.000000,4.000000,7693.687515
18.000000,4.500000,5077.782629
19.000000,4.500000,5356.656758
20.000000,4.500000,5642.960276
21.000000,4.500000,5936.693182
22.000000,4.500000,6237.855475
23.000000,4.500000,6531.211874
24.000000,4.500000,6814.725391
25.000000,4.500000,7104.234846
26.000000,4.500000,7399.740240
27.000000,4.500000,7701.241573
18.000000,5.000000,5083.212006
19.000000,5.000000,5362.500066
20.000000,5.000000,5649.231488
21.000000,5.000000,5943.406271
22.000000,5.000000,6245.024416
23.000000,5.000000,6537.160120
24.000000,5.000000,6821.059416
25.000000,5.000000,7110.965661
26.000000,5.000000,7406.878853
27.000000,5.000000,7708.798994
18.000000,5.500000,5088.824462
19.000000,5.500000,5368.537523
20.000000,5.500000,5655.708341
21.000000,5.500000,5950.336918
22.000000,5.500000,6252.423251
23.000000,5.500000,6543.450514
24.000000,5.500000,6827.730356
25.000000,5.500000,7118.027505
26.000000,5.500000,7414.341960
18.000000,6.000000,5094.439808
19.000000,6.000000,5374.578161
