weight_g,610.000000
thrust_N,velocity_m_s,power_W
33.000000,0.000000,618.988964
34.000000,0.000000,646.224189
35.000000,0.000000,674.001475
36.000000,0.000000,702.320822
37.000000,0.000000,731.182229
38.000000,0.000000,760.585697
39.000000,0.000000,790.531225
40.000000,0.000000,821.018814
41.000000,0.000000,852.048464
42.000000,0.000000,883.387325
43.000000,0.000000,913.119664
44.000000,0.000000,943.295962
45.000000,0.000000,973.916219
46.000000,0.000000,1004.980435
47.000000,0.000000,1036.488609
48.000000,0.000000,1068.440743
49.000000,0.000000,1100.836835
50.000000,0.000000,1133.676886
51.000000,0.000000,1166.739809
52.000000,0.000000,1199.830379
53.000000,0.000000,1233.343133
54.000000,0.000000,1267.278070
55.000000,0.000000,1301.635192
56.000000,0.000000,1336.414497
57.000000,0.000000,1371.615987
58.000000,0.000000,1407.239660
59.000000,0.000000,1443.285517
60.000000,0.000000,1479.753558
61.000000,0.000000,1516.643783
62.000000,0.000000,1553.956191
63.000000,0.000000,1591.690784
64.000000,0.000000,1629.847561
65.000000,0.000000,1668.426521
66.000000,0.000000,1707.285710
67.000000,0.000000,1744.919118
68.000000,0.000000,1782.924874
69.000000,0.000000,1821.302977
70.000000,0.000000,1860.053427
71.000000,0.000000,1899.176224
72.000000,0.000000,1938.671369
73.000000,0.000000,1978.534584
74.000000,0.000000,2017.905072
75.000000,0.000000,2057.625897
76.000000,0.000000,2097.697060
77.000000,0.000000,2138.118560
78.000000,0.000000,2178.890398
79.000000,0.000000,2220.012573
80.000000,0.000000,2261.485085
81.000000,0.000000,2303.307935
82.000000,0.000000,2345.481122
83.000000,0.000000,2388.004647
84.000000,0.000000,2430.878508
85.000000,0.000000,2474.102708
86.000000,0.000000,2517.677244
87.000000,0.000000,2561.602118
88.000000,0.000000,2605.877329
89.000000,0.000000,2650.502878
90.000000,0.000000,2695.478764
91.000000,0.000000,2740.804987
92.000000,0.000000,2786.481548
93.000000,0.000000,2832.508446
94.000000,0.000000,2878.885682
95.000000,0.000000,2925.613255
96.000000,0.000000,2972.691165
97.000000,0.000000,3020.119412
98.000000,0.000000,3067.897997
99.000000,0.000000,3114.089395
100.000000,0.000000,3160.189804
33.000000,0.500000,621.109916
34.000000,0.500000,648.413485
35.000000,0.500000,676.260186
36.000000,0.500000,704.650019
37.000000,0.500000,733.582985
38.000000,0.500000,763.059082
39.000000,0.500000,793.078313
40.000000,0.500000,823.640675
41.000000,0.500000,854.746169
42.000000,0.500000,885.952961
43.000000,0.500000,915.771343
44.000000,0.500000,946.035477
45.000000,0.500000,976.745364
46.000000,0.500000,1007.901003
47.000000,0.500000,1039.502394
48.000000,0.500000,1071.549537
49.000000,0.500000,1104.042432
50.000000,0.500000,1136.981080
51.000000,0.500000,1170.059662
52.000000,0.500000,1203.215328
53.000000,0.500000,1236.793799
54.000000,0.500000,1270.795073
55.000000,0.500000,1305.219151
56.000000,0.500000,1340.066033
57.000000,0.500000,1375.335719
58.000000,0.500000,1411.028209
59.000000,0.500000,1447.143502
60.000000,0.500000,1483.681600
61.000000,0.500000,1520.642501
62.000000,0.500000,1558.026206
63.000000,0.500000,1595.832715
64.000000,0.500000,1634.062028
65.000000,0.500000,1672.714145
66.000000,0.500000,1711.454192
67.000000,0.500000,1749.187071
68.000000,0.500000,1787.293798
69.000000,0.500000,1825.774374
70.000000,0.500000,1864.628798
71.000000,0.500000,1903.857071
72.000000,0.500000,1943.459192
73.000000,0.500000,1983.312579
74.000000,0.500000,2022.745791
75.000000,0.500000,2062.529736
76.000000,0.500000,2102.664416
77.000000,0.500000,2143.149829
78.000000,0.500000,2183.985976
79.000000,0.500000,2225.172857
80.000000,0.500000,2266.710471
81.000000,0.500000,2308.598819
82.000000,0.500000,2350.837901
83.000000,0.500000,2393.427717
84.000000,0.500000,2436.368266
85.000000,0.500000,2479.659550
86.000000,0.500000,2523.301566
87.000000,0.500000,2567.294317
88.000000,0.500000,2611.637801
89.000000,0.500000,2656.332020
90.000000,0.500000,2701.376971
91.000000,0.500000,2746.772657
92.000000,0.500000,2792.519076
93.000000,0.500000,2838.616229
94.000000,0.500000,2885.064116
95.000000,0.500000,2931.862737
96.000000,0.500000,2979.012091
97.000000,0.500000,3026.512179
98.000000,0.500000,3074.248107
99.000000,0.500000,3120.347247
100.000000,0.500000,3166.553533
33.000000,1.000000,623.232063
34.000000,1.000000,650.604009
35.000000,1.000000,678.520160
36.000000,1.000000,706.980515
37.000000,1.000000,735.985075
38.000000,1.000000,765.533839
39.000000,1.000000,795.626808
40.000000,1.000000,826.263980
41.000000,1.000000,857.445358
42.000000,1.000000,888.519073
43.000000,1.000000,918.423649
44.000000,1.000000,948.775773
45.000000,1.000000,979.575447
46.000000,1.000000,1010.822669
47.000000,1.000000,1042.517441
48.000000,1.000000,1074.659762
49.000000,1.000000,1107.249631
50.000000,1.000000,1140.287050
51.000000,1.000000,1173.381076
52.000000,1.000000,1206.601865
53.000000,1.000000,1240.246079
54.000000,1.000000,1274.313716
55.000000,1.000000,1308.804778
56.000000,1.000000,1343.719263
57.000000,1.000000,1379.057173
58.000000,1.000000,1414.818506
59.000000,1.000000,1451.003263
60.000000,1.000000,1487.611445
61.000000,1.000000,1524.643050
62.000000,1.000000,1562.098080
63.000000,1.000000,1599.976533
64.000000,1.000000,1638.278411
65.000000,1.000000,1677.003712
