weight_g,60.000000
thrust_N,velocity_m_s,power_W
32.000000,0.000000,1414.408256
33.000000,0.000000,1492.935251
34.000000,0.000000,1573.563149
35.000000,0.000000,1656.291951
36.000000,0.000000,1741.121657
37.000000,0.000000,1828.052267
38.000000,0.000000,1917.083780
39.000000,0.000000,2008.216196
40.000000,0.000000,2101.449517
41.000000,0.000000,2196.783741
42.000000,0.000000,2293.264893
43.000000,0.000000,2391.442970
44.000000,0.000000,2491.660983
45.000000,0.000000,2593.918933
46.000000,0.000000,2698.216820
47.000000,0.000000,2804.554643
48.000000,0.000000,2912.932403
49.000000,0.000000,3023.350099
50.000000,0.000000,3135.771502
51.000000,0.000000,3249.757013
52.000000,0.000000,3365.762919
53.000000,0.000000,3483.789219
54.000000,0.000000,3603.835914
55.000000,0.000000,3725.903004
56.000000,0.000000,3849.990488
57.000000,0.000000,3976.098367
58.000000,0.000000,4104.029472
59.000000,0.000000,4233.086122
60.000000,0.000000,4364.127095
61.000000,0.000000,4497.152391
62.000000,0.000000,4632.162010
63.000000,0.000000,4769.155953
64.000000,0.000000,4908.134218
65.000000,0.000000,5049.096807
66.000000,0.000000,5192.028301
67.000000,0.000000,5336.937479
68.000000,0.000000,5483.830329
69.000000,0.000000,5632.706849
70.000000,0.000000,5783.567041
71.000000,0.000000,5936.410904
72.000000,0.000000,6091.238438
73.000000,0.000000,6247.107571
74.000000,0.000000,6404.656955
75.000000,0.000000,6564.156604
76.000000,0.000000,6725.606519
77.000000,0.000000,6889.006698
78.000000,0.000000,7054.357144
79.000000,0.000000,7221.657854
80.000000,0.000000,7390.908830
81.000000,0.000000,7562.110071
82.000000,0.000000,7735.261577
83.000000,0.000000,7910.363349
84.000000,0.000000,8087.415385
85.000000,0.000000,8266.417688
86.000000,0.000000,8447.372424
87.000000,0.000000,8630.279262
88.000000,0.000000,8815.136423
89.000000,0.000000,9001.943905
90.000000,0.000000,9190.701711
91.000000,0.000000,9381.409838
92.000000,0.000000,9574.216610
93.000000,0.000000,9769.180329
94.000000,0.000000,9966.099080
95.000000,0.000000,10164.972863
96.000000,0.000000,10365.801677
97.000000,0.000000,10568.585522
98.000000,0.000000,10773.324399
99.000000,0.000000,10980.018308
100.000000,0.000000,11188.667248
32.000000,0.500000,1427.134373
33.000000,0.500000,1506.228238
34.000000,0.500000,1587.434883
35.000000,0.500000,1670.754308
36.000000,0.500000,1756.186512
37.000000,0.500000,1843.731497
38.000000,0.500000,1933.389262
39.000000,0.500000,2025.159806
40.000000,0.500000,2119.043130
41.000000,0.500000,2215.020898
42.000000,0.500000,2311.900874
43.000000,0.500000,2410.656155
44.000000,0.500000,2511.459096
45.000000,0.500000,2614.309697
46.000000,0.500000,2719.207958
47.000000,0.500000,2826.153879
48.000000,0.500000,2935.147460
49.000000,0.500000,3046.188700
50.000000,0.500000,3159.169411
51.000000,0.500000,3273.807739
52.000000,0.500000,3390.474835
53.000000,0.500000,3509.170699
54.000000,0.500000,3629.895332
55.000000,0.500000,3752.648734
56.000000,0.500000,3877.430904
57.000000,0.500000,4004.241843
58.000000,0.500000,4132.675039
59.000000,0.500000,4262.393386
60.000000,0.500000,4394.102751
61.000000,0.500000,4527.803136
62.000000,0.500000,4663.494540
63.000000,0.500000,4801.176963
64.000000,0.500000,4940.850406
65.000000,0.500000,5082.514868
66.000000,0.500000,5226.162610
67.000000,0.500000,5371.798040
68.000000,0.500000,5519.424162
69.000000,0.500000,5669.040977
70.000000,0.500000,5820.648484
71.000000,0.500000,5974.246684
72.000000,0.500000,6129.748440
73.000000,0.500000,6286.244664
74.000000,0.500000,6444.562630
75.000000,0.500000,6604.837854
76.000000,0.500000,6767.070337
77.000000,0.500000,6931.260078
78.000000,0.500000,7097.407076
79.000000,0.500000,7265.504596
80.000000,0.500000,7435.547599
81.000000,0.500000,7607.547398
82.000000,0.500000,7781.503993
83.000000,0.500000,7957.417385
84.000000,0.500000,8135.287573
85.000000,0.500000,8315.114557
86.000000,0.500000,8496.899424
87.000000,0.500000,8680.642005
88.000000,0.500000,8866.341412
89.000000,0.500000,9053.997643
90.000000,0.500000,9243.610700
91.000000,0.500000,9435.180581
92.000000,0.500000,9628.835941
93.000000,0.500000,9824.562403
94.000000,0.500000,10022.248230
95.000000,0.500000,10221.893421
96.000000,0.500000,10423.497976
97.000000,0.500000,10627.061896
98.000000,0.500000,10832.587801
99.000000,0.500000,11040.073721
100.000000,0.500000,11249.519011
32.000000,1.000000,1439.915150
33.000000,1.000000,1519.577821
34.000000,1.000000,1601.365182
35.000000,1.000000,1685.277232
36.000000,1.000000,1771.313971
37.000000,1.000000,1859.475400
38.000000,1.000000,1949.761519
39.000000,1.000000,2042.172327
40.000000,1.000000,2136.707825
41.000000,1.000000,2233.331163
42.000000,1.000000,2330.609710
43.000000,1.000000,2429.943654
44.000000,1.000000,2531.332995
45.000000,1.000000,2634.777735
46.000000,1.000000,2740.277872
47.000000,1.000000,2847.833406
48.000000,1.000000,2957.444339
49.000000,1.000000,3069.110669
50.000000,1.000000,3182.651630
51.000000,1.000000,3297.944503
52.000000,1.000000,3415.274536
53.000000,1.000000,3534.641728
54.000000,1.000000,3656.046081
55.000000,1.000000,3779.487593
56.000000,1.000000,3904.966265
57.000000,1.000000,4032.482096
58.000000,1.000000,4161.417573
59.000000,1.000000,4291.799094
60.000000,1.000000,4424.178342
61.000000,1.000000,4558.555317
62.000000,1.000000,4694.930018
63.000000,1.000000,4833.302446
64.000000,1.000000,4973.672600
65.000000,1.000000,5116.040481
66.000000,1.000000,5260.406089
67.000000,1.000000,5406.769424
68.000000,1.000000,5555.130485
69.000000,1.000000,5705.489272
70.000000,1.000000,5857.845787
71.000000,1.000000,6012.200028
72.000000,1.000000,6168.377070
73.000000,1.000000,6325.501096
74.000000,1.000000,6484.589385
75.000000,1.000000,6645.641937
76.000000,1.000000,6808.658753
77.000000,1.000000,6973.639832
78.000000,1.000000,7140.585175
79.000000,1.000000,7309.481259
80.000000,1.000000,7480.317972
81.000000,1.000000,7653.118024
82.000000,1.000000,7827.881415
83.000000,1.000000,8004.608143
84.000000,1.000000,8183.298210
85.000000,1.000000,8363.951615
86.000000,1.000000,8546.568358
87.000000,1.000000,8731.148440
88.000000,1.000000,8917.691860
89.000000,1.000000,9106.198618
90.000000,1.000000,9296.668715
91.000000,1.000000,9489.102150
92.000000,1.000000,9683.607539
93.000000,1.000000,9880.097968
94.000000,1.000000,10078.552099
95.000000,1.000000,10278.969932
96.000000,1.000000,10481.351467
97.000000,1.000000,10685.696704
98.000000,1.000000,10892.010873
99.000000,1.000000,11100.290042
100.000000,1.000000,11310.532924
32.000000,1.500000,1452.777138
33.000000,1.500000,1533.014861
34.000000,1.500000,1615.389402
35.000000,1.500000,1699.900763
36.000000,1.500000,1786.548942
37.000000,1.500000,1875.333941
38.000000,1.500000,1966.255759
39.000000,1.500000,2059.314395
40.000000,1.500000,2154.509851
41.000000,1.500000,2251.558525
42.000000,1.500000,2349.409919
43.000000,1.500000,2449.324467
44.000000,1.500000,2551.302169
45.000000,1.500000,2655.343024
46.000000,1.500000,2761.447034
47.000000,1.500000,2869.614197
48.000000,1.500000,2979.844515
49.000000,1.500000,3092.137986
50.000000,1.500000,3206.253066
51.000000,1.500000,3322.204844
52.000000,1.500000,3440.202259
53.000000,1.500000,3560.245313
54.000000,1.500000,3682.334003
55.000000,1.500000,3806.468331
56.000000,1.500000,3932.648296
57.000000,1.500000,4060.873899
58.000000,1.500000,4190.280426
59.000000,1.500000,4321.327021
60.000000,1.500000,4454.378063
61.000000,1.500000,4589.433552
62.000000,1.500000,4726.493488
63.000000,1.500000,4865.557872
64.000000,1.500000,5006.626702
65.000000,1.500000,5149.699980
66.000000,1.500000,5294.777704
67.000000,1.500000,5441.859876
68.000000,1.500000,5590.946494
69.000000,1.500000,5742.037560
70.000000,1.500000,5895.133073
71.000000,1.500000,6050.233033
72.000000,1.500000,6206.954765
73.000000,1.500000,6364.855528
74.000000,1.500000,6524.727904
