weight_g,219.000000
thrust_N,velocity_m_s,power_W
32.000000,0.000000,776.030864
33.000000,0.000000,806.334150
34.000000,0.000000,837.176275
35.000000,0.000000,868.557241
36.000000,0.000000,900.477046
37.000000,0.000000,932.935692
38.000000,0.000000,965.933177
39.000000,0.000000,999.469502
40.000000,0.000000,1033.544667
41.000000,0.000000,1068.158673
42.000000,0.000000,1102.153113
43.000000,0.000000,1135.710387
44.000000,0.000000,1169.732104
45.000000,0.000000,1204.218262
46.000000,0.000000,1239.168862
47.000000,0.000000,1274.583905
48.000000,0.000000,1310.463389
49.000000,0.000000,1346.807316
50.000000,0.000000,1383.615684
51.000000,0.000000,1419.728456
52.000000,0.000000,1455.822129
53.000000,0.000000,1492.330279
54.000000,0.000000,1529.252905
55.000000,0.000000,1566.590008
56.000000,0.000000,1604.341587
57.000000,0.000000,1642.507642
58.000000,0.000000,1681.088173
59.000000,0.000000,1719.209738
60.000000,0.000000,1757.054682
61.000000,0.000000,1795.273452
62.000000,0.000000,1833.866049
63.000000,0.000000,1872.832472
64.000000,0.000000,1912.172721
65.000000,0.000000,1951.886797
66.000000,0.000000,1991.974700
67.000000,0.000000,2031.757254
68.000000,0.000000,2071.793380
69.000000,0.000000,2112.183895
70.000000,0.000000,2152.928800
71.000000,0.000000,2194.028095
72.000000,0.000000,2235.481779
73.000000,0.000000,2277.289853
74.000000,0.000000,2318.757216
75.000000,0.000000,2360.100061
76.000000,0.000000,2401.769952
77.000000,0.000000,2443.766889
78.000000,0.000000,2486.090872
79.000000,0.000000,2528.741902
80.000000,0.000000,2571.719977
81.000000,0.000000,2615.173798
82.000000,0.000000,2659.033799
83.000000,0.000000,2703.216857
84.000000,0.000000,2747.722973
85.000000,0.000000,2792.552147
86.000000,0.000000,2837.704378
87.000000,0.000000,2883.221633
88.000000,0.000000,2929.350537
89.000000,0.000000,2975.794830
90.000000,0.000000,3022.554512
91.000000,0.000000,3069.629582
92.000000,0.000000,3117.020042
93.000000,0.000000,3164.725891
94.000000,0.000000,3212.747128
95.000000,0.000000,3261.083755
96.000000,0.000000,3309.735770
97.000000,0.000000,3358.703175
98.000000,0.000000,3407.985968
99.000000,0.000000,3458.606505
100.000000,0.000000,3515.670225
32.000000,0.500000,782.178203
33.000000,0.500000,812.688624
34.000000,0.500000,843.741231
35.000000,0.500000,875.336025
36.000000,0.500000,907.473004
37.000000,0.500000,940.152169
38.000000,0.500000,973.373520
39.000000,0.500000,1007.137056
40.000000,0.500000,1041.442779
41.000000,0.500000,1076.270693
42.000000,0.500000,1109.997942
43.000000,0.500000,1143.739071
44.000000,0.500000,1177.946773
45.000000,0.500000,1212.621048
46.000000,0.500000,1247.761895
47.000000,0.500000,1283.369314
48.000000,0.500000,1319.443306
49.000000,0.500000,1355.983871
50.000000,0.500000,1392.814771
51.000000,0.500000,1428.898947
52.000000,0.500000,1465.181936
53.000000,0.500000,1501.881371
54.000000,0.500000,1538.997251
55.000000,0.500000,1576.529576
56.000000,0.500000,1614.478347
57.000000,0.500000,1652.843563
58.000000,0.500000,1691.545515
59.000000,0.500000,1729.523068
60.000000,0.500000,1767.549631
61.000000,0.500000,1805.951578
62.000000,0.500000,1844.728908
63.000000,0.500000,1883.881623
64.000000,0.500000,1923.409722
65.000000,0.500000,1963.313206
66.000000,0.500000,2003.423176
67.000000,0.500000,2043.340932
68.000000,0.500000,2083.563946
69.000000,0.500000,2124.142803
70.000000,0.500000,2165.077503
71.000000,0.500000,2206.368045
72.000000,0.500000,2248.014430
73.000000,0.500000,2289.904104
74.000000,0.500000,2331.339441
75.000000,0.500000,2372.876753
76.000000,0.500000,2414.742609
77.000000,0.500000,2456.937009
78.000000,0.500000,2499.459951
79.000000,0.500000,2542.311438
80.000000,0.500000,2585.517704
81.000000,0.500000,2629.196110
82.000000,0.500000,2673.240206
83.000000,0.500000,2717.608509
84.000000,0.500000,2762.301019
85.000000,0.500000,2807.317735
86.000000,0.500000,2852.658659
87.000000,0.500000,2898.445167
88.000000,0.500000,2944.725048
89.000000,0.500000,2991.321136
90.000000,0.500000,3038.233431
91.000000,0.500000,3085.461932
92.000000,0.500000,3133.006641
93.000000,0.500000,3180.870385
94.000000,0.500000,3229.051723
95.000000,0.500000,3277.549300
96.000000,0.500000,3326.363116
97.000000,0.500000,3375.493170
98.000000,0.500000,3424.939463
99.000000,0.500000,3478.103672
100.000000,0.500000,3535.323915
32.000000,1.000000,788.348420
33.000000,1.000000,819.066672
34.000000,1.000000,850.330466
35.000000,1.000000,882.139802
36.000000,1.000000,914.494681
37.000000,1.000000,947.395102
38.000000,1.000000,980.841065
39.000000,1.000000,1014.832570
40.000000,1.000000,1049.369618
41.000000,1.000000,1084.412050
42.000000,1.000000,1117.868830
43.000000,1.000000,1151.794318
44.000000,1.000000,1186.188514
45.000000,1.000000,1221.051418
46.000000,1.000000,1256.383029
47.000000,1.000000,1292.183349
48.000000,1.000000,1328.452376
49.000000,1.000000,1365.190111
50.000000,1.000000,1402.042702
51.000000,1.000000,1438.097095
52.000000,1.000000,1474.569907
53.000000,1.000000,1511.461138
