weight_g,450.000000
thrust_N,velocity_m_s,power_W
24.000000,0.000000,927.050887
25.000000,0.000000,974.160323
26.000000,0.000000,1022.372087
27.000000,0.000000,1071.686177
28.000000,0.000000,1122.102595
29.000000,0.000000,1173.621341
30.000000,0.000000,1226.242413
31.000000,0.000000,1278.722767
32.000000,0.000000,1330.214186
33.000000,0.000000,1382.662161
34.000000,0.000000,1436.066689
35.000000,0.000000,1490.427772
36.000000,0.000000,1545.745410
37.000000,0.000000,1602.019601
38.000000,0.000000,1656.234200
39.000000,0.000000,1711.206931
40.000000,0.000000,1767.023248
41.000000,0.000000,1823.683149
42.000000,0.000000,1881.186634
43.000000,0.000000,1939.533705
44.000000,0.000000,1996.860664
45.000000,0.000000,2054.957472
46.000000,0.000000,2113.830751
47.000000,0.000000,2173.480503
48.000000,0.000000,2233.906728
49.000000,0.000000,2294.143537
50.000000,0.000000,2353.905462
51.000000,0.000000,2414.380690
52.000000,0.000000,2475.569221
53.000000,0.000000,2537.471056
54.000000,0.000000,2599.872216
55.000000,0.000000,2661.742301
56.000000,0.000000,2724.284400
57.000000,0.000000,2787.498511
58.000000,0.000000,2851.384636
59.000000,0.000000,2915.864452
60.000000,0.000000,2980.349270
61.000000,0.000000,3045.482262
62.000000,0.000000,3111.263430
63.000000,0.000000,3177.692772
64.000000,0.000000,3244.618418
65.000000,0.000000,3311.856559
66.000000,0.000000,3379.723934
67.000000,0.000000,3448.220544
68.000000,0.000000,3517.346389
69.000000,0.000000,3587.572240
70.000000,0.000000,3658.564018
71.000000,0.000000,3730.178810
72.000000,0.000000,3802.416616
73.000000,0.000000,3875.357417
74.000000,0.000000,3948.996672
75.000000,0.000000,4023.256892
76.000000,0.000000,4098.138078
77.000000,0.000000,4175.190867
78.000000,0.000000,4254.913636
79.000000,0.000000,4335.283363
80.000000,0.000000,4416.300047
81.000000,0.000000,4498.193282
82.000000,0.000000,4580.809072
83.000000,0.000000,4664.073703
84.000000,0.000000,4748.970139
85.000000,0.000000,4838.278312
86.000000,0.000000,4928.275961
87.000000,0.000000,5018.963087
88.000000,0.000000,5113.576230
89.000000,0.000000,5208.917378
90.000000,0.000000,5304.973301
91.000000,0.000000,5401.744000
92.000000,0.000000,5499.229474
24.000000,0.500000,930.715707
25.000000,0.500000,977.963576
26.000000,0.500000,1026.316668
27.000000,0.500000,1075.774984
28.000000,0.500000,1126.338523
29.000000,0.500000,1178.007286
30.000000,0.500000,1230.781272
31.000000,0.500000,1283.110648
32.000000,0.500000,1334.751274
33.000000,0.500000,1387.351048
34.000000,0.500000,1440.909969
35.000000,0.500000,1495.428037
36.000000,0.500000,1550.905252
37.000000,0.500000,1607.077968
38.000000,0.500000,1661.440794
39.000000,0.500000,1716.607747
40.000000,0.500000,1772.621627
41.000000,0.500000,1829.482436
42.000000,0.500000,1887.190173
43.000000,0.500000,1945.521690
44.000000,0.500000,2002.991118
45.000000,0.500000,2061.235548
46.000000,0.500000,2120.258300
47.000000,0.500000,2180.059373
48.000000,0.500000,2240.638769
49.000000,0.500000,2300.783458
50.000000,0.500000,2360.723550
51.000000,0.500000,2421.379266
52.000000,0.500000,2482.750603
