weight_g,450.000000
thrust_N,velocity_m_s,power_W
36.000000,0.000000,590.319183
37.000000,0.000000,615.014263
38.000000,0.000000,640.177917
39.000000,0.000000,665.810145
40.000000,0.000000,691.910949
41.000000,0.000000,718.480326
42.000000,0.000000,745.518278
43.000000,0.000000,773.024805
44.000000,0.000000,800.999906
45.000000,0.000000,829.443582
46.000000,0.000000,856.995279
47.000000,0.000000,883.917112
48.000000,0.000000,911.211036
49.000000,0.000000,938.877050
50.000000,0.000000,966.915156
51.000000,0.000000,995.325352
52.000000,0.000000,1024.107639
53.000000,0.000000,1053.262017
54.000000,0.000000,1082.788485
55.000000,0.000000,1112.687045
56.000000,0.000000,1142.948699
57.000000,0.000000,1173.581618
58.000000,0.000000,1204.586309
59.000000,0.000000,1235.962773
60.000000,0.000000,1267.711010
61.000000,0.000000,1299.831019
62.000000,0.000000,1332.322801
63.000000,0.000000,1365.186356
64.000000,0.000000,1398.390017
65.000000,0.000000,1431.893274
66.000000,0.000000,1465.765217
67.000000,0.000000,1500.005848
68.000000,0.000000,1534.615165
69.000000,0.000000,1569.593168
70.000000,0.000000,1604.939859
71.000000,0.000000,1640.655236
72.000000,0.000000,1675.943162
73.000000,0.000000,1710.303873
74.000000,0.000000,1744.977714
75.000000,0.000000,1779.964685
76.000000,0.000000,1815.264787
77.000000,0.000000,1850.878019
78.000000,0.000000,1886.804381
79.000000,0.000000,1923.043873
80.000000,0.000000,1959.596496
81.000000,0.000000,1996.462249
82.000000,0.000000,2033.641132
83.000000,0.000000,2071.133145
84.000000,0.000000,2108.938288
85.000000,0.000000,2147.056562
86.000000,0.000000,2185.487966
87.000000,0.000000,2224.232500
88.000000,0.000000,2263.290165
89.000000,0.000000,2302.660959
90.000000,0.000000,2342.344884
91.000000,0.000000,2382.341939
92.000000,0.000000,2422.652125
93.000000,0.000000,2463.275440
94.000000,0.000000,2504.211886
95.000000,0.000000,2545.461462
96.000000,0.000000,2587.024168
97.000000,0.000000,2628.900005
98.000000,0.000000,2671.088971
99.000000,0.000000,2713.591068
100.000000,0.000000,2756.406295
36.000000,0.500000,593.141375
37.000000,0.500000,617.920775
38.000000,0.500000,643.169970
39.000000,0.500000,668.888960
40.000000,0.500000,695.077744
41.000000,0.500000,721.736323
42.000000,0.500000,748.864697
43.000000,0.500000,776.462865
44.000000,0.500000,804.530828
45.000000,0.500000,833.068586
46.000000,0.500000,860.425534
47.000000,0.500000,887.448161
48.000000,0.500000,914.844742
49.000000,0.500000,942.615278
50.000000,0.500000,970.759769
51.000000,0.500000,999.278214
52.000000,0.500000,1028.170613
53.000000,0.500000,1057.436967
