weight_g,47.000000
thrust_N,velocity_m_s,power_W
31.000000,0.000000,1533.112093
32.000000,0.000000,1622.346623
33.000000,0.000000,1714.082104
34.000000,0.000000,1808.318537
35.000000,0.000000,1905.055921
36.000000,0.000000,2004.294257
37.000000,0.000000,2106.033544
38.000000,0.000000,2210.273782
39.000000,0.000000,2317.014972
40.000000,0.000000,2425.956784
41.000000,0.000000,2536.937674
42.000000,0.000000,2650.381322
43.000000,0.000000,2766.287730
44.000000,0.000000,2884.656896
45.000000,0.000000,3005.488821
46.000000,0.000000,3128.783504
47.000000,0.000000,3254.540947
48.000000,0.000000,3382.644764
49.000000,0.000000,3512.583729
50.000000,0.000000,3644.955333
51.000000,0.000000,3779.759575
52.000000,0.000000,3916.996457
53.000000,0.000000,4056.665978
54.000000,0.000000,4198.768138
55.000000,0.000000,4343.302938
56.000000,0.000000,4489.979872
57.000000,0.000000,4638.857915
58.000000,0.000000,4790.150566
59.000000,0.000000,4943.857825
60.000000,0.000000,5099.979693
61.000000,0.000000,5258.516169
62.000000,0.000000,5419.467253
63.000000,0.000000,5582.748078
64.000000,0.000000,5748.355242
65.000000,0.000000,5916.369312
66.000000,0.000000,6086.790286
67.000000,0.000000,6259.618165
68.000000,0.000000,6434.852949
69.000000,0.000000,6612.494638
70.000000,0.000000,6792.530786
71.000000,0.000000,6974.968952
72.000000,0.000000,7159.813347
73.000000,0.000000,7347.063971
74.000000,0.000000,7536.720825
75.000000,0.000000,7728.783906
76.000000,0.000000,7923.493443
77.000000,0.000000,8121.027615
78.000000,0.000000,8320.981935
79.000000,0.000000,8523.356402
80.000000,0.000000,8728.151017
81.000000,0.000000,8935.365779
82.000000,0.000000,9145.030962
83.000000,0.000000,9357.235799
84.000000,0.000000,9571.863747
85.000000,0.000000,9788.914804
86.000000,0.000000,10008.388972
87.000000,0.000000,10230.286249
88.000000,0.000000,10455.308955
89.000000,0.000000,10684.425892
90.000000,0.000000,10916.015781
91.000000,0.000000,11150.078623
92.000000,0.000000,11386.614417
93.000000,0.000000,11625.623163
94.000000,0.000000,11871.803457
95.000000,0.000000,12123.104786
96.000000,0.000000,12377.026327
97.000000,0.000000,12633.568082
98.000000,0.000000,12892.730050
99.000000,0.000000,13154.512230
100.000000,0.000000,13418.914624
31.000000,0.500000,1546.971130
32.000000,0.500000,1636.857177
33.000000,0.500000,1729.258539
34.000000,0.500000,1824.175218
35.000000,0.500000,1921.607212
36.000000,0.500000,2021.554522
37.000000,0.500000,2124.017147
38.000000,0.500000,2228.995089
39.000000,0.500000,2336.488346
40.000000,0.500000,2446.022814
41.000000,0.500000,2557.682549
42.000000,0.500000,2671.815209
43.000000,0.500000,2788.420793
44.000000,0.500000,2907.499303
45.000000,0.500000,3029.050737
46.000000,0.500000,3153.075095
47.000000,0.500000,3279.572379
48.000000,0.500000,3408.322424
49.000000,0.500000,3539.044668
50.000000,0.500000,3672.210699
51.000000,0.500000,3807.820517
52.000000,0.500000,3945.874121
53.000000,0.500000,4086.371513
54.000000,0.500000,4229.312692
55.000000,0.500000,4374.697658
56.000000,0.500000,4522.151516
57.000000,0.500000,4671.904684
58.000000,0.500000,4824.083712
59.000000,0.500000,4978.688601
60.000000,0.500000,5135.719351
61.000000,0.500000,5295.175963
62.000000,0.500000,5457.058435
63.000000,0.500000,5621.168722
64.000000,0.500000,5787.632523
65.000000,0.500000,5956.511810
66.000000,0.500000,6127.806583
67.000000,0.500000,6301.516840
68.000000,0.500000,6477.642583
69.000000,0.500000,6656.180409
70.000000,0.500000,6837.105149
71.000000,0.500000,7020.442072
72.000000,0.500000,7206.193298
73.000000,0.500000,7394.358826
74.000000,0.500000,7584.938656
75.000000,0.500000,7777.932788
76.000000,0.500000,7973.686595
77.000000,0.500000,8172.135447
78.000000,0.500000,8373.011739
79.000000,0.500000,8576.315470
80.000000,0.500000,8782.046641
81.000000,0.500000,8990.205252
82.000000,0.500000,9200.860695
83.000000,0.500000,9414.037121
84.000000,0.500000,9629.644185
85.000000,0.500000,9847.681885
86.000000,0.500000,10068.150222
87.000000,0.500000,10291.049195
88.000000,0.500000,10517.408097
89.000000,0.500000,10747.299086
90.000000,0.500000,10979.665282
91.000000,0.500000,11214.506685
92.000000,0.500000,11451.823295
93.000000,0.500000,11691.961398
94.000000,0.500000,11940.379007
95.000000,0.500000,12192.676512
96.000000,0.500000,12447.600015
97.000000,0.500000,12705.149517
98.000000,0.500000,12965.325016
99.000000,0.500000,13228.126514
100.000000,0.500000,13493.554010
31.000000,1.000000,1560.890640
32.000000,1.000000,1651.430455
33.000000,1.000000,1744.499992
34.000000,1.000000,1840.099250
35.000000,1.000000,1938.228229
36.000000,1.000000,2038.886930
37.000000,1.000000,2142.075352
38.000000,1.000000,2247.793495
39.000000,1.000000,2356.041359
40.000000,1.000000,2466.169419
41.000000,1.000000,2578.509851
42.000000,1.000000,2693.333396
43.000000,1.000000,2810.640051
44.000000,1.000000,2930.429819
45.000000,1.000000,3052.702698
46.000000,1.000000,3177.458688
47.000000,1.000000,3304.697790
48.000000,1.000000,3434.095141
49.000000,1.000000,3565.602882
50.000000,1.000000,3699.565583
51.000000,1.000000,3835.983244
52.000000,1.000000,3974.855866
53.000000,1.000000,4116.183448
54.000000,1.000000,4259.965990
55.000000,1.000000,4406.203493
56.000000,1.000000,4554.435970
57.000000,1.000000,4705.066698
58.000000,1.000000,4858.134567
59.000000,1.000000,5013.639575
60.000000,1.000000,5171.581722
61.000000,1.000000,5331.961010
62.000000,1.000000,5494.777438
63.000000,1.000000,5659.718820
64.000000,1.000000,5827.041261
65.000000,1.000000,5996.787783
66.000000,1.000000,6168.958385
67.000000,1.000000,6343.553069
68.000000,1.000000,6520.571833
69.000000,1.000000,6700.007842
70.000000,1.000000,6881.823108
