weight_g,450.000000
thrust_N,velocity_m_s,power_W
21.000000,0.000000,2188.104626
22.000000,0.000000,2299.650808
23.000000,0.000000,2413.924131
24.000000,0.000000,2530.924593
25.000000,0.000000,2650.652195
26.000000,0.000000,2773.106937
27.000000,0.000000,2889.072970
28.000000,0.000000,3005.595031
29.000000,0.000000,3124.375856
30.000000,0.000000,3245.415443
31.000000,0.000000,3368.713793
21.000000,0.500000,2192.493740
22.000000,0.500000,2304.310376
23.000000,0.500000,2418.862071
24.000000,0.500000,2536.148825
25.000000,0.500000,2656.170639
26.000000,0.500000,2778.927512
27.000000,0.500000,2894.383403
28.000000,0.500000,3011.148835
29.000000,0.500000,3130.178425
30.000000,0.500000,3251.472172
31.000000,0.500000,3375.030077
21.000000,1.000000,2196.886585
22.000000,1.000000,2308.973978
23.000000,1.000000,2423.804360
24.000000,1.000000,2541.377733
25.000000,1.000000,2661.694097
26.000000,1.000000,2784.753450
27.000000,1.000000,2899.697853
28.000000,1.000000,3016.706885
29.000000,1.000000,3135.985476
30.000000,1.000000,3257.533625
31.000000,1.000000,3381.351333
21.000000,1.500000,2201.316721
22.000000,1.500000,2313.674420
23.000000,1.500000,2428.782988
24.000000,1.500000,2546.642427
25.000000,1.500000,2667.252735
26.000000,1.500000,2789.957910
27.000000,1.500000,2905.043475
28.000000,1.500000,3022.301602
29.000000,1.500000,3141.834858
30.000000,1.500000,3263.643242
31.000000,1.500000,3387.726756
20.000000,2.000000,2095.881102
21.000000,2.000000,2205.750650
22.000000,2.000000,2318.378958
23.000000,2.000000,2433.766028
24.000000,2.000000,2551.911859
25.000000,2.000000,2672.816450
26.000000,2.000000,2795.166408
27.000000,2.000000,2910.393161
28.000000,2.000000,3027.900620
29.000000,2.000000,3147.688784
30.000000,2.000000,3269.757654
31.000000,2.000000,3394.107230
20.000000,2.500000,2100.089543
21.000000,2.500000,2210.221371
22.000000,2.500000,2323.119799
23.000000,2.500000,2438.784826
24.000000,2.500000,2557.216452
25.000000,2.500000,2678.414677
26.000000,2.500000,2800.300094
27.000000,2.500000,2915.776047
28.000000,2.500000,3033.538455
29.000000,2.500000,3153.587319
30.000000,2.500000,3275.922637
31.000000,2.500000,3400.544411
20.000000,3.000000,2104.301543
21.000000,3.000000,2214.695945
22.000000,3.000000,2327.864797
23.000000,3.000000,2443.808097
24.000000,3.000000,2562.525846
25.000000,3.000000,2684.018045
26.000000,3.000000,2805.437658
27.000000,3.000000,2921.163048
28.000000,3.000000,3039.180650
29.000000,3.000000,3159.490464
30.000000,3.000000,3282.092489
31.000000,3.000000,3406.986725
20.000000,3.500000,2108.643235
21.000000,3.500000,2219.285244
22.000000,3.500000,2332.708588
23.000000,3.500000,2448.913267
24.000000,3.500000,2567.899281
25.000000,3.500000,2689.666631
26.000000,3.500000,2810.604915
27.000000,3.500000,2926.585313
28.000000,3.500000,3044.863856
29.000000,3.500000,3165.440543
30.000000,3.500000,3288.315375
20.000000,4.000000,2112.988766
21.000000,4.000000,2223.878643
