weight_g,450.000000
thrust_N,velocity_m_s,power_W
31.000000,0.000000,838.212667
32.000000,0.000000,872.016324
33.000000,0.000000,906.443683
34.000000,0.000000,941.494745
35.000000,0.000000,977.169510
36.000000,0.000000,1013.467978
37.000000,0.000000,1050.390148
38.000000,0.000000,1087.936021
39.000000,0.000000,1126.105597
40.000000,0.000000,1164.189417
41.000000,0.000000,1201.404288
42.000000,0.000000,1239.163186
43.000000,0.000000,1277.466110
44.000000,0.000000,1316.313062
45.000000,0.000000,1355.704041
46.000000,0.000000,1395.639047
47.000000,0.000000,1436.118080
48.000000,0.000000,1477.057340
49.000000,0.000000,1516.855740
50.000000,0.000000,1557.144008
51.000000,0.000000,1597.922142
52.000000,0.000000,1639.190142
53.000000,0.000000,1680.948010
54.000000,0.000000,1723.195744
55.000000,0.000000,1765.933345
56.000000,0.000000,1808.527243
57.000000,0.000000,1850.631236
58.000000,0.000000,1893.181419
59.000000,0.000000,1936.177792
60.000000,0.000000,1979.620357
61.000000,0.000000,2023.509112
62.000000,0.000000,2067.844057
63.000000,0.000000,2112.347237
64.000000,0.000000,2156.260093
65.000000,0.000000,2200.585436
66.000000,0.000000,2245.323267
67.000000,0.000000,2290.473586
68.000000,0.000000,2336.036393
69.000000,0.000000,2382.011688
70.000000,0.000000,2428.259127
71.000000,0.000000,2474.709492
72.000000,0.000000,2521.562160
73.000000,0.000000,2568.817133
74.000000,0.000000,2616.474409
75.000000,0.000000,2664.533989
76.000000,0.000000,2712.995873
77.000000,0.000000,2762.180291
78.000000,0.000000,2811.757032
79.000000,0.000000,2861.724682
80.000000,0.000000,2912.083242
81.000000,0.000000,2962.832711
82.000000,0.000000,3013.973090
83.000000,0.000000,3065.504379
84.000000,0.000000,3117.426577
85.000000,0.000000,3169.739685
86.000000,0.000000,3222.443702
87.000000,0.000000,3275.538629
88.000000,0.000000,3331.129542
89.000000,0.000000,3390.179094
90.000000,0.000000,3449.656628
91.000000,0.000000,3509.562143
92.000000,0.000000,3569.895639
93.000000,0.000000,3630.668272
94.000000,0.000000,3691.876374
95.000000,0.000000,3753.512568
96.000000,0.000000,3815.576856
97.000000,0.000000,3878.069235
98.000000,0.000000,3941.968304
99.000000,0.000000,4006.348648
100.000000,0.000000,4071.165904
31.000000,0.500000,842.752694
32.000000,0.500000,876.711380
33.000000,0.500000,911.296488
34.000000,0.500000,946.508019
35.000000,0.500000,982.345973
36.000000,0.500000,1018.810349
37.000000,0.500000,1055.901147
38.000000,0.500000,1093.618368
39.000000,0.500000,1131.962012
40.000000,0.500000,1169.862896
41.000000,0.500000,1207.242601
42.000000,0.500000,1245.168783
43.000000,0.500000,1283.641443
44.000000,0.500000,1322.660579
45.000000,0.500000,1362.226193
