weight_g,610.000000
thrust_N,velocity_m_s,power_W
28.000000,0.000000,985.164758
29.000000,0.000000,1028.313913
30.000000,0.000000,1072.342018
31.000000,0.000000,1117.249073
32.000000,0.000000,1163.035079
33.000000,0.000000,1209.700036
34.000000,0.000000,1257.243942
35.000000,0.000000,1305.666799
36.000000,0.000000,1352.655597
37.000000,0.000000,1399.954478
38.000000,0.000000,1448.024066
39.000000,0.000000,1496.864363
40.000000,0.000000,1546.475369
41.000000,0.000000,1596.857082
42.000000,0.000000,1648.009504
43.000000,0.000000,1698.424344
44.000000,0.000000,1748.301807
45.000000,0.000000,1798.858837
46.000000,0.000000,1850.095435
47.000000,0.000000,1902.011600
48.000000,0.000000,1954.607334
49.000000,0.000000,2007.882635
50.000000,0.000000,2060.427182
51.000000,0.000000,2113.282497
52.000000,0.000000,2166.767476
53.000000,0.000000,2220.882119
54.000000,0.000000,2275.626426
55.000000,0.000000,2331.000396
56.000000,0.000000,2386.489314
57.000000,0.000000,2442.105496
58.000000,0.000000,2498.325338
59.000000,0.000000,2555.148839
60.000000,0.000000,2612.576001
61.000000,0.000000,2670.606822
62.000000,0.000000,2727.804227
63.000000,0.000000,2784.584486
64.000000,0.000000,2841.909817
65.000000,0.000000,2899.780221
66.000000,0.000000,2958.195697
67.000000,0.000000,3017.156246
68.000000,0.000000,3076.621424
69.000000,0.000000,3136.625986
70.000000,0.000000,3197.174467
71.000000,0.000000,3258.266869
72.000000,0.000000,3319.903191
73.000000,0.000000,3381.276684
74.000000,0.000000,3442.358823
75.000000,0.000000,3503.945853
76.000000,0.000000,3566.037773
77.000000,0.000000,3628.634584
78.000000,0.000000,3691.736285
79.000000,0.000000,3755.342877
80.000000,0.000000,3819.454359
81.000000,0.000000,3884.070732
82.000000,0.000000,3949.191995
83.000000,0.000000,4014.906395
84.000000,0.000000,4081.285207
85.000000,0.000000,4148.161620
86.000000,0.000000,4215.535633
87.000000,0.000000,4283.407247
88.000000,0.000000,4351.860226
89.000000,0.000000,4420.849056
90.000000,0.000000,4490.330876
91.000000,0.000000,4560.305687
92.000000,0.000000,4630.773489
93.000000,0.000000,4701.734282
94.000000,0.000000,4773.188066
95.000000,0.000000,4845.134840
96.000000,0.000000,4917.574605
97.000000,0.000000,4992.991412
98.000000,0.000000,5069.339477
99.000000,0.000000,5146.199138
100.000000,0.000000,5223.570394
28.000000,0.500000,988.703411
29.000000,0.500000,1032.002573
30.000000,0.500000,1076.183969
31.000000,0.500000,1121.247599
32.000000,0.500000,1167.193463
33.000000,0.500000,1214.021561
34.000000,0.500000,1261.731893
35.000000,0.500000,1310.228039
36.000000,0.500000,1357.145223
37.000000,0.500000,1404.605278
38.000000,0.500000,1452.839015
39.000000,0.500000,1501.846432
40.000000,0.500000,1551.627531
41.000000,0.500000,1602.182310
42.000000,0.500000,1653.510771
43.000000,0.500000,1703.682431
44.000000,0.500000,1753.662264
45.000000,0.500000,1804.322584
46.000000,0.500000,1855.663391
47.000000,0.500000,1907.684685
48.000000,0.500000,1960.386466
49.000000,0.500000,2013.698564
50.000000,0.500000,2066.238807
51.000000,0.500000,2119.251219
52.000000,0.500000,2172.895553
53.000000,0.500000,2227.171807
54.000000,0.500000,2282.079981
55.000000,0.500000,2337.620076
56.000000,0.500000,2393.107352
57.000000,0.500000,2448.861581
58.000000,0.500000,2505.220876
59.000000,0.500000,2562.185238
60.000000,0.500000,2619.754667
61.000000,0.500000,2677.929162
62.000000,0.500000,2734.899533
63.000000,0.500000,2791.821496
64.000000,0.500000,2849.290142
65.000000,0.500000,2907.305471
66.000000,0.500000,2965.867483
67.000000,0.500000,3024.967145
68.000000,0.500000,3084.560494
69.000000,0.500000,3144.696748
70.000000,0.500000,3205.378181
71.000000,0.500000,3266.604794
72.000000,0.500000,3328.376586
73.000000,0.500000,3389.605467
74.000000,0.500000,3450.802983
75.000000,0.500000,3512.506265
76.000000,0.500000,3574.715314
77.000000,0.500000,3637.430129
78.000000,0.500000,3700.641723
79.000000,0.500000,3764.354044
80.000000,0.500000,3828.571816
81.000000,0.500000,3893.295039
82.000000,0.500000,3958.523712
83.000000,0.500000,4024.370799
84.000000,0.500000,4090.830154
85.000000,0.500000,4157.787783
86.000000,0.500000,4225.243686
87.000000,0.500000,4293.198165
88.000000,0.500000,4361.753232
89.000000,0.500000,4430.822751
90.000000,0.500000,4500.385468
91.000000,0.500000,4570.441382
92.000000,0.500000,4640.990494
93.000000,0.500000,4712.032804
94.000000,0.500000,4783.568311
95.000000,0.500000,4855.597016
96.000000,0.500000,4928.378360
97.000000,0.500000,5003.958501
98.000000,0.500000,5080.259382
99.000000,0.500000,5157.071270
100.000000,0.500000,5234.541840
27.000000,1.000000,949.681897
28.000000,1.000000,992.245771
29.000000,1.000000,1035.695169
30.000000,1.000000,1080.030090
31.000000,1.000000,1125.250534
32.000000,1.000000,1171.356501
33.000000,1.000000,1218.347992
34.000000,1.000000,1266.225006
35.000000,1.000000,1314.794278
36.000000,1.000000,1361.639087
37.000000,1.000000,1409.260556
38.000000,1.000000,1457.658684
39.000000,1.000000,1506.833472
40.000000,1.000000,1556.784919
41.000000,1.000000,1607.513026
42.000000,1.000000,1659.017792
43.000000,1.000000,1708.944853
44.000000,1.000000,1759.027118
45.000000,1.000000,1809.790790
46.000000,1.000000,1861.235869
47.000000,1.000000,1913.362354
48.000000,1.000000,1966.170246
49.000000,1.000000,2019.518930
50.000000,1.000000,2072.054476
51.000000,1.000000,2125.224203
52.000000,1.000000,2179.028113
53.000000,1.000000,2233.466203
54.000000,1.000000,2288.538476
55.000000,1.000000,2344.244930
56.000000,1.000000,2399.730149
57.000000,1.000000,2455.622527
58.000000,1.000000,2512.121380
59.000000,1.000000,2569.226707
60.000000,1.000000,2626.938509
61.000000,1.000000,2685.256785
62.000000,1.000000,2741.998880
63.000000,1.000000,2799.062731
64.000000,1.000000,2856.674877
65.000000,1.000000,2914.835319
66.000000,1.000000,2973.544057
67.000000,1.000000,3032.782991
68.000000,1.000000,3092.504653
69.000000,1.000000,3152.772755
70.000000,1.000000,3213.587297
71.000000,1.000000,3274.948279
72.000000,1.000000,3336.855700
73.000000,1.000000,3397.938807
74.000000,1.000000,3459.251792
75.000000,1.000000,3521.071420
76.000000,1.000000,3583.397690
77.000000,1.000000,3646.230603
78.000000,1.000000,3709.552144
79.000000,1.000000,3773.370225
80.000000,1.000000,3837.694317
81.000000,1.000000,3902.524421
82.000000,1.000000,3967.860537
83.000000,1.000000,4033.839776
84.000000,1.000000,4100.379851
85.000000,1.000000,4167.418871
86.000000,1.000000,4234.956837
87.000000,1.000000,4302.994347
88.000000,1.000000,4371.651158
89.000000,1.000000,4440.801373
90.000000,1.000000,4510.444992
91.000000,1.000000,4580.582016
92.000000,1.000000,4651.212443
93.000000,1.000000,4722.336276
94.000000,1.000000,4793.953512
95.000000,1.000000,4866.064153
96.000000,1.000000,4939.186865
97.000000,1.000000,5014.930259
98.000000,1.000000,5091.184064
99.000000,1.000000,5167.948281
100.000000,1.000000,5245.518143
27.000000,1.500000,952.902896
28.000000,1.500000,995.636001
29.000000,1.500000,1039.259148
30.000000,1.500000,1083.772339
31.000000,1.500000,1129.175573
32.000000,1.500000,1175.468851
33.000000,1.500000,1222.652172
34.000000,1.500000,1270.725537
35.000000,1.500000,1319.148576
36.000000,1.500000,1366.121204
37.000000,1.500000,1413.872283
38.000000,1.500000,1462.401812
39.000000,1.500000,1511.709793
40.000000,1.500000,1561.796224
41.000000,1.500000,1612.661106
42.000000,1.500000,1664.200861
43.000000,1.500000,1714.001369
44.000000,1.500000,1764.221808
45.000000,1.500000,1815.125808
46.000000,1.500000,1866.713368
47.000000,1.500000,1918.984489
48.000000,1.500000,1971.939170
49.000000,1.500000,2025.219866
50.000000,1.500000,2077.909888
51.000000,1.500000,2131.236334
52.000000,1.500000,2185.199204
53.000000,1.500000,2239.798499
54.000000,1.500000,2295.034218
55.000000,1.500000,2350.850471
56.000000,1.500000,2406.365817
57.000000,1.500000,2462.389005
58.000000,1.500000,2519.019879
