weight_g,230.000000
thrust_N,velocity_m_s,power_W
28.000000,0.000000,1077.817913
29.000000,0.000000,1123.152030
30.000000,0.000000,1169.378062
31.000000,0.000000,1216.496007
32.000000,0.000000,1264.505867
33.000000,0.000000,1313.407642
34.000000,0.000000,1363.201331
35.000000,0.000000,1413.886934
36.000000,0.000000,1465.038223
37.000000,0.000000,1513.898737
38.000000,0.000000,1563.519563
39.000000,0.000000,1613.900702
40.000000,0.000000,1665.042153
41.000000,0.000000,1716.943916
42.000000,0.000000,1769.605992
43.000000,0.000000,1823.028380
44.000000,0.000000,1875.467710
45.000000,0.000000,1927.700625
46.000000,0.000000,1980.611590
47.000000,0.000000,2034.200605
48.000000,0.000000,2088.467671
49.000000,0.000000,2143.412787
50.000000,0.000000,2199.035953
51.000000,0.000000,2253.638635
52.000000,0.000000,2308.414818
53.000000,0.000000,2363.810219
54.000000,0.000000,2419.824837
55.000000,0.000000,2476.458673
56.000000,0.000000,2533.711726
57.000000,0.000000,2590.928589
58.000000,0.000000,2647.563032
59.000000,0.000000,2704.772027
60.000000,0.000000,2762.555573
61.000000,0.000000,2820.913669
62.000000,0.000000,2879.846317
63.000000,0.000000,2938.897914
64.000000,0.000000,2997.224130
65.000000,0.000000,3056.081660
66.000000,0.000000,3115.470505
67.000000,0.000000,3175.390665
68.000000,0.000000,3235.842140
69.000000,0.000000,3296.822017
70.000000,0.000000,3358.324409
71.000000,0.000000,3420.350429
72.000000,0.000000,3482.900078
73.000000,0.000000,3545.973355
74.000000,0.000000,3609.575335
75.000000,0.000000,3673.755228
76.000000,0.000000,3738.448713
77.000000,0.000000,3803.655790
78.000000,0.000000,3869.376460
79.000000,0.000000,3935.636909
80.000000,0.000000,4004.111027
81.000000,0.000000,4073.109698
82.000000,0.000000,4142.632923
83.000000,0.000000,4212.680702
84.000000,0.000000,4283.876594
85.000000,0.000000,4356.623666
86.000000,0.000000,4429.903564
87.000000,0.000000,4503.716288
88.000000,0.000000,4578.145370
89.000000,0.000000,4653.962442
90.000000,0.000000,4730.320329
91.000000,0.000000,4807.219028
92.000000,0.000000,4884.730969
93.000000,0.000000,4970.104991
94.000000,0.000000,5056.076629
95.000000,0.000000,5142.645881
96.000000,0.000000,5229.812749
97.000000,0.000000,5317.577231
98.000000,0.000000,5405.939329
99.000000,0.000000,5494.899041
100.000000,0.000000,5584.456369
28.000000,0.500000,1082.545984
29.000000,0.500000,1128.103286
30.000000,0.500000,1174.557439
31.000000,0.500000,1221.908445
32.000000,0.500000,1270.156303
33.000000,0.500000,1319.301012
34.000000,0.500000,1369.342574
35.000000,0.500000,1420.280987
36.000000,0.500000,1471.167535
37.000000,0.500000,1520.214416
38.000000,0.500000,1570.024469
39.000000,0.500000,1620.597692
40.000000,0.500000,1671.934086
41.000000,0.500000,1724.033651
42.000000,0.500000,1776.896386
43.000000,0.500000,1830.522293
44.000000,0.500000,1882.733644
45.000000,0.500000,1935.139700
46.000000,0.500000,1988.225954
47.000000,0.500000,2041.992407
48.000000,0.500000,2096.439058
49.000000,0.500000,2151.565907
50.000000,0.500000,2207.247595
51.000000,0.500000,2261.788262
52.000000,0.500000,2316.726516
53.000000,0.500000,2372.285701
54.000000,0.500000,2428.465819
55.000000,0.500000,2485.266867
56.000000,0.500000,2542.688848
57.000000,0.500000,2599.776704
58.000000,0.500000,2656.593916
59.000000,0.500000,2713.987458
60.000000,0.500000,2771.957330
61.000000,0.500000,2830.503532
62.000000,0.500000,2889.626064
63.000000,0.500000,2948.540896
64.000000,0.500000,3007.030764
65.000000,0.500000,3066.053434
66.000000,0.500000,3125.608907
67.000000,0.500000,3185.697182
68.000000,0.500000,3246.318260
69.000000,0.500000,3307.431691
70.000000,0.500000,3369.062846
71.000000,0.500000,3431.218532
72.000000,0.500000,3493.898747
73.000000,0.500000,3557.103493
74.000000,0.500000,3620.834377
75.000000,0.500000,3685.111175
76.000000,0.500000,3749.901867
77.000000,0.500000,3815.206453
78.000000,0.500000,3881.024931
79.000000,0.500000,3947.691799
80.000000,0.500000,4016.225934
81.000000,0.500000,4085.284635
82.000000,0.500000,4154.867902
83.000000,0.500000,4224.975736
84.000000,0.500000,4296.546392
85.000000,0.500000,4369.372619
86.000000,0.500000,4442.731727
87.000000,0.500000,4516.623716
88.000000,0.500000,4591.277803
89.000000,0.500000,4667.122613
90.000000,0.500000,4743.507838
91.000000,0.500000,4820.433479
92.000000,0.500000,4899.268832
93.000000,0.500000,4984.688885
94.000000,0.500000,5070.706178
95.000000,0.500000,5157.320710
96.000000,0.500000,5244.532482
97.000000,0.500000,5332.341493
98.000000,0.500000,5420.747743
99.000000,0.500000,5509.751232
100.000000,0.500000,5599.351961
28.000000,1.000000,1087.283214
29.000000,1.000000,1133.064197
30.000000,1.000000,1179.746984
31.000000,1.000000,1227.331573
32.000000,1.000000,1275.817965
33.000000,1.000000,1325.206160
34.000000,1.000000,1375.496157
35.000000,1.000000,1426.687957
36.000000,1.000000,1477.307789
37.000000,1.000000,1526.541385
38.000000,1.000000,1576.541016
39.000000,1.000000,1627.306681
40.000000,1.000000,1678.838381
41.000000,1.000000,1731.136115
42.000000,1.000000,1784.199884
43.000000,1.000000,1838.029687
44.000000,1.000000,1890.011487
45.000000,1.000000,1942.590977
46.000000,1.000000,1995.852818
47.000000,1.000000,2049.797008
48.000000,1.000000,2104.423548
49.000000,1.000000,2159.732438
50.000000,1.000000,2215.472410
51.000000,1.000000,2269.950341
52.000000,1.000000,2325.050921
53.000000,1.000000,2380.774148
54.000000,1.000000,2437.120023
55.000000,1.000000,2494.088547
56.000000,1.000000,2551.679719
57.000000,1.000000,2608.637574
58.000000,1.000000,2665.637809
59.000000,1.000000,2723.216156
60.000000,1.000000,2781.372613
61.000000,1.000000,2840.107181
62.000000,1.000000,2899.419860
63.000000,1.000000,2958.196720
64.000000,1.000000,3016.850481
65.000000,1.000000,3076.038534
66.000000,1.000000,3135.760880
67.000000,1.000000,3196.017517
68.000000,1.000000,3256.808447
