weight_g,60.000000
thrust_N,velocity_m_s,power_W
40.000000,0.000000,2059.370141
41.000000,0.000000,2153.662600
42.000000,0.000000,2250.055238
43.000000,0.000000,2348.548056
44.000000,0.000000,2449.141053
45.000000,0.000000,2551.834231
46.000000,0.000000,2656.627588
47.000000,0.000000,2763.521126
48.000000,0.000000,2872.514843
49.000000,0.000000,2983.608740
50.000000,0.000000,3096.802817
51.000000,0.000000,3212.097073
52.000000,0.000000,3329.442769
53.000000,0.000000,3448.700057
54.000000,0.000000,3570.048767
55.000000,0.000000,3693.488901
56.000000,0.000000,3819.020457
57.000000,0.000000,3946.643436
58.000000,0.000000,4076.357838
59.000000,0.000000,4208.163663
60.000000,0.000000,4342.060910
61.000000,0.000000,4478.049580
62.000000,0.000000,4616.129673
63.000000,0.000000,4755.510805
64.000000,0.000000,4896.441074
65.000000,0.000000,5039.422101
66.000000,0.000000,5184.453886
67.000000,0.000000,5331.536429
68.000000,0.000000,5480.669730
69.000000,0.000000,5631.853789
70.000000,0.000000,5785.088606
71.000000,0.000000,5940.374182
72.000000,0.000000,6097.710515
73.000000,0.000000,6257.097607
74.000000,0.000000,6418.535457
75.000000,0.000000,6582.024065
76.000000,0.000000,6747.563431
77.000000,0.000000,6915.153555
78.000000,0.000000,7084.794438
79.000000,0.000000,7256.486078
80.000000,0.000000,7430.228477
81.000000,0.000000,7606.021633
82.000000,0.000000,7783.794847
83.000000,0.000000,7963.442575
84.000000,0.000000,8145.134939
85.000000,0.000000,8328.871938
86.000000,0.000000,8514.653571
87.000000,0.000000,8702.479840
88.000000,0.000000,8892.350743
89.000000,0.000000,9084.266281
90.000000,0.000000,9278.226454
91.000000,0.000000,9473.885218
92.000000,0.000000,9671.310457
93.000000,0.000000,9870.766365
94.000000,0.000000,10072.252942
95.000000,0.000000,10275.770188
96.000000,0.000000,10481.318103
97.000000,0.000000,10688.896687
98.000000,0.000000,10898.505940
99.000000,0.000000,11110.145862
100.000000,0.000000,11323.816453
40.000000,0.500000,2085.540504
41.000000,0.500000,2180.741995
42.000000,0.500000,2278.057799
43.000000,0.500000,2377.487917
44.000000,0.500000,2479.032348
45.000000,0.500000,2582.691092
46.000000,0.500000,2688.464150
47.000000,0.500000,2796.351521
48.000000,0.500000,2906.353205
49.000000,0.500000,3018.469203
50.000000,0.500000,3132.699514
51.000000,0.500000,3249.044138
52.000000,0.500000,3367.402477
53.000000,0.500000,3487.746224
54.000000,0.500000,3610.195902
