weight_g,219.000000
thrust_N,velocity_m_s,power_W
21.000000,0.000000,620.117387
22.000000,0.000000,666.006179
23.000000,0.000000,713.270392
24.000000,0.000000,761.910027
25.000000,0.000000,811.925082
26.000000,0.000000,863.315558
27.000000,0.000000,926.804307
28.000000,0.000000,995.966540
29.000000,0.000000,1066.967690
30.000000,0.000000,1140.316961
31.000000,0.000000,1237.776093
32.000000,0.000000,1337.768444
33.000000,0.000000,1450.627808
34.000000,0.000000,1579.922075
35.000000,0.000000,1717.910948
36.000000,0.000000,1865.806681
37.000000,0.000000,2045.339115
38.000000,0.000000,2240.292060
39.000000,0.000000,2445.799373
40.000000,0.000000,2707.971603
41.000000,0.000000,3014.000361
21.000000,0.500000,622.600359
22.000000,0.500000,668.514335
23.000000,0.500000,715.802202
24.000000,0.500000,764.463961
25.000000,0.500000,814.499610
26.000000,0.500000,865.909151
27.000000,0.500000,930.074206
28.000000,0.500000,999.162217
29.000000,0.500000,1070.083434
30.000000,0.500000,1144.285561
31.000000,0.500000,1241.724510
32.000000,0.500000,1341.691931
33.000000,0.500000,1455.379514
34.000000,0.500000,1584.553962
35.000000,0.500000,1722.820094
36.000000,0.500000,1870.579319
37.000000,0.500000,2051.278281
38.000000,0.500000,2246.216742
39.000000,0.500000,2453.208758
40.000000,0.500000,2715.393112
41.000000,0.500000,3023.815770
21.000000,1.000000,625.086458
22.000000,1.000000,671.025576
23.000000,1.000000,718.337053
24.000000,1.000000,767.020890
25.000000,1.000000,817.077087
26.000000,1.000000,868.505644
27.000000,1.000000,933.347595
28.000000,1.000000,1002.361166
29.000000,1.000000,1073.202238
30.000000,1.000000,1148.258039
31.000000,1.000000,1245.676626
32.000000,1.000000,1345.618944
33.000000,1.000000,1460.135456
34.000000,1.000000,1589.189761
35.000000,1.000000,1727.733233
36.000000,1.000000,1875.355610
37.000000,1.000000,2057.222086
38.000000,1.000000,2252.145672
39.000000,1.000000,2460.624773
40.000000,1.000000,2722.820661
41.000000,1.000000,3033.640952
21.000000,1.500000,627.566832
22.000000,1.500000,673.531147
23.000000,1.500000,720.866302
24.000000,1.500000,769.572297
25.000000,1.500000,819.649133
26.000000,1.500000,871.096809
27.000000,1.500000,936.596866
28.000000,1.500000,1005.537405
29.000000,1.500000,1076.299816
30.000000,1.500000,1152.219834
31.000000,1.500000,1249.616505
32.000000,1.500000,1349.532138
33.000000,1.500000,1464.862208
34.000000,1.500000,1593.797319
35.000000,1.500000,1732.617710
36.000000,1.500000,1880.103086
37.000000,1.500000,2063.151538
38.000000,1.500000,2258.060572
39.000000,1.500000,2467.981177
40.000000,1.500000,2730.216522
41.000000,1.500000,3043.295488
21.000000,2.000000,630.050324
22.000000,2.000000,676.039794
23.000000,2.000000,723.398583
24.000000,2.000000,772.126691
25.000000,2.000000,822.224118
26.000000,2.000000,873.690865
27.000000,2.000000,939.849588
28.000000,2.000000,1008.716880
29.000000,2.000000,1079.400421
30.000000,2.000000,1156.185483
31.000000,2.000000,1253.560060
32.000000,2.000000,1353.448833
33.000000,2.000000,1469.593148
34.000000,2.000000,1598.408746
35.000000,2.000000,1737.506134
36.000000,2.000000,1884.854173
37.000000,2.000000,2069.085582
38.000000,2.000000,2263.979678
39.000000,2.000000,2475.344061
40.000000,2.000000,2737.618337
41.000000,2.000000,3052.959433
21.000000,2.500000,632.586858
22.000000,2.500000,678.592688
23.000000,2.500000,725.965706
24.000000,2.500000,774.705912
25.000000,2.500000,824.813306
26.000000,2.500000,876.551221
27.000000,2.500000,943.086878
28.000000,2.500000,1011.879461
29.000000,2.500000,1082.482590
30.000000,2.500000,1160.140161
31.000000,2.500000,1257.491082
32.000000,2.500000,1357.351405
33.000000,2.500000,1474.295218
34.000000,2.500000,1602.992248
35.000000,2.500000,1742.365971
36.000000,2.500000,1889.576526
37.000000,2.500000,2075.005431
38.000000,2.500000,2269.884911
39.000000,2.500000,2482.648466
40.000000,2.500000,2744.988943
41.000000,2.500000,3062.455914
21.000000,3.000000,635.126678
22.000000,3.000000,681.148793
23.000000,3.000000,728.535965
24.000000,3.000000,777.288192
25.000000,3.000000,827.405475
26.000000,3.000000,879.414783
27.000000,3.000000,946.327599
28.000000,3.000000,1015.045257
