weight_g,350.000000
thrust_N,velocity_m_s,power_W
25.000000,0.000000,925.270871
26.000000,0.000000,970.822610
27.000000,0.000000,1017.395456
28.000000,0.000000,1064.989410
29.000000,0.000000,1113.604472
30.000000,0.000000,1163.240641
31.000000,0.000000,1213.897917
32.000000,0.000000,1265.349414
33.000000,0.000000,1314.787705
34.000000,0.000000,1365.101064
35.000000,0.000000,1416.289492
36.000000,0.000000,1468.352988
37.000000,0.000000,1521.291552
38.000000,0.000000,1575.105184
39.000000,0.000000,1628.730279
40.000000,0.000000,1682.180713
41.000000,0.000000,1736.421964
42.000000,0.000000,1791.454034
43.000000,0.000000,1847.276921
44.000000,0.000000,1903.890627
45.000000,0.000000,1960.263874
46.000000,0.000000,2016.465470
47.000000,0.000000,2073.389728
48.000000,0.000000,2131.036649
49.000000,0.000000,2189.406232
50.000000,0.000000,2248.498479
51.000000,0.000000,2307.954633
52.000000,0.000000,2368.074412
53.000000,0.000000,2428.885393
54.000000,0.000000,2490.387575
55.000000,0.000000,2552.580958
56.000000,0.000000,2617.225451
57.000000,0.000000,2683.109659
58.000000,0.000000,2749.700771
59.000000,0.000000,2816.998788
60.000000,0.000000,2885.710707
61.000000,0.000000,2958.282163
62.000000,0.000000,3031.600850
63.000000,0.000000,3105.666768
64.000000,0.000000,3180.880078
65.000000,0.000000,3259.373015
66.000000,0.000000,3338.641719
67.000000,0.000000,3418.686189
25.000000,0.500000,929.440815
26.000000,0.500000,975.195166
27.000000,0.500000,1021.975258
28.000000,0.500000,1069.781091
29.000000,0.500000,1118.612665
30.000000,0.500000,1168.469979
31.000000,0.500000,1219.353034
32.000000,0.500000,1270.656679
33.000000,0.500000,1320.255748
34.000000,0.500000,1370.732416
35.000000,0.500000,1422.086683
36.000000,0.500000,1474.318549
37.000000,0.500000,1527.428014
38.000000,0.500000,1581.415078
39.000000,0.500000,1634.953177
40.000000,0.500000,1688.554862
41.000000,0.500000,1742.949226
42.000000,0.500000,1798.136267
43.000000,0.500000,1854.115986
44.000000,0.500000,1910.888382
45.000000,0.500000,1967.202524
46.000000,0.500000,2023.595018
47.000000,0.500000,2080.712630
48.000000,0.500000,2138.555358
49.000000,0.500000,2197.123205
50.000000,0.500000,2256.358531
51.000000,0.500000,2315.897663
52.000000,0.500000,2376.114633
53.000000,0.500000,2437.023323
54.000000,0.500000,2498.623732
55.000000,0.500000,2560.959790
56.000000,0.500000,2625.952060
57.000000,0.500000,2691.917908
58.000000,0.500000,2758.590859
59.000000,0.500000,2825.970913
60.000000,0.500000,2895.267066
61.000000,0.500000,2967.898868
62.000000,0.500000,3041.277660
63.000000,0.500000,3115.403441
64.000000,0.500000,3191.051086
65.000000,0.500000,3269.589876
66.000000,0.500000,3348.903913
67.000000,0.500000,3428.993197
25.000000,1.000000,933.619165
26.000000,1.000000,979.576550
27.000000,1.000000,1026.564318
28.000000,1.000000,1074.582470
29.000000,1.000000,1123.631007
30.000000,1.000000,1173.709927
31.000000,1.000000,1224.819231
32.000000,1.000000,1275.973585
33.000000,1.000000,1325.733705
34.000000,1.000000,1376.373958
35.000000,1.000000,1427.894344
36.000000,1.000000,1480.294864
37.000000,1.000000,1533.575518
38.000000,1.000000,1587.736305
39.000000,1.000000,1641.186400
40.000000,1.000000,1694.939554
41.000000,1.000000,1749.487247
42.000000,1.000000,1804.829481
43.000000,1.000000,1860.966254
44.000000,1.000000,1917.897567
45.000000,1.000000,1974.151783
46.000000,1.000000,2030.735470
47.000000,1.000000,2088.046733
48.000000,1.000000,2146.085572
49.000000,1.000000,2204.851987
50.000000,1.000000,2264.230174
51.000000,1.000000,2323.852175
52.000000,1.000000,2384.166414
53.000000,1.000000,2445.172890
54.000000,1.000000,2506.871603
55.000000,1.000000,2569.350443
56.000000,1.000000,2634.690666
57.000000,1.000000,2700.738188
58.000000,1.000000,2767.493010
59.000000,1.000000,2834.955133
60.000000,1.000000,2904.836175
61.000000,1.000000,2977.528296
62.000000,1.000000,3050.967163
63.000000,1.000000,3125.152779
64.000000,1.000000,3201.235192
65.000000,1.000000,3279.819768
66.000000,1.000000,3359.179070
67.000000,1.000000,3439.313098
25.000000,1.500000,937.844735
26.000000,1.500000,984.007332
27.000000,1.500000,1031.205006
28.000000,1.500000,1079.437755
29.000000,1.500000,1128.705580
30.000000,1.500000,1179.008481
31.000000,1.500000,1230.346457
32.000000,1.500000,1281.326439
33.000000,1.500000,1331.248822
34.000000,1.500000,1382.053892
35.000000,1.500000,1433.741650
36.000000,1.500000,1486.312095
37.000000,1.500000,1539.765229
38.000000,1.500000,1594.099687
39.000000,1.500000,1647.455268
40.000000,1.500000,1701.360899
41.000000,1.500000,1756.062946
42.000000,1.500000,1811.561409
43.000000,1.500000,1867.856288
44.000000,1.500000,1924.914878
45.000000,1.500000,1981.159941
46.000000,1.500000,2037.935527
47.000000,1.500000,2095.441150
48.000000,1.500000,2153.676811
49.000000,1.500000,2212.642509
50.000000,1.500000,2272.095322
51.000000,1.500000,2331.816003
52.000000,1.500000,2392.229471
53.000000,1.500000,2453.335727
54.000000,1.500000,2515.134770
55.000000,1.500000,2578.013991
56.000000,1.500000,2643.435744
57.000000,1.500000,2709.564994
58.000000,1.500000,2776.401741
59.000000,1.500000,2843.945984
60.000000,1.500000,2914.398329
61.000000,1.500000,2987.150841
62.000000,1.500000,3060.649862
63.000000,1.500000,3134.895390
64.000000,1.500000,3211.404014
65.000000,1.500000,3290.034042
66.000000,1.500000,3369.438272
67.000000,1.500000,3449.616704
25.000000,2.000000,942.078860
26.000000,2.000000,988.447098
27.000000,2.000000,1035.855115
28.000000,2.000000,1084.302909
29.000000,2.000000,1133.790481
30.000000,2.000000,1184.317831
31.000000,2.000000,1235.884959
32.000000,2.000000,1286.689041
33.000000,2.000000,1336.773962
34.000000,2.000000,1387.744129
35.000000,2.000000,1439.599542
36.000000,2.000000,1492.340201
37.000000,2.000000,1545.966105
38.000000,2.000000,1600.474520
39.000000,2.000000,1653.734553
40.000000,2.000000,1707.792880
41.000000,2.000000,1762.649502
42.000000,2.000000,1818.304418
43.000000,2.000000,1874.757627
44.000000,2.000000,1931.943566
45.000000,2.000000,1988.178845
46.000000,2.000000,2045.146627
47.000000,2.000000,2102.846911
48.000000,2.000000,2161.279697
49.000000,2.000000,2220.444986
50.000000,2.000000,2279.971895
51.000000,2.000000,2339.791338
52.000000,2.000000,2400.304118
53.000000,2.000000,2461.510235
54.000000,2.000000,2523.409689
55.000000,2.000000,2586.689517
56.000000,2.000000,2652.192835
57.000000,2.000000,2718.403846
58.000000,2.000000,2785.322549
59.000000,2.000000,2852.948946
60.000000,2.000000,2923.973216
61.000000,2.000000,2996.786093
62.000000,2.000000,3070.345238
63.000000,2.000000,3144.650651
64.000000,2.000000,3221.585899
65.000000,2.000000,3300.261310
66.000000,2.000000,3379.710400
67.000000,2.000000,3459.933168
25.000000,2.500000,946.420008
26.000000,2.500000,992.987795
27.000000,2.500000,1040.599685
28.000000,2.500000,1089.255679
29.000000,2.500000,1138.955778
30.000000,2.500000,1189.699980
31.000000,2.500000,1241.488286
32.000000,2.500000,1292.088224
33.000000,2.500000,1342.336893
34.000000,2.500000,1393.473383
35.000000,2.500000,1445.497692
36.000000,2.500000,1498.409820
37.000000,2.500000,1552.209769
38.000000,2.500000,1606.638068
39.000000,2.500000,1660.049925
40.000000,2.500000,1714.261969
41.000000,2.500000,1769.274200
42.000000,2.500000,1825.086618
43.000000,2.500000,1881.699223
44.000000,2.500000,1938.831045
45.000000,2.500000,1995.256757
46.000000,2.500000,2052.417439
47.000000,2.500000,2110.313092
48.000000,2.500000,2168.943714
49.000000,2.500000,2228.309307
50.000000,2.500000,2287.857409
51.000000,2.500000,2347.777551
52.000000,2.500000,2408.391612
53.000000,2.500000,2469.699593
54.000000,2.500000,2531.701492
55.000000,2.500000,2595.371475
56.000000,2.500000,2660.956410
57.000000,2.500000,2727.249233
58.000000,2.500000,2794.249947
59.000000,2.500000,2861.958549
60.000000,2.500000,2933.541250
61.000000,2.500000,3006.414568
62.000000,2.500000,3080.033915
63.000000,2.500000,3154.399291
64.000000,2.500000,3231.752329
65.000000,2.500000,3310.472786
66.000000,2.500000,3389.966396
25.000000,3.000000,950.770112
26.000000,3.000000,997.537847
27.000000,3.000000,1045.354020
28.000000,3.000000,1094.218632
29.000000,3.000000,1144.131683
30.000000,3.000000,1195.093173
31.000000,3.000000,1247.103101
32.000000,3.000000,1297.497265
33.000000,3.000000,1347.909963
34.000000,3.000000,1399.213057
35.000000,3.000000,1451.406548
36.000000,3.000000,1504.490437
37.000000,3.000000,1558.464722
38.000000,3.000000,1612.811906
39.000000,3.000000,1666.375807
40.000000,3.000000,1720.741789
41.000000,3.000000,1775.909853
42.000000,3.000000,1831.879999
43.000000,3.000000,1888.652226
44.000000,3.000000,1945.729114
45.000000,3.000000,2002.345553
46.000000,3.000000,2059.699435
47.000000,3.000000,2117.790758
48.000000,3.000000,2176.619523
49.000000,3.000000,2236.185729
50.000000,3.000000,2295.754373
51.000000,3.000000,2355.775301
52.000000,3.000000,2416.490729
53.000000,3.000000,2477.900658
54.000000,3.000000,2540.005087
55.000000,3.000000,2604.065428
56.000000,3.000000,2669.732013
57.000000,3.000000,2736.106684
58.000000,3.000000,2803.189438
59.000000,3.000000,2870.980278
60.000000,3.000000,2943.122003
61.000000,3.000000,3016.055734
62.000000,3.000000,3089.735254
63.000000,3.000000,3164.160566
64.000000,3.000000,3241.931787
65.000000,3.000000,3320.697221
66.000000,3.000000,3400.235282
25.000000,3.500000,955.330962
26.000000,3.500000,1002.278839
27.000000,3.500000,1050.278684
28.000000,3.500000,1099.330497
29.000000,3.500000,1149.434278
30.000000,3.500000,1200.590026
31.000000,3.500000,1252.797743
32.000000,3.500000,1303.001854
33.000000,3.500000,1353.612959
34.000000,3.500000,1405.117822
35.000000,3.500000,1457.516444
36.000000,3.500000,1510.808825
37.000000,3.500000,1564.994964
38.000000,3.500000,1619.257757
39.000000,3.500000,1672.965475
40.000000,3.500000,1727.476804
