weight_g,60.000000
thrust_N,velocity_m_s,power_W
22.000000,0.000000,637.504050
23.000000,0.000000,685.429847
24.000000,0.000000,734.906145
25.000000,0.000000,785.932943
26.000000,0.000000,838.510242
27.000000,0.000000,892.638042
28.000000,0.000000,961.873864
29.000000,0.000000,1035.284543
30.000000,0.000000,1110.963419
31.000000,0.000000,1188.910491
32.000000,0.000000,1287.659195
33.000000,0.000000,1396.186530
34.000000,0.000000,1508.236607
35.000000,0.000000,1643.351916
36.000000,0.000000,1788.318328
22.000000,0.500000,640.610821
23.000000,0.500000,688.543818
24.000000,0.500000,738.022960
25.000000,0.500000,789.048247
26.000000,0.500000,841.619678
27.000000,0.500000,895.737255
28.000000,0.500000,965.793043
29.000000,0.500000,1039.188251
30.000000,0.500000,1114.845075
31.000000,0.500000,1192.763516
32.000000,0.500000,1292.577816
33.000000,0.500000,1400.995440
34.000000,0.500000,1512.920988
35.000000,0.500000,1649.037091
36.000000,0.500000,1794.059993
22.000000,1.000000,643.722625
23.000000,1.000000,691.662623
24.000000,1.000000,741.144413
25.000000,1.000000,792.167995
26.000000,1.000000,844.733368
27.000000,1.000000,898.840533
28.000000,1.000000,969.717668
29.000000,1.000000,1043.097111
30.000000,1.000000,1118.731598
31.000000,1.000000,1196.621129
32.000000,1.000000,1297.502910
33.000000,1.000000,1405.810219
34.000000,1.000000,1517.610667
35.000000,1.000000,1654.729205
36.000000,1.000000,1799.808289
22.000000,1.500000,646.802562
23.000000,1.500000,694.756434
24.000000,1.500000,744.248175
25.000000,1.500000,795.277786
26.000000,1.500000,847.845267
27.000000,1.500000,902.657523
28.000000,1.500000,973.643972
29.000000,1.500000,1047.002420
30.000000,1.500000,1122.609107
31.000000,1.500000,1200.464031
32.000000,1.500000,1302.395687
33.000000,1.500000,1410.592684
34.000000,1.500000,1522.268153
35.000000,1.500000,1660.415890
36.000000,1.500000,1805.550793
21.000000,2.000000,603.453824
22.000000,2.000000,649.887442
23.000000,2.000000,697.855009
24.000000,2.000000,747.356527
25.000000,2.000000,798.391994
26.000000,2.000000,850.961412
27.000000,2.000000,906.480004
28.000000,2.000000,977.575714
29.000000,2.000000,1050.912864
30.000000,2.000000,1126.491454
31.000000,2.000000,1204.311484
32.000000,2.000000,1307.294845
33.000000,2.000000,1415.380935
34.000000,2.000000,1526.930862
35.000000,2.000000,1666.109484
36.000000,2.000000,1811.299898
21.000000,2.500000,606.526335
22.000000,2.500000,652.977473
23.000000,2.500000,700.958487
24.000000,2.500000,750.469378
25.000000,2.500000,801.510145
26.000000,2.500000,854.080788
27.000000,2.500000,910.425021
28.000000,2.500000,981.502744
29.000000,2.500000,1054.814932
30.000000,2.500000,1130.361585
31.000000,2.500000,1208.456324
32.000000,2.500000,1312.161866
33.000000,2.500000,1420.137061
34.000000,2.500000,1531.967797
35.000000,2.500000,1671.797638
36.000000,2.500000,1817.043203
21.000000,3.000000,609.604077
22.000000,3.000000,656.072537
23.000000,3.000000,704.066803
24.000000,3.000000,753.586875
25.000000,3.000000,804.632751
26.000000,3.000000,857.204433
27.000000,3.000000,914.375782
28.000000,3.000000,985.435198
29.000000,3.000000,1058.722111
30.000000,3.000000,1134.236523
31.000000,3.000000,1212.606294
32.000000,3.000000,1317.035177
33.000000,3.000000,1424.898891
34.000000,3.000000,1537.010676
35.000000,3.000000,1677.492669
36.000000,3.000000,1822.793081
21.000000,3.500000,612.708765
22.000000,3.500000,659.262963
23.000000,3.500000,707.342680
24.000000,3.500000,756.947917
25.000000,3.500000,808.078672
26.000000,3.500000,860.734947
27.000000,3.500000,918.894078
28.000000,3.500000,989.882750
29.000000,3.500000,1063.088294
30.000000,3.500000,1138.510710
31.000000,3.500000,1218.012746
32.000000,3.500000,1322.330950
33.000000,3.500000,1430.067731
34.000000,3.500000,1543.153708
35.000000,3.500000,1683.671588
36.000000,3.500000,1828.996741
21.000000,4.000000,615.818970
22.000000,4.000000,662.458905
23.000000,4.000000,710.624073
24.000000,4.000000,760.314472
25.000000,4.000000,811.530104
26.000000,4.000000,864.270969
27.000000,4.000000,923.419938
28.000000,4.000000,994.337302
29.000000,4.000000,1067.460932
30.000000,4.000000,1142.790827
31.000000,4.000000,1223.427484
32.000000,4.000000,1327.634248
33.000000,4.000000,1435.243373
34.000000,4.000000,1549.305358
35.000000,4.000000,1689.858660
36.000000,4.000000,1835.208102
21.000000,4.500000,618.936350
22.000000,4.500000,665.663288
23.000000,4.500000,713.915258
24.000000,4.500000,763.692259
25.000000,4.500000,814.994290
26.000000,4.500000,867.821352
27.000000,4.500000,927.928185
28.000000,4.500000,998.795884
29.000000,4.500000,1071.860626
30.000000,4.500000,1147.122411
31.000000,4.500000,1228.946038
32.000000,4.500000,1333.074354
33.000000,4.500000,1440.590780
34.000000,4.500000,1555.747562
35.000000,4.500000,1696.374012
36.000000,4.500000,1841.787384
21.000000,5.000000,622.059258
22.000000,5.000000,668.873205
23.000000,5.000000,717.211981
24.000000,5.000000,767.075586
25.000000,5.000000,818.464021
26.000000,5.000000,871.377284
27.000000,5.000000,932.443945
28.000000,5.000000,1003.261493
29.000000,5.000000,1076.266876
30.000000,5.000000,1151.460093
31.000000,5.000000,1234.473222
32.000000,5.000000,1338.522406
33.000000,5.000000,1445.945478
34.000000,5.000000,1562.199239
35.000000,5.000000,1702.898432
36.000000,5.000000,1848.375337
21.000000,5.500000,625.102626
22.000000,5.500000,672.025448
23.000000,5.500000,720.473854
24.000000,5.500000,770.447843
25.000000,5.500000,821.947417
26.000000,5.500000,874.972575
27.000000,5.500000,936.974484
28.000000,5.500000,1007.730532
29.000000,5.500000,1080.664573
30.000000,5.500000,1155.776606
31.000000,5.500000,1239.964851
32.000000,5.500000,1343.934870
33.000000,5.500000,1451.264690
34.000000,5.500000,1568.643302
35.000000,5.500000,1709.414709
36.000000,5.500000,1854.954657
21.000000,6.000000,628.151489
22.000000,6.000000,675.183223
23.000000,6.000000,723.741296
24.000000,6.000000,773.825708
25.000000,6.000000,825.436459
26.000000,6.000000,878.573549
27.000000,6.000000,941.512586
28.000000,6.000000,1012.206610
29.000000,6.000000,1085.068801
30.000000,6.000000,1160.099160
31.000000,6.000000,1245.464986
32.000000,6.000000,1349.355168
33.000000,6.000000,1456.591089
34.000000,6.000000,1575.096786
35.000000,6.000000,1715.940004
36.000000,6.000000,1861.542602
21.000000,6.500000,631.228044
22.000000,6.500000,678.398316
23.000000,6.500000,727.097521
24.000000,6.500000,777.325657
25.000000,6.500000,829.082725
26.000000,6.500000,882.368725
27.000000,6.500000,946.230802
28.000000,6.500000,1016.828313
29.000000,6.500000,1089.581792
30.000000,6.500000,1164.491238
31.000000,6.500000,1251.037914
32.000000,6.500000,1354.848052
33.000000,6.500000,1461.989105
34.000000,6.500000,1581.661221
35.000000,6.500000,1722.539509
21.000000,7.000000,634.310277
22.000000,7.000000,681.619244
23.000000,7.000000,730.459737
24.000000,7.000000,780.831757
25.000000,7.000000,832.735304
26.000000,7.000000,886.170377
27.000000,7.000000,950.957449
28.000000,7.000000,1021.457741
29.000000,7.000000,1094.101832
30.000000,7.000000,1168.889720
31.000000,7.000000,1256.619759
32.000000,7.000000,1360.349114
33.000000,7.000000,1467.394592
34.000000,7.000000,1588.235456
35.000000,7.000000,1729.148262
21.000000,7.500000,637.435608
22.000000,7.500000,684.882591
23.000000,7.500000,733.863545
24.000000,7.500000,784.378472
25.000000,7.500000,836.427370
26.000000,7.500000,890.010241
27.000000,7.500000,955.662438
28.000000,7.500000,1026.076293
29.000000,7.500000,1098.622813
30.000000,7.500000,1173.301996
31.000000,7.500000,1262.281849
32.000000,7.500000,1365.989580
33.000000,7.500000,1473.002322
34.000000,7.500000,1595.164763
35.000000,7.500000,1736.173960
21.000000,8.000000,640.566782
22.000000,8.000000,688.151928
23.000000,8.000000,737.273493
24.000000,8.000000,787.931477
25.000000,8.000000,840.125880
26.000000,8.000000,893.856701
27.000000,8.000000,960.375822
28.000000,8.000000,1030.702604
29.000000,8.000000,1103.150938
30.000000,8.000000,1177.720824
31.000000,8.000000,1267.953264
32.000000,8.000000,1371.638803
33.000000,8.000000,1478.618258
34.000000,8.000000,1602.105167
35.000000,8.000000,1743.210342
21.000000,8.500000,643.847561
22.000000,8.500000,691.539626
23.000000,8.500000,740.768226
24.000000,8.500000,791.533362
25.000000,8.500000,843.835033
26.000000,8.500000,897.695632
27.000000,8.500000,964.994747
28.000000,8.500000,1035.249187
29.000000,8.500000,1107.614819
30.000000,8.500000,1182.091645
31.000000,8.500000,1273.596608
32.000000,8.500000,1377.259633
33.000000,8.500000,1484.205570
34.000000,8.500000,1609.036787
35.000000,8.500000,1750.237286
21.000000,9.000000,647.134883
22.000000,9.000000,694.933867
23.000000,9.000000,744.269503
24.000000,9.000000,795.141789
25.000000,9.000000,847.550727
26.000000,9.000000,901.541160
27.000000,9.000000,969.621811
28.000000,9.000000,1039.803316
29.000000,9.000000,1112.085675
30.000000,9.000000,1186.468888
31.000000,9.000000,1279.249167
32.000000,9.000000,1382.889116
33.000000,9.000000,1489.800991
34.000000,9.000000,1615.979441
35.000000,9.000000,1757.274853
21.000000,9.500000,650.433097
22.000000,9.500000,698.352148
