weight_g,60.000000
thrust_N,velocity_m_s,power_W
36.000000,0.000000,2671.208080
37.000000,0.000000,2811.571981
38.000000,0.000000,2955.521677
39.000000,0.000000,3103.057168
40.000000,0.000000,3254.178454
41.000000,0.000000,3408.885536
42.000000,0.000000,3567.178412
43.000000,0.000000,3729.057084
44.000000,0.000000,3894.521550
45.000000,0.000000,4063.571812
46.000000,0.000000,4234.915782
47.000000,0.000000,4408.798628
48.000000,0.000000,4586.170859
49.000000,0.000000,4767.032475
50.000000,0.000000,4951.383475
51.000000,0.000000,5139.223861
52.000000,0.000000,5330.553631
53.000000,0.000000,5525.372786
54.000000,0.000000,5723.681326
55.000000,0.000000,5925.479251
56.000000,0.000000,6130.757932
57.000000,0.000000,6339.525190
58.000000,0.000000,6551.781513
59.000000,0.000000,6767.526900
60.000000,0.000000,6986.761352
61.000000,0.000000,7209.484869
62.000000,0.000000,7435.697450
63.000000,0.000000,7665.399096
64.000000,0.000000,7898.580626
65.000000,0.000000,8135.230228
66.000000,0.000000,8375.367900
67.000000,0.000000,8618.993643
68.000000,0.000000,8866.107456
69.000000,0.000000,9116.709340
70.000000,0.000000,9370.799294
71.000000,0.000000,9628.377318
72.000000,0.000000,9889.209776
73.000000,0.000000,10153.148760
74.000000,0.000000,10420.557718
75.000000,0.000000,10691.436649
76.000000,0.000000,10965.785554
77.000000,0.000000,11243.604432
78.000000,0.000000,11524.893284
79.000000,0.000000,11809.652109
80.000000,0.000000,12097.880907
81.000000,0.000000,12389.579679
82.000000,0.000000,12684.748424
83.000000,0.000000,12983.387142
84.000000,0.000000,13285.495834
85.000000,0.000000,13591.074499
86.000000,0.000000,13900.123138
87.000000,0.000000,14212.641750
88.000000,0.000000,14528.630336
89.000000,0.000000,14848.088895
90.000000,0.000000,15171.017427
91.000000,0.000000,15497.415933
92.000000,0.000000,15827.284412
93.000000,0.000000,16160.622865
94.000000,0.000000,16497.431290
95.000000,0.000000,16837.709690
96.000000,0.000000,17181.458063
97.000000,0.000000,17528.676409
98.000000,0.000000,17879.364728
99.000000,0.000000,18233.523021
100.000000,0.000000,18591.151288
36.000000,0.500000,2693.049079
37.000000,0.500000,2834.278174
38.000000,0.500000,2979.108246
39.000000,0.500000,3127.539295
40.000000,0.500000,3279.571320
41.000000,0.500000,3435.204321
42.000000,0.500000,3594.438300
43.000000,0.500000,3757.273254
44.000000,0.500000,3923.709186
45.000000,0.500000,4093.746094
46.000000,0.500000,4265.773295
47.000000,0.500000,4440.622309
48.000000,0.500000,4618.974336
49.000000,0.500000,4800.829376
50.000000,0.500000,4986.187428
51.000000,0.500000,5175.048493
52.000000,0.500000,5367.412571
53.000000,0.500000,5563.279661
54.000000,0.500000,5762.649764
55.000000,0.500000,5965.514577
56.000000,0.500000,6171.850017
57.000000,0.500000,6381.686799
58.000000,0.500000,6595.025168
59.000000,0.500000,6811.865123
60.000000,0.500000,7032.206664
61.000000,0.500000,7256.049791
62.000000,0.500000,7483.394505
63.000000,0.500000,7714.240805
64.000000,0.500000,7948.580260
65.000000,0.500000,8186.408206
66.000000,0.500000,8427.737037
67.000000,0.500000,8672.566754
68.000000,0.500000,8920.897356
69.000000,0.500000,9172.728844
70.000000,0.500000,9428.061217
71.000000,0.500000,9686.894475
72.000000,0.500000,9948.811790
73.000000,0.500000,10213.914167
74.000000,0.500000,10482.496327
75.000000,0.500000,10754.558270
76.000000,0.500000,11030.099995
77.000000,0.500000,11309.121502
78.000000,0.500000,11591.622791
79.000000,0.500000,11877.603863
80.000000,0.500000,12167.064718
81.000000,0.500000,12460.005355
82.000000,0.500000,12756.425774
83.000000,0.500000,13056.325976
84.000000,0.500000,13359.705960
85.000000,0.500000,13666.565726
86.000000,0.500000,13976.905275
87.000000,0.500000,14290.724606
88.000000,0.500000,14608.023720
89.000000,0.500000,14928.802616
90.000000,0.500000,15253.061294
91.000000,0.500000,15580.799755
92.000000,0.500000,15912.017999
93.000000,0.500000,16246.716024
94.000000,0.500000,16584.893832
95.000000,0.500000,16926.551423
96.000000,0.500000,17271.688796
97.000000,0.500000,17620.305951
98.000000,0.500000,17972.402889
99.000000,0.500000,18327.979609
100.000000,0.500000,18687.036111
35.000000,1.000000,2576.497635
36.000000,1.000000,2714.978123
37.000000,1.000000,2857.074802
38.000000,1.000000,3002.787671
39.000000,1.000000,3152.116730
40.000000,1.000000,3305.061979
41.000000,1.000000,3461.623418
42.000000,1.000000,3621.801046
43.000000,1.000000,3785.594865
44.000000,1.000000,3953.004874
45.000000,1.000000,4124.031073
46.000000,1.000000,4296.741735
47.000000,1.000000,4472.559365
48.000000,1.000000,4651.893662
49.000000,1.000000,4834.744625
50.000000,1.000000,5021.112256
51.000000,1.000000,5210.996554
52.000000,1.000000,5404.397518
53.000000,1.000000,5601.315150
54.000000,1.000000,5801.749448
55.000000,1.000000,6005.683750
56.000000,1.000000,6213.078407
57.000000,1.000000,6423.987195
58.000000,1.000000,6638.410113
59.000000,1.000000,6856.347162
60.000000,1.000000,7077.798341
61.000000,1.000000,7302.763650
62.000000,1.000000,7531.243090
63.000000,1.000000,7763.236660
64.000000,1.000000,7998.736687
65.000000,1.000000,8237.745710
66.000000,1.000000,8480.268457
67.000000,1.000000,8726.304927
68.000000,1.000000,8975.855122
69.000000,1.000000,9228.919040
70.000000,1.000000,9485.496682
71.000000,1.000000,9745.588049
72.000000,1.000000,10008.591859
73.000000,1.000000,10274.859855
74.000000,1.000000,10544.617457
75.000000,1.000000,10817.864664
76.000000,1.000000,11094.601476
77.000000,1.000000,11374.827894
78.000000,1.000000,11658.543917
79.000000,1.000000,11945.749545
80.000000,1.000000,12236.444778
81.000000,1.000000,12530.629616
82.000000,1.000000,12828.304060
83.000000,1.000000,13129.468109
84.000000,1.000000,13434.121763
85.000000,1.000000,13742.265022
86.000000,1.000000,14053.897887
87.000000,1.000000,14369.020357
88.000000,1.000000,14687.632432
89.000000,1.000000,15009.734112
90.000000,1.000000,15335.325398
91.000000,1.000000,15664.406288
92.000000,1.000000,15996.976784
93.000000,1.000000,16333.036886
94.000000,1.000000,16672.586592
95.000000,1.000000,17015.625904
96.000000,1.000000,17362.154821
97.000000,1.000000,17712.173343
98.000000,1.000000,18065.681470
99.000000,1.000000,18422.679203
100.000000,1.000000,18783.166541
35.000000,1.500000,2597.683029
36.000000,1.500000,2737.019109
37.000000,1.500000,2879.986637
38.000000,1.500000,3026.585613
39.000000,1.500000,3176.816039
40.000000,1.500000,3330.677913
41.000000,1.500000,3488.171235
42.000000,1.500000,3649.296006
43.000000,1.500000,3814.052226
44.000000,1.500000,3982.439894
45.000000,1.500000,4154.374408
46.000000,1.500000,4327.841588
47.000000,1.500000,4504.633567
48.000000,1.500000,4684.956007
49.000000,1.500000,4868.808908
50.000000,1.500000,5056.192269
51.000000,1.500000,5247.106092
52.000000,1.500000,5441.550374
53.000000,1.500000,5639.525118
54.000000,1.500000,5841.030322
55.000000,1.500000,6046.021136
56.000000,1.500000,6254.478510
57.000000,1.500000,6466.462587
58.000000,1.500000,6681.973369
59.000000,1.500000,6901.010854
60.000000,1.500000,7123.575042
61.000000,1.500000,7349.665935
62.000000,1.500000,7579.283531
63.000000,1.500000,7812.427831
64.000000,1.500000,8049.094983
65.000000,1.500000,8289.286262
66.000000,1.500000,8533.004042
67.000000,1.500000,8780.248321
68.000000,1.500000,9031.019101
69.000000,1.500000,9285.316381
70.000000,1.500000,9543.140161
71.000000,1.500000,9804.465049
72.000000,1.500000,10068.523702
73.000000,1.500000,10335.968959
74.000000,1.500000,10606.913935
75.000000,1.500000,10881.358631
76.000000,1.500000,11159.303047
77.000000,1.500000,11440.747182
78.000000,1.500000,11725.691037
79.000000,1.500000,12014.131967
80.000000,1.500000,12306.064532
81.000000,1.500000,12601.496542
82.000000,1.500000,12900.427997
83.000000,1.500000,13202.858896
84.000000,1.500000,13508.789240
85.000000,1.500000,13818.219029
86.000000,1.500000,14131.148262
87.000000,1.500000,14447.576939
88.000000,1.500000,14767.505062
89.000000,1.500000,15090.932629
90.000000,1.500000,15417.859640
91.000000,1.500000,15748.286096
92.000000,1.500000,16082.211997
93.000000,1.500000,16419.637343
94.000000,1.500000,16760.562133
95.000000,1.500000,17104.986368
96.000000,1.500000,17452.910047
97.000000,1.500000,17804.333171
98.000000,1.500000,18159.255740
99.000000,1.500000,18517.677753
100.000000,1.500000,18879.743307
35.000000,2.000000,2618.954298
36.000000,2.000000,2759.148330
37.000000,2.000000,2902.989101
38.000000,2.000000,3050.476611
39.000000,2.000000,3201.610861
40.000000,2.000000,3356.391849
41.000000,2.000000,3514.819577
42.000000,2.000000,3676.894044
43.000000,2.000000,3842.615251
44.000000,2.000000,4011.983196
45.000000,2.000000,4184.828008
46.000000,2.000000,4359.052524
47.000000,2.000000,4536.821322
48.000000,2.000000,4718.134401
49.000000,2.000000,4902.991762
50.000000,2.000000,5091.393404
51.000000,2.000000,5283.339327
52.000000,2.000000,5478.829532
53.000000,2.000000,5677.864019
54.000000,2.000000,5880.442786
55.000000,2.000000,6086.492597
56.000000,2.000000,6296.015150
57.000000,2.000000,6509.077002
58.000000,2.000000,6725.678154
59.000000,2.000000,6945.818605
60.000000,2.000000,7169.498356
61.000000,2.000000,7396.717406
62.000000,2.000000,7627.475756
63.000000,2.000000,7861.773405
64.000000,2.000000,8099.610354
65.000000,2.000000,8340.986602
66.000000,2.000000,8585.902150
67.000000,2.000000,8834.356997
