weight_g,420.000000
thrust_N,velocity_m_s,power_W
19.000000,0.000000,708.266480
20.000000,0.000000,759.171441
21.000000,0.000000,811.700120
22.000000,0.000000,865.852517
23.000000,0.000000,921.628631
24.000000,0.000000,978.126100
25.000000,0.000000,1034.853444
26.000000,0.000000,1093.034414
27.000000,0.000000,1152.669010
28.000000,0.000000,1213.757233
29.000000,0.000000,1275.636469
30.000000,0.000000,1338.464447
31.000000,0.000000,1402.656200
32.000000,0.000000,1468.211728
33.000000,0.000000,1535.301891
34.000000,0.000000,1604.242205
35.000000,0.000000,1674.526823
36.000000,0.000000,1746.155744
37.000000,0.000000,1820.083856
38.000000,0.000000,1897.246697
39.000000,0.000000,1975.798776
40.000000,0.000000,2055.740093
41.000000,0.000000,2141.081046
42.000000,0.000000,2228.566891
43.000000,0.000000,2317.531184
44.000000,0.000000,2412.611437
45.000000,0.000000,2510.603246
46.000000,0.000000,2610.452891
47.000000,0.000000,2717.153496
48.000000,0.000000,2825.555834
49.000000,0.000000,2942.251888
50.000000,0.000000,3065.598052
51.000000,0.000000,3192.706122
52.000000,0.000000,3324.143358
53.000000,0.000000,3461.990934
54.000000,0.000000,3607.663261
55.000000,0.000000,3757.350727
56.000000,0.000000,3910.346954
57.000000,0.000000,4073.751016
58.000000,0.000000,4240.429634
59.000000,0.000000,4409.610949
60.000000,0.000000,4591.358484
61.000000,0.000000,4778.986126
62.000000,0.000000,4969.667871
63.000000,0.000000,5174.239581
64.000000,0.000000,5389.482294
65.000000,0.000000,5611.232995
19.000000,0.500000,709.974788
20.000000,0.500000,761.019282
21.000000,0.500000,813.692704
22.000000,0.500000,867.995053
23.000000,0.500000,923.926329
24.000000,0.500000,980.452274
25.000000,0.500000,1037.278096
26.000000,0.500000,1095.559996
27.000000,0.500000,1155.297975
28.000000,0.500000,1216.492032
29.000000,0.500000,1278.411544
30.000000,0.500000,1341.327484
31.000000,0.500000,1405.609019
32.000000,0.500000,1471.256149
33.000000,0.500000,1538.461670
34.000000,0.500000,1607.461700
35.000000,0.500000,1677.806576
36.000000,0.500000,1749.496299
37.000000,0.500000,1823.602225
38.000000,0.500000,1900.769462
39.000000,0.500000,1979.324972
40.000000,0.500000,2059.268753
41.000000,0.500000,2144.814360
42.000000,0.500000,2232.283827
43.000000,0.500000,2321.230384
44.000000,0.500000,2416.541827
45.000000,0.500000,2514.502072
46.000000,0.500000,2614.537854
47.000000,0.500000,2721.175585
48.000000,0.500000,2829.512714
49.000000,0.500000,2946.654709
50.000000,0.500000,3070.068384
51.000000,0.500000,3197.311254
52.000000,0.500000,3328.640284
53.000000,0.500000,3466.819005
54.000000,0.500000,3612.568611
55.000000,0.500000,3762.327570
56.000000,0.500000,3915.251599
57.000000,0.500000,4079.051050
58.000000,0.500000,4245.840346
59.000000,0.500000,4415.133105
60.000000,0.500000,4597.207490
61.000000,0.500000,4784.788980
62.000000,0.500000,4975.779291
63.000000,0.500000,5180.161554
64.000000,0.500000,5395.670742
65.000000,0.500000,5617.471445
19.000000,1.000000,711.683846
