weight_g,780.000000
thrust_N,velocity_m_s,power_W
29.000000,0.000000,1515.894875
30.000000,0.000000,1572.676896
31.000000,0.000000,1630.475321
32.000000,0.000000,1689.290148
33.000000,0.000000,1749.121379
34.000000,0.000000,1809.969013
35.000000,0.000000,1871.833050
36.000000,0.000000,1934.713491
37.000000,0.000000,1998.610335
38.000000,0.000000,2062.030822
39.000000,0.000000,2122.666977
40.000000,0.000000,2184.155520
41.000000,0.000000,2246.496449
42.000000,0.000000,2309.689765
43.000000,0.000000,2373.735468
44.000000,0.000000,2438.633559
45.000000,0.000000,2504.384036
46.000000,0.000000,2569.221190
47.000000,0.000000,2632.350853
48.000000,0.000000,2696.220897
49.000000,0.000000,2760.831325
50.000000,0.000000,2826.182134
51.000000,0.000000,2892.273326
52.000000,0.000000,2959.104900
53.000000,0.000000,3026.250825
54.000000,0.000000,3091.344603
55.000000,0.000000,3157.104775
56.000000,0.000000,3223.531339
57.000000,0.000000,3290.624296
58.000000,0.000000,3358.383645
59.000000,0.000000,3426.809388
60.000000,0.000000,3495.199137
61.000000,0.000000,3562.765615
62.000000,0.000000,3630.952326
63.000000,0.000000,3699.759268
64.000000,0.000000,3769.186442
65.000000,0.000000,3839.233847
66.000000,0.000000,3909.901484
67.000000,0.000000,3979.306208
68.000000,0.000000,4049.145655
69.000000,0.000000,4119.560544
70.000000,0.000000,4190.550877
71.000000,0.000000,4262.116652
72.000000,0.000000,4334.257870
73.000000,0.000000,4407.571677
74.000000,0.000000,4481.473927
75.000000,0.000000,4555.951527
76.000000,0.000000,4631.004479
77.000000,0.000000,4706.632781
78.000000,0.000000,4783.289419
79.000000,0.000000,4860.892914
80.000000,0.000000,4939.069305
81.000000,0.000000,5017.818590
82.000000,0.000000,5097.140770
83.000000,0.000000,5178.006687
84.000000,0.000000,5260.075661
85.000000,0.000000,5342.730831
86.000000,0.000000,5425.972197
87.000000,0.000000,5510.092551
88.000000,0.000000,5600.168649
89.000000,0.000000,5690.871418
90.000000,0.000000,5782.200857
91.000000,0.000000,5874.156967
92.000000,0.000000,5966.739747
93.000000,0.000000,6059.949198
94.000000,0.000000,6153.785319
95.000000,0.000000,6249.059993
96.000000,0.000000,6346.104276
97.000000,0.000000,6443.792254
98.000000,0.000000,6542.123926
99.000000,0.000000,6651.791544
100.000000,0.000000,6763.768439
29.000000,0.500000,1522.147349
30.000000,0.500000,1579.157138
31.000000,0.500000,1637.187487
32.000000,0.500000,1696.238396
33.000000,0.500000,1756.309865
34.000000,0.500000,1817.401894
35.000000,0.500000,1879.514484
36.000000,0.500000,1942.647634
37.000000,0.500000,2006.801344
38.000000,0.500000,2069.679221
39.000000,0.500000,2130.537286
40.000000,0.500000,2192.250991
41.000000,0.500000,2254.820337
42.000000,0.500000,2318.245324
43.000000,0.500000,2382.525951
44.000000,0.500000,2447.662219
45.000000,0.500000,2513.654128
46.000000,0.500000,2578.026308
47.000000,0.500000,2641.381845
48.000000,0.500000,2705.480653
49.000000,0.500000,2770.322732
50.000000,0.500000,2835.908082
51.000000,0.500000,2902.236704
52.000000,0.500000,2969.308597
53.000000,0.500000,3036.119785
54.000000,0.500000,3101.431818
55.000000,0.500000,3167.412690
56.000000,0.500000,3234.062402
57.000000,0.500000,3301.380953
58.000000,0.500000,3369.368344
59.000000,0.500000,3438.024574
60.000000,0.500000,3506.209786
61.000000,0.500000,3573.968241
62.000000,0.500000,3642.348727
63.000000,0.500000,3711.351245
64.000000,0.500000,3780.975794
65.000000,0.500000,3851.222375
66.000000,0.500000,3921.758061
67.000000,0.500000,3991.253620
68.000000,0.500000,4061.255188
69.000000,0.500000,4131.833278
70.000000,0.500000,4202.987888
71.000000,0.500000,4274.719019
72.000000,0.500000,4347.127554
73.000000,0.500000,4420.575026
74.000000,0.500000,4494.605148
75.000000,0.500000,4569.211380
76.000000,0.500000,4644.393722
77.000000,0.500000,4720.152175
78.000000,0.500000,4797.079363
79.000000,0.500000,4874.788593
80.000000,0.500000,4953.070989
81.000000,0.500000,5031.926551
82.000000,0.500000,5111.356318
83.000000,0.500000,5192.568911
84.000000,0.500000,5274.675943
85.000000,0.500000,5357.368831
86.000000,0.500000,5440.647574
87.000000,0.500000,5525.855328
88.000000,0.500000,5615.972902
89.000000,0.500000,5706.716667
90.000000,0.500000,5798.086625
91.000000,0.500000,5890.082774
92.000000,0.500000,5982.705115
93.000000,0.500000,6075.953648
94.000000,0.500000,6169.828373
95.000000,0.500000,6265.449464
96.000000,0.500000,6362.489526
97.000000,0.500000,6460.172414
98.000000,0.500000,6559.786231
99.000000,0.500000,6670.276787
100.000000,0.500000,6782.293995
29.000000,1.000000,1528.411439
30.000000,1.000000,1585.649447
31.000000,1.000000,1643.912180
32.000000,1.000000,1703.199640
33.000000,1.000000,1763.511825
34.000000,1.000000,1824.848735
35.000000,1.000000,1887.210371
36.000000,1.000000,1950.596733
37.000000,1.000000,2015.007820
38.000000,1.000000,2077.340271
39.000000,1.000000,2138.420649
40.000000,1.000000,2200.359928
41.000000,1.000000,2263.158107
42.000000,1.000000,2326.815187
43.000000,1.000000,2391.331168
44.000000,1.000000,2456.706049
45.000000,1.000000,2522.939830
46.000000,1.000000,2586.844759
47.000000,1.000000,2650.426562
48.000000,1.000000,2714.754531
49.000000,1.000000,2779.828666
50.000000,1.000000,2845.648966
51.000000,1.000000,2912.215432
52.000000,1.000000,2979.528064
53.000000,1.000000,3046.002795
54.000000,1.000000,3111.533445
55.000000,1.000000,3177.735385
56.000000,1.000000,3244.608617
57.000000,1.000000,3312.153139
58.000000,1.000000,3380.368951
59.000000,1.000000,3449.256055
60.000000,1.000000,3517.235524
61.000000,1.000000,3585.186251
62.000000,1.000000,3653.760813
63.000000,1.000000,3722.959209
64.000000,1.000000,3792.781438
65.000000,1.000000,3863.227501
66.000000,1.000000,3933.630109
67.000000,1.000000,4003.216374
68.000000,1.000000,4073.380240
69.000000,1.000000,4144.121706
70.000000,1.000000,4215.440773
71.000000,1.000000,4287.337440
72.000000,1.000000,4360.013247
73.000000,1.000000,4433.594533
74.000000,1.000000,4507.752687
75.000000,1.000000,4582.487709
76.000000,1.000000,4657.799600
77.000000,1.000000,4733.688360
78.000000,1.000000,4810.885823
79.000000,1.000000,4888.700848
80.000000,1.000000,4967.089309
81.000000,1.000000,5046.051207
82.000000,1.000000,5125.588621
83.000000,1.000000,5207.148178
84.000000,1.000000,5289.293246
85.000000,1.000000,5372.023827
86.000000,1.000000,5455.339919
87.000000,1.000000,5541.635986
88.000000,1.000000,5631.794971
89.000000,1.000000,5722.579669
90.000000,1.000000,5813.990079
91.000000,1.000000,5906.026201
