weight_g,450.000000
thrust_N,velocity_m_s,power_W
33.000000,0.000000,585.775940
34.000000,0.000000,612.438984
35.000000,0.000000,639.648661
36.000000,0.000000,667.404971
37.000000,0.000000,695.707914
38.000000,0.000000,724.557490
39.000000,0.000000,753.953699
40.000000,0.000000,783.896541
41.000000,0.000000,814.386016
42.000000,0.000000,845.219854
43.000000,0.000000,874.730986
44.000000,0.000000,904.698221
45.000000,0.000000,935.121557
46.000000,0.000000,966.000994
47.000000,0.000000,997.336534
48.000000,0.000000,1029.128176
49.000000,0.000000,1061.375919
50.000000,0.000000,1094.079764
51.000000,0.000000,1127.045535
52.000000,0.000000,1160.100992
53.000000,0.000000,1193.592278
54.000000,0.000000,1227.519395
55.000000,0.000000,1261.882343
56.000000,0.000000,1296.681121
57.000000,0.000000,1331.915729
58.000000,0.000000,1367.586168
59.000000,0.000000,1403.692438
60.000000,0.000000,1440.234538
61.000000,0.000000,1477.212468
62.000000,0.000000,1514.626229
63.000000,0.000000,1552.475820
64.000000,0.000000,1590.761242
65.000000,0.000000,1629.482494
66.000000,0.000000,1668.515135
67.000000,0.000000,1706.537577
68.000000,0.000000,1744.949599
69.000000,0.000000,1783.751202
70.000000,0.000000,1822.942386
71.000000,0.000000,1862.523150
72.000000,0.000000,1902.493495
73.000000,0.000000,1942.849649
74.000000,0.000000,1982.832141
75.000000,0.000000,2023.183657
76.000000,0.000000,2063.904196
77.000000,0.000000,2104.993760
78.000000,0.000000,2146.452347
79.000000,0.000000,2188.279958
80.000000,0.000000,2230.476592
81.000000,0.000000,2273.042250
82.000000,0.000000,2315.976932
83.000000,0.000000,2359.280638
84.000000,0.000000,2402.953368
85.000000,0.000000,2446.995121
86.000000,0.000000,2491.405898
87.000000,0.000000,2536.185699
88.000000,0.000000,2581.334524
89.000000,0.000000,2626.852372
90.000000,0.000000,2672.739244
91.000000,0.000000,2718.995140
92.000000,0.000000,2765.620060
93.000000,0.000000,2812.614003
94.000000,0.000000,2859.976970
95.000000,0.000000,2907.708961
96.000000,0.000000,2955.809976
97.000000,0.000000,3004.280014
98.000000,0.000000,3053.119077
99.000000,0.000000,3100.628419
100.000000,0.000000,3148.117652
33.000000,0.500000,587.985767
34.000000,0.500000,614.721620
35.000000,0.500000,642.005272
36.000000,0.500000,669.836722
37.000000,0.500000,698.215970
38.000000,0.500000,727.143017
39.000000,0.500000,756.617863
40.000000,0.500000,786.640507
41.000000,0.500000,817.210950
42.000000,0.500000,847.944833
43.000000,0.500000,877.543848
44.000000,0.500000,907.600757
45.000000,0.500000,938.115561
46.000000,0.500000,969.088258
47.000000,0.500000,1000.518850
48.000000,0.500000,1032.407335
49.000000,0.500000,1064.753715
50.000000,0.500000,1097.557989
51.000000,0.500000,1130.551259
52.000000,0.500000,1163.677475
53.000000,0.500000,1197.240211
54.000000,0.500000,1231.239470
55.000000,0.500000,1265.675250
56.000000,0.500000,1300.547552
57.000000,0.500000,1335.856375
58.000000,0.500000,1371.601721
59.000000,0.500000,1407.783588
60.000000,0.500000,1444.401976
61.000000,0.500000,1481.456887
62.000000,0.500000,1518.948319
63.000000,0.500000,1556.876272
64.000000,0.500000,1595.240748
65.000000,0.500000,1634.041745
66.000000,0.500000,1672.985314
67.000000,0.500000,1711.109312
68.000000,0.500000,1749.624382
69.000000,0.500000,1788.530525
70.000000,0.500000,1827.827741
71.000000,0.500000,1867.516030
72.000000,0.500000,1907.595392
73.000000,0.500000,1947.957594
74.000000,0.500000,1988.009588
75.000000,0.500000,2028.431058
76.000000,0.500000,2069.222005
77.000000,0.500000,2110.382428
78.000000,0.500000,2151.912328
79.000000,0.500000,2193.811704
80.000000,0.500000,2236.080557
81.000000,0.500000,2278.718886
82.000000,0.500000,2321.726692
83.000000,0.500000,2365.103974
84.000000,0.500000,2408.850732
85.000000,0.500000,2452.966967
86.000000,0.500000,2497.452679
87.000000,0.500000,2542.307867
88.000000,0.500000,2587.532531
89.000000,0.500000,2633.126672
90.000000,0.500000,2679.090289
91.000000,0.500000,2725.423383
92.000000,0.500000,2772.125953
93.000000,0.500000,2819.198000
94.000000,0.500000,2866.639523
95.000000,0.500000,2914.450522
96.000000,0.500000,2962.630998
97.000000,0.500000,3011.180951
98.000000,0.500000,3059.999516
99.000000,0.500000,3107.443002
100.000000,0.500000,3155.040083
33.000000,1.000000,590.197185
34.000000,1.000000,617.005894
35.000000,1.000000,644.363567
36.000000,1.000000,672.270205
37.000000,1.000000,700.725807
38.000000,1.000000,729.730375
39.000000,1.000000,759.283907
40.000000,1.000000,789.386404
41.000000,1.000000,820.037865
42.000000,1.000000,850.670808
43.000000,1.000000,880.357867
44.000000,1.000000,910.504615
45.000000,1.000000,941.111054
46.000000,1.000000,972.177182
47.000000,1.000000,1003.703000
48.000000,1.000000,1035.688508
49.000000,1.000000,1068.133705
50.000000,1.000000,1101.038592
51.000000,1.000000,1134.059163
52.000000,1.000000,1167.256174
53.000000,1.000000,1200.890398
54.000000,1.000000,1234.961836
55.000000,1.000000,1269.470486
56.000000,1.000000,1304.416350
57.000000,1.000000,1339.799428
58.000000,1.000000,1375.619718
59.000000,1.000000,1411.877222
60.000000,1.000000,1448.571939
61.000000,1.000000,1485.703869
62.000000,1.000000,1523.273013
63.000000,1.000000,1561.279370
64.000000,1.000000,1599.722940
65.000000,1.000000,1638.603723
66.000000,1.000000,1677.457420
67.000000,1.000000,1715.683165
68.000000,1.000000,1754.301477
69.000000,1.000000,1793.312357
70.000000,1.000000,1832.715804
71.000000,1.000000,1872.511817
72.000000,1.000000,1912.700398
73.000000,1.000000,1953.068361
74.000000,1.000000,1993.189888
75.000000,1.000000,2033.681343
76.000000,1.000000,2074.542729
77.000000,1.000000,2115.774043
78.000000,1.000000,2157.375287
79.000000,1.000000,2199.346460
80.000000,1.000000,2241.687562
81.000000,1.000000,2284.398594
82.000000,1.000000,2327.479555
83.000000,1.000000,2370.930446
84.000000,1.000000,2414.751265
85.000000,1.000000,2458.942014
86.000000,1.000000,2503.502693
87.000000,1.000000,2548.433300
88.000000,1.000000,2593.733837
89.000000,1.000000,2639.404304
90.000000,1.000000,2685.444699
91.000000,1.000000,2731.855024
92.000000,1.000000,2778.635279
93.000000,1.000000,2825.785462
94.000000,1.000000,2873.305575
95.000000,1.000000,2921.195617
96.000000,1.000000,2969.455589
97.000000,1.000000,3018.085490
98.000000,1.000000,3066.883147
99.000000,1.000000,3114.260211
100.000000,1.000000,3161.965348
33.000000,1.500000,592.411839
34.000000,1.500000,619.293497
35.000000,1.500000,646.725288
36.000000,1.500000,674.707211
37.000000,1.500000,703.239266
38.000000,1.500000,732.321454
39.000000,1.500000,761.953773
40.000000,1.500000,792.136225
41.000000,1.500000,822.868810
42.000000,1.500000,853.406278
43.000000,1.500000,883.182155
44.000000,1.500000,913.419532
45.000000,1.500000,944.118409
46.000000,1.500000,975.278785
47.000000,1.500000,1006.900661
48.000000,1.500000,1038.984037
49.000000,1.500000,1071.528912
50.000000,1.500000,1104.535287
51.000000,1.500000,1137.571037
52.000000,1.500000,1170.838912
53.000000,1.500000,1204.544693
54.000000,1.500000,1238.688378
55.000000,1.500000,1273.269969
56.000000,1.500000,1308.289465
57.000000,1.500000,1343.746867
58.000000,1.500000,1379.642174
59.000000,1.500000,1415.975386
60.000000,1.500000,1452.746504
61.000000,1.500000,1489.955527
62.000000,1.500000,1527.602455
63.000000,1.500000,1565.687289
64.000000,1.500000,1604.210028
65.000000,1.500000,1643.170672
66.000000,1.500000,1681.946880
