weight_g,60.000000
thrust_N,velocity_m_s,power_W
19.000000,0.000000,607.020871
20.000000,0.000000,669.676522
21.000000,0.000000,734.852823
22.000000,0.000000,802.549775
23.000000,0.000000,872.824528
24.000000,0.000000,977.299343
25.000000,0.000000,1086.113639
26.000000,0.000000,1209.074857
27.000000,0.000000,1361.698259
28.000000,0.000000,1531.246470
29.000000,0.000000,1730.352111
30.000000,0.000000,1963.999505
31.000000,0.000000,2237.031800
32.000000,0.000000,2569.983116
33.000000,0.000000,3024.685962
19.000000,0.500000,609.288752
20.000000,0.500000,671.893826
21.000000,0.500000,737.011316
22.000000,0.500000,804.641220
23.000000,0.500000,875.705758
24.000000,0.500000,980.140046
25.000000,0.500000,1088.903063
26.000000,0.500000,1212.590260
27.000000,0.500000,1365.108249
28.000000,0.500000,1535.189316
29.000000,0.500000,1734.165317
30.000000,0.500000,1968.444336
31.000000,0.500000,2242.225143
32.000000,0.500000,2575.572654
33.000000,0.500000,3031.070530
19.000000,1.000000,611.559153
20.000000,1.000000,674.113434
21.000000,1.000000,739.171902
22.000000,1.000000,806.734556
23.000000,1.000000,878.589861
24.000000,1.000000,982.983362
25.000000,1.000000,1091.694851
26.000000,1.000000,1216.108839
27.000000,1.000000,1368.521021
28.000000,1.000000,1539.135429
29.000000,1.000000,1737.981331
30.000000,1.000000,1972.892494
31.000000,1.000000,2247.422658
32.000000,1.000000,2581.166428
33.000000,1.000000,3037.460143
19.000000,1.500000,613.816206
20.000000,1.500000,676.319780
21.000000,1.500000,741.319369
22.000000,1.500000,808.814972
23.000000,1.500000,881.462976
24.000000,1.500000,985.815774
25.000000,1.500000,1094.475889
26.000000,1.500000,1219.611565
27.000000,1.500000,1371.918242
28.000000,1.500000,1543.065173
29.000000,1.500000,1741.780101
30.000000,1.500000,1977.337959
31.000000,1.500000,2252.603310
32.000000,1.500000,2586.697173
33.000000,1.500000,3043.816579
19.000000,2.000000,616.075753
20.000000,2.000000,678.528405
21.000000,2.000000,743.468907
22.000000,2.000000,810.897259
23.000000,2.000000,884.338940
24.000000,2.000000,988.650776
25.000000,2.000000,1097.259271
26.000000,2.000000,1223.117435
27.000000,2.000000,1375.318218
28.000000,2.000000,1546.998153
29.000000,2.000000,1745.581652
30.000000,2.000000,1981.786739
31.000000,2.000000,2257.788085
32.000000,2.000000,2592.232039
33.000000,2.000000,3050.178007
19.000000,2.500000,618.324723
20.000000,2.500000,680.725919
21.000000,2.500000,745.606801
22.000000,2.500000,812.967367
23.000000,2.500000,887.203983
24.000000,2.500000,991.474944
25.000000,2.500000,1100.031975
26.000000,2.500000,1226.607550
27.000000,2.500000,1378.702744
28.000000,2.500000,1550.914714
29.000000,2.500000,1749.365919
30.000000,2.500000,1986.232854
31.000000,2.500000,2262.955627
32.000000,2.500000,2597.706953
33.000000,2.500000,3056.506126
19.000000,3.000000,620.576168
20.000000,3.000000,682.925694
21.000000,3.000000,747.746748
22.000000,3.000000,815.039329
23.000000,3.000000,890.071850
24.000000,3.000000,994.301680
25.000000,3.000000,1102.807003
26.000000,3.000000,1230.100779
27.000000,3.000000,1382.089998
28.000000,3.000000,1554.834480
29.000000,3.000000,1753.152938
30.000000,3.000000,1990.682272
31.000000,3.000000,2268.127246
32.000000,3.000000,2603.185880
33.000000,3.000000,3062.839184
19.000000,3.500000,622.998225
20.000000,3.500000,685.288160
21.000000,3.500000,750.040334
22.000000,3.500000,817.254748
23.000000,3.500000,893.136971
24.000000,3.500000,997.307402
25.000000,3.500000,1105.740652
26.000000,3.500000,1233.760206
27.000000,3.500000,1385.595552
28.000000,3.500000,1558.840037
29.000000,3.500000,1756.966481
30.000000,3.500000,1995.161714
31.000000,3.500000,2273.306344
32.000000,3.500000,2608.617728
33.000000,3.500000,3069.138803
19.000000,4.000000,625.423240
20.000000,4.000000,687.653306
21.000000,4.000000,752.336335
22.000000,4.000000,819.472328
23.000000,4.000000,896.205362
24.000000,4.000000,1000.316062
25.000000,4.000000,1108.676924
26.000000,4.000000,1237.423076
27.000000,4.000000,1389.104053
28.000000,4.000000,1562.848967
29.000000,4.000000,1760.782841
30.000000,4.000000,1999.644518
31.000000,4.000000,2278.489528
32.000000,4.000000,2614.053506
33.000000,4.000000,3075.443308
19.000000,4.500000,627.854783
20.000000,4.500000,690.041719
21.000000,4.500000,754.673628
22.000000,4.500000,821.750510
23.000000,4.500000,899.395807
24.000000,4.500000,1003.469355
25.000000,4.500000,1111.781844
26.000000,4.500000,1241.298029
27.000000,4.500000,1392.792493
28.000000,4.500000,1567.030843
29.000000,4.500000,1764.717436
30.000000,4.500000,2004.294507
31.000000,4.500000,2283.843406
32.000000,4.500000,2619.715016
19.000000,5.000000,630.289313
20.000000,5.000000,692.432883
21.000000,5.000000,757.013443
22.000000,5.000000,824.030994
23.000000,5.000000,902.589813
24.000000,5.000000,1006.625900
25.000000,5.000000,1114.889723
26.000000,5.000000,1245.176879
27.000000,5.000000,1396.484251
28.000000,5.000000,1571.216478
29.000000,5.000000,1768.655127
30.000000,5.000000,2008.948236
31.000000,5.000000,2289.201782
32.000000,5.000000,2625.380928
19.000000,5.500000,632.715728
20.000000,5.500000,694.814546
21.000000,5.500000,759.342300
22.000000,5.500000,826.298988
23.000000,5.500000,905.771212
24.000000,5.500000,1009.769712
25.000000,5.500000,1117.984806
26.000000,5.500000,1249.029577
27.000000,5.500000,1400.152501
