weight_g,305.000000
thrust_N,velocity_m_s,power_W
22.000000,0.000000,1104.395012
23.000000,0.000000,1167.372913
24.000000,0.000000,1231.988576
25.000000,0.000000,1298.242000
26.000000,0.000000,1366.133185
27.000000,0.000000,1435.662131
28.000000,0.000000,1514.634309
29.000000,0.000000,1596.597770
30.000000,0.000000,1680.444226
31.000000,0.000000,1766.173674
32.000000,0.000000,1866.134909
33.000000,0.000000,1972.662207
34.000000,0.000000,2081.539892
35.000000,0.000000,2205.743008
36.000000,0.000000,2336.092762
22.000000,0.500000,1107.541829
23.000000,0.500000,1170.541234
24.000000,0.500000,1235.176439
25.000000,0.500000,1301.447444
26.000000,0.500000,1369.354251
27.000000,0.500000,1438.896858
28.000000,0.500000,1518.337616
29.000000,0.500000,1600.283893
30.000000,0.500000,1684.109989
31.000000,0.500000,1769.815902
32.000000,0.500000,1870.457448
33.000000,0.500000,1976.870369
34.000000,0.500000,2085.626859
35.000000,0.500000,2210.449214
36.000000,0.500000,2340.781491
22.000000,1.000000,1110.691667
23.000000,1.000000,1173.712541
24.000000,1.000000,1238.367252
25.000000,1.000000,1304.655801
26.000000,1.000000,1372.578188
27.000000,1.000000,1442.134413
28.000000,1.000000,1522.043841
29.000000,1.000000,1603.972843
30.000000,1.000000,1687.778487
31.000000,1.000000,1773.460773
32.000000,1.000000,1874.782982
33.000000,1.000000,1981.081317
34.000000,1.000000,2089.716409
35.000000,1.000000,2215.158290
36.000000,1.000000,2345.472952
22.000000,1.500000,1113.819596
23.000000,1.500000,1176.867653
24.000000,1.500000,1241.547842
25.000000,1.500000,1307.860162
26.000000,1.500000,1375.804613
27.000000,1.500000,1445.787657
28.000000,1.500000,1525.751072
29.000000,1.500000,1607.659320
30.000000,1.500000,1691.440927
31.000000,1.500000,1777.095896
32.000000,1.500000,1879.082455
33.000000,1.500000,1985.266759
34.000000,1.500000,2093.781055
35.000000,1.500000,2219.859600
36.000000,1.500000,2350.156591
21.000000,2.000000,1055.505732
22.000000,2.000000,1116.950525
23.000000,2.000000,1180.025739
24.000000,2.000000,1244.731377
25.000000,2.000000,1311.067436
26.000000,2.000000,1379.033918
27.000000,2.000000,1449.443903
28.000000,2.000000,1529.461222
29.000000,2.000000,1611.348620
30.000000,2.000000,1695.106097
31.000000,2.000000,1780.733653
32.000000,2.000000,1883.384894
33.000000,2.000000,1989.454960
34.000000,2.000000,2097.848259
35.000000,2.000000,2224.563766
36.000000,2.000000,2354.842948
21.000000,2.500000,1058.658664
22.000000,2.500000,1120.126543
23.000000,2.500000,1183.222648
24.000000,2.500000,1247.946979
25.000000,2.500000,1314.299536
26.000000,2.500000,1382.280319
27.000000,2.500000,1453.174701
28.000000,2.500000,1533.171205
29.000000,2.500000,1615.034360
30.000000,2.500000,1698.764167
31.000000,2.500000,1784.569595
32.000000,2.500000,1887.661478
33.000000,2.500000,1993.617859
34.000000,2.500000,2102.163236
35.000000,2.500000,2229.260182
36.000000,2.500000,2359.521501
21.000000,3.000000,1061.814827
22.000000,3.000000,1123.305734
23.000000,3.000000,1186.422669
24.000000,3.000000,1251.165634
25.000000,3.000000,1317.534627
26.000000,3.000000,1385.529649
27.000000,3.000000,1456.908527
28.000000,3.000000,1536.884115
29.000000,3.000000,1618.722927
30.000000,3.000000,1702.424963
31.000000,3.000000,1788.408317
32.000000,3.000000,1891.941000
33.000000,3.000000,1997.783490
34.000000,3.000000,2106.480935
35.000000,3.000000,2233.959440
36.000000,3.000000,2364.202758
21.000000,3.500000,1065.089901
22.000000,3.500000,1126.667032
23.000000,3.500000,1189.870687
24.000000,3.500000,1254.700866
25.000000,3.500000,1321.157570
26.000000,3.500000,1389.240799
27.000000,3.500000,1461.205788
28.000000,3.500000,1541.117363
29.000000,3.500000,1622.886705
30.000000,3.500000,1706.513813
31.000000,3.500000,1793.235518
32.000000,3.500000,1896.643236
33.000000,3.500000,2002.352827
34.000000,3.500000,2111.657243
35.000000,3.500000,2239.092028
36.000000,3.500000,2369.285580
21.000000,4.000000,1068.368657
22.000000,4.000000,1130.032052
23.000000,4.000000,1193.322467
24.000000,4.000000,1258.239901
25.000000,4.000000,1324.784356
26.000000,4.000000,1392.955830
27.000000,4.000000,1465.507133
28.000000,4.000000,1545.354498
29.000000,4.000000,1627.054175
30.000000,4.000000,1710.606163
31.000000,4.000000,1798.066687
32.000000,4.000000,1901.349148
33.000000,4.000000,2006.925558
34.000000,4.000000,2116.837251
35.000000,4.000000,2244.228097
36.000000,4.000000,2374.371671
21.000000,4.500000,1071.655152
22.000000,4.500000,1133.407021
23.000000,4.500000,1196.786518
24.000000,4.500000,1261.793643
25.000000,4.500000,1328.428397
26.000000,4.500000,1396.690779
27.000000,4.500000,1469.802262
28.000000,4.500000,1549.609696
29.000000,4.500000,1631.265087
30.000000,4.500000,1714.768432
31.000000,4.500000,1803.007317
32.000000,4.500000,1906.196306
33.000000,4.500000,2011.672608
34.000000,4.500000,2122.278580
35.000000,4.500000,2249.656462
36.000000,4.500000,2379.782129
21.000000,5.000000,1074.945342
22.000000,5.000000,1136.785732
23.000000,5.000000,1200.254358
24.000000,5.000000,1265.351220
25.000000,5.000000,1332.076319
26.000000,5.000000,1400.429655
27.000000,5.000000,1474.101490
28.000000,5.000000,1553.868847
29.000000,5.000000,1635.479804
30.000000,5.000000,1718.934359
31.000000,5.000000,1807.952144
32.000000,5.000000,1911.047415
33.000000,5.000000,2016.423367
34.000000,5.000000,2127.724042
35.000000,5.000000,2255.088771
36.000000,5.000000,2385.196347
21.000000,5.500000,1078.275976
22.000000,5.500000,1140.208635
23.000000,5.500000,1203.769821
24.000000,5.500000,1268.959534
25.000000,5.500000,1335.777775
26.000000,5.500000,1404.224542
27.000000,5.500000,1478.422995
28.000000,5.500000,1558.139361
29.000000,5.500000,1639.694481
30.000000,5.500000,1723.088356
31.000000,5.500000,1812.867668
32.000000,5.500000,1915.869891
33.000000,5.500000,2021.146222
34.000000,5.500000,2133.158741
35.000000,5.500000,2260.510208
36.000000,5.500000,2390.599604
21.000000,6.000000,1081.610642
22.000000,6.000000,1143.635577
23.000000,6.000000,1207.289330
24.000000,6.000000,1272.571900
25.000000,6.000000,1339.483288
26.000000,6.000000,1408.023494
27.000000,6.000000,1482.748663
28.000000,6.000000,1562.413866
29.000000,6.000000,1643.912980
30.000000,6.000000,1727.246003
31.000000,6.000000,1817.787349
32.000000,6.000000,1920.696280
33.000000,6.000000,2025.872750
34.000000,6.000000,2138.597549
35.000000,6.000000,2265.935567
36.000000,6.000000,2396.006598
21.000000,6.500000,1085.026200
22.000000,6.500000,1147.184571
23.000000,6.500000,1210.974078
24.000000,6.500000,1276.394721
25.000000,6.500000,1343.446499
26.000000,6.500000,1412.129413
27.000000,6.500000,1487.358578
28.000000,6.500000,1566.936221
29.000000,6.500000,1648.340983
30.000000,6.500000,1731.572863
31.000000,6.500000,1822.858553
32.000000,6.500000,1925.658035
33.000000,6.500000,2030.716990
34.000000,6.500000,2144.160510
35.000000,6.500000,2271.442386
21.000000,7.000000,1088.446075
22.000000,7.000000,1150.737999
23.000000,7.000000,1214.663378
24.000000,7.000000,1280.222212
25.000000,7.000000,1347.414502
26.000000,7.000000,1416.240248
27.000000,7.000000,1491.973510
28.000000,7.000000,1571.463295
29.000000,7.000000,1652.773412
30.000000,7.000000,1735.903862
31.000000,7.000000,1827.934405
32.000000,7.000000,1930.624095
33.000000,7.000000,2035.565206
34.000000,7.000000,2149.727859
35.000000,7.000000,2276.953300
21.000000,7.500000,1091.925096
22.000000,7.500000,1154.348453
23.000000,7.500000,1218.407380
24.000000,7.500000,1284.101877
25.000000,7.500000,1351.431945
26.000000,7.500000,1420.397583
27.000000,7.500000,1496.594165
28.000000,7.500000,1576.021773
29.000000,7.500000,1657.264350
