weight_g,219.000000
thrust_N,velocity_m_s,power_W
25.000000,0.000000,593.392354
26.000000,0.000000,627.398672
27.000000,0.000000,662.240367
28.000000,0.000000,697.917439
29.000000,0.000000,734.429888
30.000000,0.000000,771.777714
31.000000,0.000000,809.960916
32.000000,0.000000,848.654160
33.000000,0.000000,887.157188
34.000000,0.000000,926.408411
35.000000,0.000000,966.407830
36.000000,0.000000,1007.155444
37.000000,0.000000,1048.651253
38.000000,0.000000,1090.895257
39.000000,0.000000,1133.208777
40.000000,0.000000,1176.011580
41.000000,0.000000,1219.506418
42.000000,0.000000,1263.693290
43.000000,0.000000,1308.572197
44.000000,0.000000,1354.143139
45.000000,0.000000,1399.488902
46.000000,0.000000,1445.288157
47.000000,0.000000,1491.728070
48.000000,0.000000,1538.808641
49.000000,0.000000,1586.529870
50.000000,0.000000,1634.990985
51.000000,0.000000,1684.386038
52.000000,0.000000,1734.409185
53.000000,0.000000,1785.060426
54.000000,0.000000,1836.339761
55.000000,0.000000,1888.400650
56.000000,0.000000,1942.550208
57.000000,0.000000,1997.339371
58.000000,0.000000,2052.768137
59.000000,0.000000,2108.836508
60.000000,0.000000,2167.404523
61.000000,0.000000,2229.579798
62.000000,0.000000,2292.453627
63.000000,0.000000,2356.026010
64.000000,0.000000,2421.688967
65.000000,0.000000,2491.974589
66.000000,0.000000,2563.027471
67.000000,0.000000,2634.847615
68.000000,0.000000,2709.632370
69.000000,0.000000,2786.627197
70.000000,0.000000,2864.433118
25.000000,0.500000,596.499057
26.000000,0.500000,630.670646
27.000000,0.500000,665.681726
28.000000,0.500000,701.532297
29.000000,0.500000,738.222360
30.000000,0.500000,775.751915
31.000000,0.500000,814.120961
32.000000,0.500000,852.839781
33.000000,0.500000,891.484374
34.000000,0.500000,930.879566
35.000000,0.500000,971.025359
36.000000,0.500000,1011.921752
37.000000,0.500000,1053.568745
38.000000,0.500000,1095.964084
39.000000,0.500000,1138.265503
40.000000,0.500000,1181.157935
41.000000,0.500000,1224.743228
42.000000,0.500000,1269.021381
43.000000,0.500000,1313.992393
44.000000,0.500000,1359.625263
45.000000,0.500000,1405.059517
46.000000,0.500000,1451.043241
47.000000,0.500000,1497.670315
48.000000,0.500000,1544.940738
49.000000,0.500000,1592.854511
50.000000,0.500000,1641.506627
51.000000,0.500000,1690.984547
52.000000,0.500000,1741.090974
53.000000,0.500000,1791.825907
54.000000,0.500000,1843.189346
55.000000,0.500000,1895.538865
56.000000,0.500000,1949.744869
57.000000,0.500000,2004.590364
58.000000,0.500000,2060.075349
59.000000,0.500000,2116.199826
60.000000,0.500000,2175.439384
61.000000,0.500000,2237.657758
62.000000,0.500000,2300.574121
63.000000,0.500000,2364.188472
64.000000,0.500000,2430.538253
65.000000,0.500000,2500.816356
66.000000,0.500000,2571.860421
67.000000,0.500000,2643.670446
68.000000,0.500000,2718.931150
69.000000,0.500000,2795.972080
70.000000,0.500000,2873.823434
25.000000,1.000000,599.611957
26.000000,1.000000,633.949163
27.000000,1.000000,669.129985
28.000000,1.000000,705.154423
29.000000,1.000000,742.022477
30.000000,1.000000,779.734147
31.000000,1.000000,818.289432
32.000000,1.000000,857.032943
33.000000,1.000000,895.819342
34.000000,1.000000,935.358750
35.000000,1.000000,975.651168
36.000000,1.000000,1016.696594
37.000000,1.000000,1058.495029
