weight_g,450.000000
thrust_N,velocity_m_s,power_W
25.000000,0.000000,801.704357
26.000000,0.000000,843.765791
27.000000,0.000000,886.832063
28.000000,0.000000,930.903174
29.000000,0.000000,975.979123
30.000000,0.000000,1022.059911
31.000000,0.000000,1069.145537
32.000000,0.000000,1115.392877
33.000000,0.000000,1161.747377
34.000000,0.000000,1208.978502
35.000000,0.000000,1257.086252
36.000000,0.000000,1306.070627
37.000000,0.000000,1355.931627
38.000000,0.000000,1406.104954
39.000000,0.000000,1455.522559
40.000000,0.000000,1505.730550
41.000000,0.000000,1556.728927
42.000000,0.000000,1608.517690
43.000000,0.000000,1661.096840
44.000000,0.000000,1713.994683
45.000000,0.000000,1766.602674
46.000000,0.000000,1819.943757
47.000000,0.000000,1874.017931
48.000000,0.000000,1928.825197
49.000000,0.000000,1984.365554
50.000000,0.000000,2039.957462
51.000000,0.000000,2096.035586
52.000000,0.000000,2152.813428
53.000000,0.000000,2210.290988
54.000000,0.000000,2268.468265
55.000000,0.000000,2327.036615
56.000000,0.000000,2386.037015
57.000000,0.000000,2445.716754
58.000000,0.000000,2506.075831
59.000000,0.000000,2567.114246
60.000000,0.000000,2628.784905
61.000000,0.000000,2691.091132
62.000000,0.000000,2754.056118
63.000000,0.000000,2817.679861
64.000000,0.000000,2881.977733
65.000000,0.000000,2947.392751
66.000000,0.000000,3013.470369
67.000000,0.000000,3080.210588
68.000000,0.000000,3147.613406
69.000000,0.000000,3217.046738
70.000000,0.000000,3287.772718
71.000000,0.000000,3359.174458
72.000000,0.000000,3431.251958
73.000000,0.000000,3504.005219
74.000000,0.000000,3577.434240
75.000000,0.000000,3651.539021
76.000000,0.000000,3726.319562
77.000000,0.000000,3806.800739
78.000000,0.000000,3888.911711
79.000000,0.000000,3971.758165
80.000000,0.000000,4055.506548
81.000000,0.000000,4140.185931
82.000000,0.000000,4225.604086
25.000000,0.500000,803.854940
26.000000,0.500000,846.019960
27.000000,0.500000,889.192452
28.000000,0.500000,933.372416
29.000000,0.500000,978.559851
30.000000,0.500000,1024.754758
31.000000,0.500000,1071.957137
32.000000,0.500000,1118.138282
33.000000,0.500000,1164.614564
34.000000,0.500000,1211.970449
35.000000,0.500000,1260.205937
36.000000,0.500000,1309.321028
37.000000,0.500000,1359.315723
38.000000,0.500000,1409.437192
39.000000,0.500000,1458.951220
40.000000,0.500000,1509.256940
41.000000,0.500000,1560.354353
42.000000,0.500000,1612.243458
43.000000,0.500000,1664.924256
44.000000,0.500000,1717.790642
45.000000,0.500000,1770.492534
46.000000,0.500000,1823.928946
47.000000,0.500000,1878.099879
48.000000,0.500000,1933.005331
49.000000,0.500000,1988.645303
50.000000,0.500000,2044.251639
51.000000,0.500000,2100.424292
52.000000,0.500000,2157.297963
53.000000,0.500000,2214.872651
54.000000,0.500000,2273.148358
55.000000,0.500000,2331.752313
56.000000,0.500000,2390.836085
57.000000,0.500000,2450.600185
58.000000,0.500000,2511.044613
59.000000,0.500000,2572.169369
60.000000,0.500000,2633.897654
61.000000,0.500000,2696.262768
62.000000,0.500000,2759.286861
63.000000,0.500000,2822.969932
64.000000,0.500000,2887.362957
65.000000,0.500000,2952.796501
66.000000,0.500000,3018.892550
67.000000,0.500000,3085.651104
68.000000,0.500000,3153.072162
69.000000,0.500000,3222.748018
70.000000,0.500000,3293.542776
71.000000,0.500000,3365.013625
72.000000,0.500000,3437.160565
73.000000,0.500000,3509.983595
74.000000,0.500000,3583.482715
75.000000,0.500000,3657.657926
76.000000,0.500000,3732.602808
77.000000,0.500000,3813.443122
78.000000,0.500000,3895.464723
79.000000,0.500000,3978.220543
80.000000,0.500000,4061.997841
81.000000,0.500000,4146.727839
82.000000,0.500000,4232.196653
24.000000,1.000000,764.747869
25.000000,1.000000,806.006462
26.000000,1.000000,848.275163
27.000000,1.000000,891.553971
28.000000,1.000000,935.842888
29.000000,1.000000,981.141913
30.000000,1.000000,1027.451046
31.000000,1.000000,1074.770287
32.000000,1.000000,1120.884680
33.000000,1.000000,1167.482901
34.000000,1.000000,1214.963709
35.000000,1.000000,1263.327104
36.000000,1.000000,1312.573085
37.000000,1.000000,1362.701653
38.000000,1.000000,1412.770803
39.000000,1.000000,1462.381282
40.000000,1.000000,1512.784761
41.000000,1.000000,1563.981238
42.000000,1.000000,1615.970714
43.000000,1.000000,1668.753189
44.000000,1.000000,1721.587677
45.000000,1.000000,1774.383564
46.000000,1.000000,1827.915401
47.000000,1.000000,1882.183187
48.000000,1.000000,1937.186923
49.000000,1.000000,1992.926609
50.000000,1.000000,2048.547115
51.000000,1.000000,2104.814390
52.000000,1.000000,2161.783984
53.000000,1.000000,2219.455898
54.000000,1.000000,2277.830132
55.000000,1.000000,2336.469540
56.000000,1.000000,2395.636770
57.000000,1.000000,2455.485318
58.000000,1.000000,2516.015186
59.000000,1.000000,2577.226371
60.000000,1.000000,2639.011879
61.000000,1.000000,2701.435881
62.000000,1.000000,2764.519083
63.000000,1.000000,2828.261484
64.000000,1.000000,2892.749614
65.000000,1.000000,2958.201746
66.000000,1.000000,3024.316285
67.000000,1.000000,3091.093232
68.000000,1.000000,3158.532587
69.000000,1.000000,3228.450738
70.000000,1.000000,3299.314277
71.000000,1.000000,3370.854238
72.000000,1.000000,3443.070619
73.000000,1.000000,3515.963421
74.000000,1.000000,3589.532643
75.000000,1.000000,3663.778286
76.000000,1.000000,3738.887480
77.000000,1.000000,3820.086814
78.000000,1.000000,3902.019097
79.000000,1.000000,3984.684330
80.000000,1.000000,4068.490548
81.000000,1.000000,4153.271158
82.000000,1.000000,4238.790626
24.000000,1.500000,766.807706
25.000000,1.500000,808.167250
26.000000,1.500000,850.539526
27.000000,1.500000,893.924534
28.000000,1.500000,938.322274
29.000000,1.500000,983.732747
30.000000,1.500000,1030.155952
31.000000,1.500000,1077.591890
32.000000,1.500000,1123.629080
33.000000,1.500000,1170.335167
34.000000,1.500000,1217.926181
35.000000,1.500000,1266.402122
36.000000,1.500000,1315.762989
37.000000,1.500000,1366.008782
38.000000,1.500000,1416.019522
39.000000,1.500000,1465.741827
40.000000,1.500000,1516.259105
41.000000,1.500000,1567.571355
42.000000,1.500000,1619.678577
43.000000,1.500000,1672.580773
44.000000,1.500000,1725.389184
45.000000,1.500000,1778.280723
46.000000,1.500000,1831.909675
47.000000,1.500000,1886.276040
48.000000,1.500000,1941.379817
49.000000,1.500000,1997.167643
50.000000,1.500000,2052.853449
51.000000,1.500000,2109.215031
52.000000,1.500000,2166.280223
53.000000,1.500000,2224.049027
54.000000,1.500000,2282.521442
55.000000,1.500000,2341.191033
56.000000,1.500000,2400.441973
57.000000,1.500000,2460.375040
58.000000,1.500000,2520.990234
59.000000,1.500000,2582.286275
60.000000,1.500000,2644.121634
61.000000,1.500000,2706.606109
62.000000,1.500000,2769.750264
63.000000,1.500000,2833.554096
64.000000,1.500000,2898.122944
65.000000,1.500000,2963.593271
66.000000,1.500000,3029.725901
67.000000,1.500000,3096.520834
68.000000,1.500000,3164.035249
69.000000,1.500000,3234.156429
70.000000,1.500000,3305.088755
71.000000,1.500000,3376.697831
72.000000,1.500000,3448.983657
73.000000,1.500000,3521.946235
74.000000,1.500000,3595.585563
75.000000,1.500000,3669.901642
76.000000,1.500000,3745.562539
77.000000,1.500000,3826.676973
78.000000,1.500000,3908.523124
79.000000,1.500000,3991.100990
80.000000,1.500000,4074.985013
81.000000,1.500000,4159.816230
82.000000,1.500000,4245.386348
24.000000,2.000000,768.868411
25.000000,2.000000,810.328997
26.000000,2.000000,852.804942
27.000000,2.000000,896.296247
28.000000,2.000000,940.802911
29.000000,2.000000,986.324935
30.000000,2.000000,1032.862319
31.000000,2.000000,1080.415063
32.000000,2.000000,1126.374463
33.000000,2.000000,1173.188525
34.000000,2.000000,1220.889857
35.000000,2.000000,1269.478458
36.000000,2.000000,1318.954329
37.000000,2.000000,1369.317469
38.000000,2.000000,1419.269317
39.000000,2.000000,1469.103528
40.000000,2.000000,1519.734686
41.000000,2.000000,1571.162794
42.000000,2.000000,1623.387850
43.000000,2.000000,1676.409855
44.000000,2.000000,1729.191796
45.000000,2.000000,1782.179081
46.000000,2.000000,1835.905244
47.000000,2.000000,1890.370283
48.000000,2.000000,1945.574199
49.000000,2.000000,2001.410034
50.000000,2.000000,2057.161112
51.000000,2.000000,2113.617094
52.000000,2.000000,2170.777980
53.000000,2.000000,2228.643770
54.000000,2.000000,2287.214464
55.000000,2.000000,2345.914041
56.000000,2.000000,2405.248735
57.000000,2.000000,2465.266364
58.000000,2.000000,2525.966928
59.000000,2.000000,2587.347833
60.000000,2.000000,2649.232679
61.000000,2.000000,2711.777682
62.000000,2.000000,2774.982842
63.000000,2.000000,2838.848159
64.000000,2.000000,2903.497729
65.000000,2.000000,2968.986313
66.000000,2.000000,3035.137093
67.000000,2.000000,3101.950067
68.000000,2.000000,3169.539528
69.000000,2.000000,3239.863561
70.000000,2.000000,3310.864674
71.000000,2.000000,3382.542868
72.000000,2.000000,3454.898143
73.000000,2.000000,3527.930499
74.000000,2.000000,3601.639936
75.000000,2.000000,3676.026453
76.000000,2.000000,3752.238872
77.000000,2.000000,3833.268462
78.000000,2.000000,3915.028531
79.000000,2.000000,3997.519076
80.000000,2.000000,4081.480892
81.000000,2.000000,4166.362713
82.000000,2.000000,4251.983475
83.000000,2.000000,4338.343181
84.000000,2.000000,4425.441830
85.000000,2.000000,4513.279421
24.000000,2.500000,770.938318
25.000000,2.500000,812.499848
26.000000,2.500000,855.079352
27.000000,2.500000,898.676832
28.000000,2.500000,943.292287
29.000000,2.500000,988.925717
30.000000,2.500000,1035.577121
31.000000,2.500000,1083.077976
32.000000,2.500000,1129.122888
33.000000,2.500000,1176.040884
34.000000,2.500000,1223.848298
35.000000,2.500000,1272.545129
36.000000,2.500000,1322.131378
37.000000,2.500000,1372.607045
38.000000,2.500000,1422.502615
39.000000,2.500000,1472.453670
40.000000,2.500000,1523.203860
41.000000,2.500000,1574.753186
42.000000,2.500000,1627.101648
43.000000,2.500000,1680.249245
44.000000,2.500000,1732.999683
45.000000,2.500000,1786.084380
46.000000,2.500000,1839.909452
47.000000,2.500000,1894.474899
48.000000,2.500000,1949.780720
49.000000,2.500000,2005.635485
50.000000,2.500000,2061.479362
51.000000,2.500000,2118.029426
52.000000,2.500000,2175.285676
53.000000,2.500000,2233.248113
54.000000,2.500000,2291.882366
55.000000,2.500000,2350.640576
56.000000,2.500000,2410.058435
57.000000,2.500000,2470.159905
58.000000,2.500000,2530.944987
59.000000,2.500000,2592.390568
60.000000,2.500000,2654.337773
61.000000,2.500000,2716.945803
62.000000,2.500000,2780.214657
63.000000,2.500000,2844.144335
64.000000,2.500000,2908.859050
65.000000,2.500000,2974.365501
66.000000,2.500000,3040.534032
67.000000,2.500000,3107.364642
68.000000,2.500000,3175.181168
69.000000,2.500000,3245.573663
70.000000,2.500000,3316.643569
71.000000,2.500000,3388.390886
72.000000,2.500000,3460.815613
73.000000,2.500000,3533.917751
74.000000,2.500000,3607.697300
75.000000,2.500000,3682.154259
76.000000,2.500000,3758.860569
77.000000,2.500000,3839.808393
78.000000,2.500000,3921.485490
79.000000,2.500000,4003.891859
80.000000,2.500000,4087.978530
81.000000,2.500000,4172.910948
82.000000,2.500000,4258.582352
83.000000,2.500000,4344.992741
84.000000,2.500000,4432.142115
85.000000,2.500000,4520.030475
24.000000,3.000000,773.009110
25.000000,3.000000,814.671676
26.000000,3.000000,857.354835
27.000000,3.000000,901.058587
28.000000,3.000000,945.782932
29.000000,3.000000,991.527871
30.000000,3.000000,1038.293403
31.000000,3.000000,1085.741849
32.000000,3.000000,1131.872304
33.000000,3.000000,1178.894327
34.000000,3.000000,1226.807918
35.000000,3.000000,1275.613078
36.000000,3.000000,1325.309806
37.000000,3.000000,1375.898103
38.000000,3.000000,1425.736917
39.000000,3.000000,1475.804912
40.000000,3.000000,1526.674234
41.000000,3.000000,1578.344881
42.000000,3.000000,1630.816854
43.000000,3.000000,1684.090153
44.000000,3.000000,1736.808702
45.000000,3.000000,1789.990906
46.000000,3.000000,1843.914984
47.000000,3.000000,1898.580936
48.000000,3.000000,1953.988762
49.000000,3.000000,2009.862203
50.000000,3.000000,2065.798972
51.000000,3.000000,2122.443211
52.000000,3.000000,2179.794920
53.000000,3.000000,2237.854101
54.000000,3.000000,2296.551857
55.000000,3.000000,2355.368605
56.000000,3.000000,2414.869643
57.000000,3.000000,2475.054968
58.000000,3.000000,2535.924583
59.000000,3.000000,2597.434409
60.000000,3.000000,2659.444062
61.000000,3.000000,2722.115206
62.000000,3.000000,2785.447841
63.000000,3.000000,2849.441967
64.000000,3.000000,2914.221849
65.000000,3.000000,2979.746227
66.000000,3.000000,3045.932566
67.000000,3.000000,3112.780868
68.000000,3.000000,3180.824245
69.000000,3.000000,3251.285206
70.000000,3.000000,3322.423907
71.000000,3.000000,3394.240349
72.000000,3.000000,3466.734531
73.000000,3.000000,3539.906454
74.000000,3.000000,3613.756116
75.000000,3.000000,3688.283520
76.000000,3.000000,3765.483560
77.000000,3.000000,3846.349672
78.000000,3.000000,3927.943847
79.000000,3.000000,4010.266084
80.000000,3.000000,4094.477580
81.000000,3.000000,4179.460593
82.000000,3.000000,4265.182634
83.000000,3.000000,4351.643702
84.000000,3.000000,4438.843798
85.000000,3.000000,4526.782922
24.000000,3.500000,775.164734
25.000000,3.500000,816.919250
26.000000,3.500000,859.696528
27.000000,3.500000,903.496568
28.000000,3.500000,948.319369
29.000000,3.500000,994.164933
30.000000,3.500000,1041.033258
31.000000,3.500000,1088.401999
32.000000,3.500000,1134.634083
33.000000,3.500000,1181.759871
34.000000,3.500000,1229.779361
35.000000,3.500000,1278.692554
36.000000,3.500000,1328.499451
37.000000,3.500000,1379.200050
38.000000,3.500000,1428.984453
39.000000,3.500000,1479.169393
40.000000,3.500000,1530.157846
41.000000,3.500000,1581.949810
42.000000,3.500000,1634.545286
43.000000,3.500000,1687.944274
44.000000,3.500000,1740.623792
45.000000,3.500000,1793.905178
46.000000,3.500000,1847.929971
47.000000,3.500000,1902.698170
48.000000,3.500000,1958.209775
49.000000,3.500000,2014.099549
50.000000,3.500000,2070.128897
51.000000,3.500000,2126.866990
52.000000,3.500000,2184.313827
53.000000,3.500000,2242.469409
54.000000,3.500000,2301.201252
55.000000,3.500000,2360.100536
56.000000,3.500000,2419.684785
57.000000,3.500000,2479.953999
58.000000,3.500000,2540.908178
59.000000,3.500000,2602.474999
60.000000,3.500000,2664.548884
61.000000,3.500000,2727.284953
