weight_g,420.000000
thrust_N,velocity_m_s,power_W
20.000000,0.000000,660.358090
21.000000,0.000000,705.968912
22.000000,0.000000,752.965848
23.000000,0.000000,801.348900
24.000000,0.000000,851.118067
25.000000,0.000000,902.273349
26.000000,0.000000,954.609701
27.000000,0.000000,1008.008902
28.000000,0.000000,1062.710029
29.000000,0.000000,1118.713084
30.000000,0.000000,1176.018066
31.000000,0.000000,1235.578358
32.000000,0.000000,1297.752284
33.000000,0.000000,1361.257222
34.000000,0.000000,1426.093172
35.000000,0.000000,1493.046716
36.000000,0.000000,1566.389879
37.000000,0.000000,1641.195054
38.000000,0.000000,1717.462243
39.000000,0.000000,1799.408844
40.000000,0.000000,1886.462322
41.000000,0.000000,1975.150784
42.000000,0.000000,2069.402924
43.000000,0.000000,2169.131911
44.000000,0.000000,2270.663528
45.000000,0.000000,2379.233629
46.000000,0.000000,2490.446943
47.000000,0.000000,2608.935303
48.000000,0.000000,2734.802904
49.000000,0.000000,2863.509363
50.000000,0.000000,2995.322002
51.000000,0.000000,3134.855510
52.000000,0.000000,3283.985089
53.000000,0.000000,3435.697779
54.000000,0.000000,3589.993580
55.000000,0.000000,3766.480589
56.000000,0.000000,3947.208985
20.000000,0.500000,661.969623
21.000000,0.500000,707.653123
22.000000,0.500000,754.724837
23.000000,0.500000,803.184765
24.000000,0.500000,853.032907
25.000000,0.500000,904.269264
26.000000,0.500000,956.653321
27.000000,0.500000,1010.106388
28.000000,0.500000,1064.862460
29.000000,0.500000,1120.921536
30.000000,0.500000,1178.283617
31.000000,0.500000,1237.999671
32.000000,0.500000,1300.233025
33.000000,0.500000,1363.798319
34.000000,0.500000,1428.695552
35.000000,0.500000,1495.942037
36.000000,0.500000,1569.253381
37.000000,0.500000,1644.024991
38.000000,0.500000,1720.256867
39.000000,0.500000,1802.457203
40.000000,0.500000,1889.461423
41.000000,0.500000,1978.098685
42.000000,0.500000,2072.552587
43.000000,0.500000,2172.213252
44.000000,0.500000,2273.674273
45.000000,0.500000,2382.481693
46.000000,0.500000,2493.758570
47.000000,0.500000,2612.576420
48.000000,0.500000,2738.398740
49.000000,0.500000,2867.101626
50.000000,0.500000,2998.862510
51.000000,0.500000,3138.730924
52.000000,0.500000,3287.902812
53.000000,0.500000,3439.657924
54.000000,0.500000,3594.225878
55.000000,0.500000,3770.717476
56.000000,0.500000,3951.345805
20.000000,1.000000,663.581317
21.000000,1.000000,709.337560
22.000000,1.000000,756.484119
23.000000,1.000000,805.020992
24.000000,1.000000,854.948181
25.000000,1.000000,906.265684
26.000000,1.000000,958.697162
27.000000,1.000000,1012.204158
28.000000,1.000000,1067.015237
29.000000,1.000000,1123.130398
30.000000,1.000000,1180.549640
31.000000,1.000000,1240.421312
32.000000,1.000000,1302.714130
33.000000,1.000000,1366.339815
34.000000,1.000000,1431.298368
35.000000,1.000000,1498.837707
36.000000,1.000000,1572.117254
37.000000,1.000000,1646.855319
38.000000,1.000000,1723.051901
39.000000,1.000000,1805.505935
40.000000,1.000000,1892.460914
41.000000,1.000000,1981.046990
42.000000,1.000000,2075.702654
43.000000,1.000000,2175.295006
44.000000,1.000000,2276.685438
