weight_g,219.000000
thrust_N,velocity_m_s,power_W
25.000000,0.000000,742.058274
26.000000,0.000000,781.174052
27.000000,0.000000,821.222828
28.000000,0.000000,862.204601
29.000000,0.000000,904.119371
30.000000,0.000000,946.967139
31.000000,0.000000,990.747904
32.000000,0.000000,1035.461666
33.000000,0.000000,1079.307779
34.000000,0.000000,1123.563078
35.000000,0.000000,1168.644476
36.000000,0.000000,1214.551974
37.000000,0.000000,1261.285571
38.000000,0.000000,1308.845268
39.000000,0.000000,1356.944073
40.000000,0.000000,1404.517617
41.000000,0.000000,1452.850617
42.000000,0.000000,1501.943074
43.000000,0.000000,1551.794988
44.000000,0.000000,1602.406359
45.000000,0.000000,1653.623732
46.000000,0.000000,1704.148752
47.000000,0.000000,1755.375862
48.000000,0.000000,1807.305062
49.000000,0.000000,1859.936350
50.000000,0.000000,1913.269728
51.000000,0.000000,1966.874403
52.000000,0.000000,2020.504939
53.000000,0.000000,2074.798510
54.000000,0.000000,2129.755117
55.000000,0.000000,2185.374760
56.000000,0.000000,2241.643589
57.000000,0.000000,2298.182052
58.000000,0.000000,2355.370221
59.000000,0.000000,2413.208095
60.000000,0.000000,2471.695675
61.000000,0.000000,2530.832959
62.000000,0.000000,2590.206785
63.000000,0.000000,2650.191363
64.000000,0.000000,2710.798282
65.000000,0.000000,2772.027541
66.000000,0.000000,2833.878085
67.000000,0.000000,2896.346429
68.000000,0.000000,2959.436791
69.000000,0.000000,3023.149174
70.000000,0.000000,3087.483575
71.000000,0.000000,3153.415724
72.000000,0.000000,3220.519713
73.000000,0.000000,3288.251739
74.000000,0.000000,3356.611805
75.000000,0.000000,3425.706442
76.000000,0.000000,3495.572897
77.000000,0.000000,3566.067963
78.000000,0.000000,3637.191640
79.000000,0.000000,3709.423717
80.000000,0.000000,3783.043680
81.000000,0.000000,3857.304829
82.000000,0.000000,3932.207164
83.000000,0.000000,4010.209936
84.000000,0.000000,4090.727256
85.000000,0.000000,4171.925428
86.000000,0.000000,4253.804449
87.000000,0.000000,4336.364322
88.000000,0.000000,4419.605045
89.000000,0.000000,4503.526618
90.000000,0.000000,4588.129043
91.000000,0.000000,4673.412317
92.000000,0.000000,4759.376443
93.000000,0.000000,4850.603359
94.000000,0.000000,4947.778117
95.000000,0.000000,5045.731176
96.000000,0.000000,5145.434507
97.000000,0.000000,5246.489275
98.000000,0.000000,5348.336714
99.000000,0.000000,5450.976824
100.000000,0.000000,5554.409606
25.000000,0.500000,744.109098
26.000000,0.500000,783.321743
27.000000,0.500000,823.469880
28.000000,0.500000,864.553508
29.000000,0.500000,906.572627
30.000000,0.500000,949.527237
31.000000,0.500000,993.417339
32.000000,0.500000,1038.242931
33.000000,0.500000,1082.026256
34.000000,0.500000,1126.379641
35.000000,0.500000,1171.561139
36.000000,0.500000,1217.570751
37.000000,0.500000,1264.408475
38.000000,0.500000,1312.074313
39.000000,0.500000,1360.152870
40.000000,0.500000,1407.831414
41.000000,0.500000,1456.271350
42.000000,0.500000,1505.472678
43.000000,0.500000,1555.435398
44.000000,0.500000,1606.159511
45.000000,0.500000,1657.346088
46.000000,0.500000,1707.947655
47.000000,0.500000,1759.252059
48.000000,0.500000,1811.259299
49.000000,0.500000,1863.969375
50.000000,0.500000,1917.382287
51.000000,0.500000,1970.978903
52.000000,0.500000,2024.702554
53.000000,0.500000,2079.090616
54.000000,0.500000,2134.143089
55.000000,0.500000,2189.859973
56.000000,0.500000,2246.184388
57.000000,0.500000,2302.794117
58.000000,0.500000,2360.054064
59.000000,0.500000,2417.964228
60.000000,0.500000,2476.524610
61.000000,0.500000,2535.704071
62.000000,0.500000,2595.155083
63.000000,0.500000,2655.223690
64.000000,0.500000,2715.915725
65.000000,0.500000,2777.231188
66.000000,0.500000,2839.165175
67.000000,0.500000,2901.712907
68.000000,0.500000,2964.883226
69.000000,0.500000,3028.676132
70.000000,0.500000,3093.091626
71.000000,0.500000,3159.208755
72.000000,0.500000,3226.340443
73.000000,0.500000,3294.100394
74.000000,0.500000,3362.488608
75.000000,0.500000,3431.656197
76.000000,0.500000,3501.585108
77.000000,0.500000,3572.142899
78.000000,0.500000,3643.329569
79.000000,0.500000,3715.674840
80.000000,0.500000,3789.241993
81.000000,0.500000,3863.449439
82.000000,0.500000,3938.297177
83.000000,0.500000,4016.716299
84.000000,0.500000,4097.302477
85.000000,0.500000,4178.569834
86.000000,0.500000,4260.518372
87.000000,0.500000,4343.148091
88.000000,0.500000,4426.458990
89.000000,0.500000,4510.451070
90.000000,0.500000,4595.124330
91.000000,0.500000,4680.478771
92.000000,0.500000,4766.514392
93.000000,0.500000,4858.484528
94.000000,0.500000,4955.413874
95.000000,0.500000,5053.118800
96.000000,0.500000,5152.949605
97.000000,0.500000,5254.077236
98.000000,0.500000,5355.997873
99.000000,0.500000,5458.711515
100.000000,0.500000,5562.218163
25.000000,1.000000,746.160538
26.000000,1.000000,785.470141
27.000000,1.000000,825.717732
28.000000,1.000000,866.903310
29.000000,1.000000,909.026877
30.000000,1.000000,952.088431
31.000000,1.000000,996.087973
32.000000,1.000000,1041.025503
33.000000,1.000000,1084.745501
34.000000,1.000000,1129.197067
35.000000,1.000000,1174.478762
36.000000,1.000000,1220.590587
37.000000,1.000000,1267.532542
38.000000,1.000000,1315.304626
39.000000,1.000000,1363.362553
40.000000,1.000000,1411.146199
41.000000,1.000000,1459.693175
42.000000,1.000000,1509.003481
43.000000,1.000000,1559.077117
44.000000,1.000000,1609.914083
45.000000,1.000000,1661.069458
46.000000,1.000000,1711.747587
47.000000,1.000000,1763.129298
48.000000,1.000000,1815.214592
49.000000,1.000000,1868.003469
50.000000,1.000000,1921.495929
51.000000,1.000000,1975.084136
52.000000,1.000000,2028.901006
53.000000,1.000000,2083.383664
54.000000,1.000000,2138.532110
55.000000,1.000000,2194.346342
56.000000,1.000000,2250.726281
57.000000,1.000000,2307.407284
58.000000,1.000000,2364.739018
59.000000,1.000000,2422.721481
60.000000,1.000000,2481.354675
61.000000,1.000000,2540.575907
62.000000,1.000000,2600.104137
63.000000,1.000000,2660.256881
64.000000,1.000000,2721.034142
65.000000,1.000000,2782.435917
66.000000,1.000000,2844.453412
67.000000,1.000000,2907.080543
68.000000,1.000000,2970.330829
69.000000,1.000000,3034.204271
70.000000,1.000000,3098.700867
71.000000,1.000000,3165.002695
72.000000,1.000000,3232.162184
73.000000,1.000000,3299.950158
74.000000,1.000000,3368.366616
75.000000,1.000000,3437.607138
76.000000,1.000000,3507.598512
77.000000,1.000000,3578.219033
78.000000,1.000000,3649.468701
79.000000,1.000000,3721.927148
80.000000,1.000000,3795.441551
81.000000,1.000000,3869.595348
82.000000,1.000000,3944.388540
83.000000,1.000000,4023.223875
84.000000,1.000000,4103.878917
85.000000,1.000000,4185.215468
86.000000,1.000000,4267.233531
87.000000,1.000000,4349.933103
88.000000,1.000000,4433.314187
89.000000,1.000000,4517.376780
90.000000,1.000000,4602.120884
91.000000,1.000000,4687.546499
