weight_g,450.000000
thrust_N,velocity_m_s,power_W
25.000000,0.000000,709.040881
26.000000,0.000000,746.758391
27.000000,0.000000,785.378308
28.000000,0.000000,824.900632
29.000000,0.000000,865.325364
30.000000,0.000000,906.652504
31.000000,0.000000,948.882051
32.000000,0.000000,992.014005
33.000000,0.000000,1034.354007
34.000000,0.000000,1077.101642
35.000000,0.000000,1120.649013
36.000000,0.000000,1164.996121
37.000000,0.000000,1210.142965
38.000000,0.000000,1256.089546
39.000000,0.000000,1302.565496
40.000000,0.000000,1348.567281
41.000000,0.000000,1395.304648
42.000000,0.000000,1442.777597
43.000000,0.000000,1490.986128
44.000000,0.000000,1539.930240
45.000000,0.000000,1589.464949
46.000000,0.000000,1638.362946
47.000000,0.000000,1687.941179
48.000000,0.000000,1738.199648
49.000000,0.000000,1789.138353
50.000000,0.000000,1840.757294
51.000000,0.000000,1892.653078
52.000000,0.000000,1944.595077
53.000000,0.000000,1997.179595
54.000000,0.000000,2050.406633
55.000000,0.000000,2104.276190
56.000000,0.000000,2158.775261
57.000000,0.000000,2213.547272
58.000000,0.000000,2268.948907
59.000000,0.000000,2324.980166
60.000000,0.000000,2381.641048
61.000000,0.000000,2438.931554
62.000000,0.000000,2496.502675
63.000000,0.000000,2554.667136
64.000000,0.000000,2613.434677
65.000000,0.000000,2672.805298
66.000000,0.000000,2732.778092
67.000000,0.000000,2793.350038
68.000000,0.000000,2854.524751
69.000000,0.000000,2916.302232
70.000000,0.000000,2978.682481
71.000000,0.000000,3042.650205
72.000000,0.000000,3107.775142
73.000000,0.000000,3173.508392
74.000000,0.000000,3239.849954
75.000000,0.000000,3306.907262
76.000000,0.000000,3374.717804
77.000000,0.000000,3443.137141
78.000000,0.000000,3512.165272
79.000000,0.000000,3582.275985
80.000000,0.000000,3653.744969
81.000000,0.000000,3725.834734
82.000000,0.000000,3798.545279
83.000000,0.000000,3874.303299
84.000000,0.000000,3952.529329
85.000000,0.000000,4031.413582
86.000000,0.000000,4110.956056
87.000000,0.000000,4191.156752
88.000000,0.000000,4272.015671
89.000000,0.000000,4353.532811
90.000000,0.000000,4435.708173
91.000000,0.000000,4518.541757
92.000000,0.000000,4602.033563
93.000000,0.000000,4690.677481
94.000000,0.000000,4785.142601
95.000000,0.000000,4880.357714
96.000000,0.000000,4977.275449
97.000000,0.000000,5075.504349
98.000000,0.000000,5174.496641
99.000000,0.000000,5274.252326
100.000000,0.000000,5374.771405
25.000000,0.500000,711.058897
26.000000,0.500000,748.870668
27.000000,0.500000,787.587265
28.000000,0.500000,827.208688
29.000000,0.500000,867.734937
30.000000,0.500000,909.166012
31.000000,0.500000,951.501912
32.000000,0.500000,994.742639
33.000000,0.500000,1037.026584
34.000000,0.500000,1079.869474
35.000000,0.500000,1123.514051
36.000000,0.500000,1167.960317
37.000000,0.500000,1213.208270
38.000000,0.500000,1259.257911
39.000000,0.500000,1305.717880
40.000000,0.500000,1351.821590
41.000000,0.500000,1398.662757
42.000000,0.500000,1446.241382
43.000000,0.500000,1494.557463
