weight_g,60.000000
thrust_N,velocity_m_s,power_W
43.000000,0.000000,2002.249634
44.000000,0.000000,2086.740704
45.000000,0.000000,2172.968996
46.000000,0.000000,2260.934510
47.000000,0.000000,2350.637247
48.000000,0.000000,2442.077205
49.000000,0.000000,2535.254386
50.000000,0.000000,2630.168789
51.000000,0.000000,2726.820414
52.000000,0.000000,2825.209262
53.000000,0.000000,2925.335331
54.000000,0.000000,3027.198623
55.000000,0.000000,3130.799137
56.000000,0.000000,3235.706765
57.000000,0.000000,3342.075615
58.000000,0.000000,3450.157925
59.000000,0.000000,3559.953695
60.000000,0.000000,3671.462926
61.000000,0.000000,3784.685616
62.000000,0.000000,3899.621767
63.000000,0.000000,4016.271377
64.000000,0.000000,4134.634448
65.000000,0.000000,4254.710979
66.000000,0.000000,4376.500970
67.000000,0.000000,4499.955901
68.000000,0.000000,4624.256848
69.000000,0.000000,4750.245043
70.000000,0.000000,4877.920485
71.000000,0.000000,5007.283175
72.000000,0.000000,5138.333113
73.000000,0.000000,5271.070299
74.000000,0.000000,5405.494733
75.000000,0.000000,5541.606414
76.000000,0.000000,5679.405344
77.000000,0.000000,5818.891521
78.000000,0.000000,5960.064946
79.000000,0.000000,6102.925618
80.000000,0.000000,6247.473539
81.000000,0.000000,6393.708707
82.000000,0.000000,6541.631123
83.000000,0.000000,6691.240787
84.000000,0.000000,6842.537698
85.000000,0.000000,6995.521858
86.000000,0.000000,7150.193265
87.000000,0.000000,7306.551920
88.000000,0.000000,7464.423364
89.000000,0.000000,7623.648989
90.000000,0.000000,7784.549801
91.000000,0.000000,7947.125798
92.000000,0.000000,8111.376982
93.000000,0.000000,8277.303352
94.000000,0.000000,8444.904908
95.000000,0.000000,8614.181650
96.000000,0.000000,8785.133578
97.000000,0.000000,8957.760693
98.000000,0.000000,9131.967245
99.000000,0.000000,9307.805693
100.000000,0.000000,9485.316357
43.000000,0.500000,2030.679707
44.000000,0.500000,2116.057667
45.000000,0.500000,2203.184961
46.000000,0.500000,2292.061589
47.000000,0.500000,2382.687550
48.000000,0.500000,2475.062846
49.000000,0.500000,2569.187476
50.000000,0.500000,2665.061439
51.000000,0.500000,2762.684736
52.000000,0.500000,2862.057368
53.000000,0.500000,2963.179333
54.000000,0.500000,3066.050632
55.000000,0.500000,3170.577110
56.000000,0.500000,3276.387763
