weight_g,60.000000
thrust_N,velocity_m_s,power_W
30.000000,0.000000,897.283765
31.000000,0.000000,947.374928
32.000000,0.000000,998.784006
33.000000,0.000000,1051.510999
34.000000,0.000000,1105.555909
35.000000,0.000000,1160.918734
36.000000,0.000000,1217.599474
37.000000,0.000000,1275.598131
38.000000,0.000000,1334.914702
39.000000,0.000000,1394.767653
40.000000,0.000000,1455.353006
41.000000,0.000000,1517.191816
42.000000,0.000000,1580.284084
43.000000,0.000000,1644.629809
44.000000,0.000000,1710.228992
45.000000,0.000000,1777.081633
46.000000,0.000000,1845.187731
47.000000,0.000000,1914.141322
48.000000,0.000000,1984.020745
49.000000,0.000000,2055.122605
50.000000,0.000000,2127.446903
51.000000,0.000000,2200.993639
52.000000,0.000000,2275.762813
53.000000,0.000000,2351.754425
54.000000,0.000000,2428.792193
55.000000,0.000000,2506.281601
56.000000,0.000000,2584.959450
57.000000,0.000000,2664.825740
58.000000,0.000000,2745.880470
59.000000,0.000000,2828.123641
60.000000,0.000000,2911.555253
61.000000,0.000000,2996.105140
62.000000,0.000000,3081.602874
63.000000,0.000000,3168.276653
64.000000,0.000000,3256.126478
65.000000,0.000000,3345.152349
66.000000,0.000000,3435.354264
67.000000,0.000000,3526.732226
68.000000,0.000000,3619.183110
69.000000,0.000000,3712.748220
70.000000,0.000000,3807.483569
71.000000,0.000000,3903.389156
72.000000,0.000000,4000.464981
73.000000,0.000000,4098.711044
74.000000,0.000000,4197.803697
75.000000,0.000000,4297.561909
76.000000,0.000000,4398.467462
77.000000,0.000000,4500.520356
78.000000,0.000000,4603.720590
79.000000,0.000000,4708.068166
80.000000,0.000000,4813.521035
81.000000,0.000000,4920.034784
82.000000,0.000000,5027.692581
83.000000,0.000000,5136.494426
84.000000,0.000000,5246.440319
85.000000,0.000000,5357.530259
86.000000,0.000000,5470.027537
87.000000,0.000000,5583.908251
88.000000,0.000000,5698.939773
89.000000,0.000000,5815.122102
90.000000,0.000000,5932.455239
91.000000,0.000000,6050.939184
92.000000,0.000000,6170.753236
93.000000,0.000000,6291.739150
94.000000,0.000000,6413.878392
95.000000,0.000000,6537.170961
96.000000,0.000000,6661.616858
97.000000,0.000000,6787.638360
98.000000,0.000000,6915.298792
99.000000,0.000000,7044.128077
100.000000,0.000000,7174.126214
30.000000,0.500000,904.584391
31.000000,0.500000,954.985017
32.000000,0.500000,1006.709626
33.000000,0.500000,1059.758217
34.000000,0.500000,1114.130791
35.000000,0.500000,1169.827347
36.000000,0.500000,1226.847886
37.000000,0.500000,1285.192407
38.000000,0.500000,1344.860910
39.000000,0.500000,1404.854529
40.000000,0.500000,1465.785282
41.000000,0.500000,1527.975071
42.000000,0.500000,1591.423895
43.000000,0.500000,1656.131756
44.000000,0.500000,1722.098652
45.000000,0.500000,1789.324584
46.000000,0.500000,1857.809551
47.000000,0.500000,1927.035416
48.000000,0.500000,1997.313499
49.000000,0.500000,2068.819989
50.000000,0.500000,2141.554885
51.000000,0.500000,2215.518187
52.000000,0.500000,2290.709896
53.000000,0.500000,2367.130010
54.000000,0.500000,2444.406687
55.000000,0.500000,2522.295955
56.000000,0.500000,2601.378497
57.000000,0.500000,2681.654313
58.000000,0.500000,2763.123404
59.000000,0.500000,2845.785770
60.000000,0.500000,2929.641410
61.000000,0.500000,3014.529883
62.000000,0.500000,3100.412526
63.000000,0.500000,3187.474844
64.000000,0.500000,3275.716837
65.000000,0.500000,3365.138504
66.000000,0.500000,3455.739846
67.000000,0.500000,3547.513672
68.000000,0.500000,3640.311837
69.000000,0.500000,3734.254935
70.000000,0.500000,3829.371103
71.000000,0.500000,3925.660340
72.000000,0.500000,4023.122645
73.000000,0.500000,4121.758020
74.000000,0.500000,4221.121009
75.000000,0.500000,4321.338447
76.000000,0.500000,4422.707600
77.000000,0.500000,4525.228470
78.000000,0.500000,4628.901055
79.000000,0.500000,4733.725356
80.000000,0.500000,4839.631782
81.000000,0.500000,4946.632162
82.000000,0.500000,5054.780956
83.000000,0.500000,5164.078163
84.000000,0.500000,5274.523782
85.000000,0.500000,5386.118535
86.000000,0.500000,5499.153522
87.000000,0.500000,5613.458457
88.000000,0.500000,5728.916861
89.000000,0.500000,5845.528733
90.000000,0.500000,5963.294073
91.000000,0.500000,6082.240488
92.000000,0.500000,6202.472995
93.000000,0.500000,6323.870186
94.000000,0.500000,6446.422779
95.000000,0.500000,6570.130776
96.000000,0.500000,6694.994175
97.000000,0.500000,6821.595983
98.000000,0.500000,6949.615238
99.000000,0.500000,7078.804293
100.000000,0.500000,7209.163149
30.000000,1.000000,911.912871
