weight_g,305.000000
thrust_N,velocity_m_s,power_W
20.000000,0.000000,730.565717
21.000000,0.000000,780.928637
22.000000,0.000000,832.832643
23.000000,0.000000,886.277738
24.000000,0.000000,941.263920
25.000000,0.000000,997.105235
26.000000,0.000000,1053.239642
27.000000,0.000000,1110.770853
28.000000,0.000000,1169.698866
29.000000,0.000000,1230.023683
30.000000,0.000000,1292.490242
31.000000,0.000000,1357.269124
32.000000,0.000000,1423.454627
33.000000,0.000000,1491.046751
34.000000,0.000000,1560.786902
35.000000,0.000000,1634.779893
36.000000,0.000000,1710.244011
37.000000,0.000000,1787.179256
38.000000,0.000000,1868.514558
39.000000,0.000000,1953.825032
40.000000,0.000000,2040.719886
41.000000,0.000000,2132.760134
42.000000,0.000000,2232.386077
43.000000,0.000000,2333.802444
44.000000,0.000000,2441.466892
45.000000,0.000000,2552.969895
46.000000,0.000000,2668.516282
47.000000,0.000000,2791.047000
20.000000,0.500000,732.040482
21.000000,0.500000,782.480210
22.000000,0.500000,834.463412
23.000000,0.500000,887.990089
24.000000,0.500000,943.060240
25.000000,0.500000,998.905125
26.000000,0.500000,1055.094068
27.000000,0.500000,1112.680788
28.000000,0.500000,1171.665285
29.000000,0.500000,1232.047558
30.000000,0.500000,1294.615374
31.000000,0.500000,1359.414510
32.000000,0.500000,1425.620309
33.000000,0.500000,1493.232771
34.000000,0.500000,1563.115839
35.000000,0.500000,1637.116328
36.000000,0.500000,1712.587402
37.000000,0.500000,1789.529061
38.000000,0.500000,1871.101945
39.000000,0.500000,1956.509729
40.000000,0.500000,2043.503566
41.000000,0.500000,2135.886258
42.000000,0.500000,2235.417280
43.000000,0.500000,2336.735858
44.000000,0.500000,2444.505239
45.000000,0.500000,2555.921439
46.000000,0.500000,2671.633654
47.000000,0.500000,2794.256299
19.000000,1.000000,684.544761
20.000000,1.000000,733.515489
21.000000,1.000000,784.032080
22.000000,1.000000,836.094536
23.000000,1.000000,889.702855
24.000000,1.000000,944.857037
25.000000,1.000000,1000.705254
26.000000,1.000000,1056.948762
27.000000,1.000000,1114.591022
28.000000,1.000000,1173.632032
29.000000,1.000000,1234.071793
30.000000,1.000000,1296.740741
31.000000,1.000000,1361.560178
32.000000,1.000000,1427.786321
33.000000,1.000000,1495.419167
34.000000,1.000000,1565.445089
35.000000,1.000000,1639.453093
36.000000,1.000000,1714.931138
37.000000,1.000000,1791.879225
38.000000,1.000000,1873.689661
39.000000,1.000000,1959.194768
40.000000,1.000000,2046.287604
41.000000,1.000000,2139.012720
42.000000,1.000000,2238.448834
43.000000,1.000000,2339.669633
44.000000,1.000000,2447.543952
45.000000,1.000000,2558.873353
46.000000,1.000000,2674.751406
47.000000,1.000000,2797.465993
19.000000,1.500000,685.947614
20.000000,1.500000,734.993008
21.000000,1.500000,785.586659
22.000000,1.500000,837.728566
23.000000,1.500000,891.418730
24.000000,1.500000,946.657150
25.000000,1.500000,1002.504896
26.000000,1.500000,1058.803273
27.000000,1.500000,1116.501384
28.000000,1.500000,1175.599232
29.000000,1.500000,1236.096815
30.000000,1.500000,1298.861401
31.000000,1.500000,1363.701426
32.000000,1.500000,1429.948202
33.000000,1.500000,1497.601728
34.000000,1.500000,1567.768298
35.000000,1.500000,1641.782664
36.000000,1.500000,1717.266493
37.000000,1.500000,1794.219783
38.000000,1.500000,1876.278470
39.000000,1.500000,1961.880938
40.000000,1.500000,2049.072810
41.000000,1.500000,2142.114437
42.000000,1.500000,2241.460624
43.000000,1.500000,2342.588749
44.000000,1.500000,2450.568814
45.000000,1.500000,2561.808924
46.000000,1.500000,2677.870297
47.000000,1.500000,2800.676873
19.000000,2.000000,687.350661
20.000000,2.000000,736.470776
21.000000,2.000000,787.141542
22.000000,2.000000,839.362959
23.000000,2.000000,893.135027
24.000000,2.000000,948.457746
25.000000,2.000000,1004.304782
26.000000,2.000000,1060.658056
27.000000,2.000000,1118.412050
28.000000,2.000000,1177.566765
29.000000,2.000000,1238.122200
30.000000,2.000000,1300.982303
31.000000,2.000000,1365.842964
32.000000,2.000000,1432.110419
33.000000,2.000000,1499.784671
34.000000,2.000000,1570.091821
35.000000,2.000000,1644.112565
36.000000,2.000000,1719.602193
37.000000,2.000000,1796.560702
38.000000,2.000000,1878.867609
39.000000,2.000000,1964.567451
40.000000,2.000000,2051.858374
41.000000,2.000000,2145.216493
42.000000,2.000000,2244.472765
43.000000,2.000000,2345.508228
44.000000,2.000000,2453.594043
45.000000,2.000000,2564.744865
46.000000,2.000000,2680.989567
47.000000,2.000000,2803.888147
19.000000,2.500000,688.756043
20.000000,2.500000,737.951071
21.000000,2.500000,788.699147
22.000000,2.500000,841.000273
23.000000,2.500000,894.854448
24.000000,2.500000,950.261672
25.000000,2.500000,1006.104251
26.000000,2.500000,1062.512725
27.000000,2.500000,1120.322915
28.000000,2.500000,1179.534821
29.000000,2.500000,1240.148444
30.000000,2.500000,1303.111294
31.000000,2.500000,1368.011923
32.000000,2.500000,1434.319803
33.000000,2.500000,1502.034934
34.000000,2.500000,1572.487275
35.000000,2.500000,1646.489661
36.000000,2.500000,1721.959928
37.000000,2.500000,1798.898076
38.000000,2.500000,1881.457841
39.000000,2.500000,1967.255095
40.000000,2.500000,2054.645106
41.000000,2.500000,2148.294962
42.000000,2.500000,2247.466209
43.000000,2.500000,2348.414022
44.000000,2.500000,2456.605024
45.000000,2.500000,2567.664103
46.000000,2.500000,2684.109977
47.000000,2.500000,2807.100607
19.000000,3.000000,690.161626
20.000000,3.000000,739.431621
21.000000,3.000000,790.257064
22.000000,3.000000,842.637957
23.000000,3.000000,896.574299
24.000000,3.000000,952.066090
25.000000,3.000000,1007.903966
26.000000,3.000000,1064.367670
27.000000,3.000000,1122.234086
28.000000,3.000000,1181.503215
29.000000,3.000000,1242.175055
30.000000,3.000000,1305.240523
31.000000,3.000000,1370.181152
32.000000,3.000000,1436.529488
33.000000,3.000000,1504.285530
34.000000,3.000000,1574.882974
35.000000,3.000000,1648.867041
36.000000,3.000000,1724.317985
37.000000,3.000000,1801.235806
38.000000,3.000000,1884.048403
39.000000,3.000000,1969.943083
40.000000,3.000000,2057.432196
41.000000,3.000000,2151.373770
42.000000,3.000000,2250.460006
43.000000,3.000000,2351.320179
44.000000,3.000000,2459.616372
45.000000,3.000000,2570.583709
46.000000,3.000000,2687.230768
47.000000,3.000000,2810.313462
19.000000,3.500000,691.551523
20.000000,3.500000,740.899316
21.000000,3.500000,791.805307
22.000000,3.500000,844.269496
23.000000,3.500000,898.291884
24.000000,3.500000,953.872469
25.000000,3.500000,1009.703335
26.000000,3.500000,1066.222572
27.000000,3.500000,1124.145528
28.000000,3.500000,1183.472203
29.000000,3.500000,1244.202597
30.000000,3.500000,1307.369174
31.000000,3.500000,1372.351615
32.000000,3.500000,1438.742255
33.000000,3.500000,1506.541094
34.000000,3.500000,1577.274676
