weight_g,219.000000
thrust_N,velocity_m_s,power_W
43.000000,0.000000,641.343137
44.000000,0.000000,664.059535
45.000000,0.000000,687.143680
46.000000,0.000000,710.595573
47.000000,0.000000,734.415212
48.000000,0.000000,758.602599
49.000000,0.000000,783.157732
50.000000,0.000000,808.080613
51.000000,0.000000,833.371241
52.000000,0.000000,859.029616
53.000000,0.000000,885.055738
54.000000,0.000000,911.449607
55.000000,0.000000,938.211223
56.000000,0.000000,964.910495
57.000000,0.000000,991.701713
58.000000,0.000000,1018.837149
59.000000,0.000000,1046.316803
60.000000,0.000000,1074.140675
61.000000,0.000000,1102.308764
62.000000,0.000000,1130.821071
63.000000,0.000000,1159.677596
64.000000,0.000000,1188.878339
65.000000,0.000000,1218.423300
66.000000,0.000000,1248.312478
67.000000,0.000000,1278.497435
68.000000,0.000000,1308.160756
69.000000,0.000000,1338.142368
70.000000,0.000000,1368.442269
71.000000,0.000000,1399.060462
72.000000,0.000000,1429.996945
73.000000,0.000000,1461.251718
74.000000,0.000000,1492.824782
75.000000,0.000000,1524.716136
76.000000,0.000000,1556.925781
77.000000,0.000000,1589.453716
78.000000,0.000000,1622.299942
79.000000,0.000000,1655.464458
80.000000,0.000000,1688.947264
81.000000,0.000000,1722.748361
82.000000,0.000000,1756.867749
83.000000,0.000000,1791.305427
84.000000,0.000000,1826.061396
85.000000,0.000000,1861.135655
86.000000,0.000000,1896.528204
87.000000,0.000000,1932.239044
88.000000,0.000000,1967.872079
89.000000,0.000000,2003.068126
90.000000,0.000000,2038.556449
91.000000,0.000000,2074.337049
92.000000,0.000000,2110.409925
93.000000,0.000000,2146.775077
94.000000,0.000000,2183.432506
95.000000,0.000000,2220.382210
96.000000,0.000000,2257.624191
97.000000,0.000000,2295.158449
98.000000,0.000000,2332.768864
99.000000,0.000000,2370.574121
100.000000,0.000000,2408.665279
43.000000,0.500000,648.308421
44.000000,0.500000,671.206253
45.000000,0.500000,694.474079
46.000000,0.500000,718.111899
47.000000,0.500000,742.119712
48.000000,0.500000,766.497519
49.000000,0.500000,791.245320
50.000000,0.500000,816.363115
51.000000,0.500000,841.850903
52.000000,0.500000,867.708685
53.000000,0.500000,893.936461
54.000000,0.500000,920.534231
55.000000,0.500000,947.409865
56.000000,0.500000,974.195787
57.000000,0.500000,1001.201525
58.000000,0.500000,1028.554071
59.000000,0.500000,1056.253426
60.000000,0.500000,1084.299590
61.000000,0.500000,1112.692563
62.000000,0.500000,1141.432345
63.000000,0.500000,1170.518935
64.000000,0.500000,1199.952335
65.000000,0.500000,1229.732543
66.000000,0.500000,1259.859561
67.000000,0.500000,1289.932412
68.000000,0.500000,1319.802359
69.000000,0.500000,1349.992393
70.000000,0.500000,1380.502513
71.000000,0.500000,1411.332721
72.000000,0.500000,1442.483016
73.000000,0.500000,1473.953398
74.000000,0.500000,1505.743868
75.000000,0.500000,1537.854424
76.000000,0.500000,1570.285067
77.000000,0.500000,1603.035797
